symbol,name,ts_code,trade_date,score,reason,patterns_core,patterns_extra,close,open,drawdown_120d,price_pos_year,box_range_60d,vol_shrink_ratio_20_20,ma20_slope_1d,close_pct_1d,pb,pe_ttm,turnover_rate,total_mv_wanyuan,circ_mv_wanyuan,chip_concentration_pct,winner_rate_pct,chip_price_pos_pct,cost_5pct,cost_95pct,weight_avg_cost
002269,美邦服饰,002269.SZ,20260306,64.974,地量地价、短期止跌,地量地价,短期止跌,1.84,1.8,0.4303,0.0479,0.1864,0.712,-0.00134,0.0166,,,,,,,,,,,
002052,同洲电子,002052.SZ,20260306,64.091,地量地价、右侧转强、短期止跌,地量地价,右侧转强、短期止跌,11.81,11.65,0.3324,0.1077,0.2604,0.6294,-0.00072,0.0077,,,,,,,,,,,
000617,中油资本,000617.SZ,20260306,58.739,缩量回踩支撑、短期止跌,缩量回踩支撑,短期止跌,9.11,9.02,0.2938,0.0911,0.1959,0.7386,-0.00044,-0.0055,,,,,,,,,,,
002298,中电鑫龙,002298.SZ,20260306,56.575,缩量回踩支撑、右侧转强、短期止跌,缩量回踩支撑,右侧转强、短期止跌,10.98,10.81,0.2675,0.2928,0.2935,0.4161,0.00104,0.0092,,,,,,,,,,,
000403,派林生物,000403.SZ,20260306,56.113,地量地价、右侧转强、短期止跌,地量地价,右侧转强、短期止跌,14.03,13.85,0.2424,0.1746,0.1353,0.8015,0.00062,0.0101,,,,,,,,,,,
000679,大连友谊,000679.SZ,20260306,55.72,缩量回踩支撑、右侧转强、短期止跌,缩量回踩支撑,右侧转强、短期止跌,7.32,7.0,0.2752,0.142,0.3294,0.643,0.00076,0.0413,,,,,,,,,,,
001298,好上好,001298.SZ,20260306,55.609,缩量回踩支撑、地量地价、短期止跌,缩量回踩支撑、地量地价,短期止跌,30.36,29.9,0.2347,0.1658,0.2417,0.334,-0.00075,0.014,,,,,,,,,,,
000753,漳州发展,000753.SZ,20260306,55.168,地量地价、短期止跌,地量地价,短期止跌,7.33,7.28,0.3525,0.1874,0.3476,0.6422,0.00083,0.0,,,,,,,,,,,
001395,亚联机械,001395.SZ,20260306,54.835,缩量回踩支撑、地量地价、短期止跌,缩量回踩支撑、地量地价,短期止跌,42.84,41.91,0.2458,0.122,0.145,0.5697,-0.00119,0.0222,,,,,,,,,,,
000158,常山北明,000158.SZ,20260306,54.021,缩量回踩支撑、右侧转强、短期止跌,缩量回踩支撑,右侧转强、短期止跌,21.07,20.2,0.2043,0.2249,0.1538,0.5991,0.00181,0.0384,,,,,,,,,,,
002191,劲嘉股份,002191.SZ,20260306,51.904,地量地价、短期止跌,地量地价,短期止跌,3.91,3.88,0.2069,0.113,0.2593,0.4286,-0.00139,0.0077,,,,,,,,,,,
000876,新 希 望,000876.SZ,20260306,47.855,缩量回踩支撑、右侧转强、短期止跌,缩量回踩支撑,右侧转强、短期止跌,8.87,8.68,0.164,0.1512,0.1016,0.7558,-0.00063,0.0172,,,,,,,,,,,
000695,滨海能源,000695.SZ,20260306,47.699,缩量回踩支撑、右侧转强、短期止跌,缩量回踩支撑,右侧转强、短期止跌,13.3,12.91,0.3091,0.3145,0.4087,0.5084,0.00323,0.0239,,,,,,,,,,,
000650,仁和药业,000650.SZ,20260306,47.414,缩量回踩支撑、右侧转强、短期止跌,缩量回踩支撑,右侧转强、短期止跌,5.91,5.75,0.1347,0.2269,0.1365,0.4056,-0.00118,0.026,,,,,,,,,,,
000797,中国武夷,000797.SZ,20260306,45.872,地量地价、短期止跌,地量地价,短期止跌,3.09,3.02,0.3655,0.1982,0.6054,0.5073,-0.0016,0.0164,,,,,,,,,,,
000513,丽珠集团,000513.SZ,20260306,45.235,缩量回踩支撑、短期止跌,缩量回踩支撑,短期止跌,34.79,33.81,0.1829,0.1247,0.111,0.6442,-0.00073,0.0281,,,,,,,,,,,
001388,信通电子,001388.SZ,20260306,43.448,缩量回踩支撑、右侧转强、短期止跌,缩量回踩支撑,右侧转强、短期止跌,44.77,44.25,0.129,0.2939,0.108,0.6372,0.00112,0.0038,,,,,,,,,,,
000889,中嘉博创,000889.SZ,20260306,43.289,缩量回踩支撑、短期止跌,缩量回踩支撑,短期止跌,3.6,3.49,0.2373,0.2583,0.1882,0.7145,0.00069,0.0227,,,,,,,,,,,
002105,信隆健康,002105.SZ,20260306,43.084,缩量回踩支撑、右侧转强、短期止跌,缩量回踩支撑,右侧转强、短期止跌,7.55,7.34,0.267,0.2931,0.5147,0.6879,0.00472,0.0272,,,,,,,,,,,
002179,中航光电,002179.SZ,20260306,43.067,缩量回踩支撑、右侧转强、短期止跌,缩量回踩支撑,右侧转强、短期止跌,35.29,35.0,0.1755,0.2935,0.3037,0.4024,0.00119,0.008,,,,,,,,,,,
000915,华特达因,000915.SZ,20260306,42.058,缩量回踩支撑、右侧转强、短期止跌,缩量回踩支撑,右侧转强、短期止跌,32.35,31.74,0.1054,0.2559,0.0946,0.7746,0.00078,0.0179,,,,,,,,,,,
002007,华兰生物,002007.SZ,20260306,41.646,缩量回踩支撑、短期止跌,缩量回踩支撑,短期止跌,15.28,15.0,0.1157,0.1453,0.1365,0.5381,-0.00162,0.0166,,,,,,,,,,,
