symbol,name,ts_code,trade_date,score,reason,patterns_core,patterns_extra,close,open,drawdown_120d,price_pos_year,box_range_60d,vol_shrink_ratio_20_20,ma20_slope_1d,close_pct_1d,pb,pe_ttm,turnover_rate,total_mv_wanyuan,circ_mv_wanyuan,chip_concentration_pct,winner_rate_pct,chip_price_pos_pct,cost_5pct,cost_95pct,weight_avg_cost
300120,经纬辉开,300120.SZ,20260306,87.281,缩量回踩支撑、短期止跌,缩量回踩支撑,短期止跌,8.65,8.67,0.2979,0.1324,0.1718,0.5715,0.00029,-0.0023,1.6652,,3.574,496850.75,456241.66,11.534,54.2,45.0,8.2,9.2,8.67
603300,海南华铁,603300.SH,20260306,85.438,缩量回踩支撑、右侧转强、短期止跌,缩量回踩支撑,右侧转强、短期止跌,7.28,7.08,0.3171,0.155,0.2868,0.5745,-7e-05,0.0239,2.2309,22.4176,2.9702,1451999.51,1451999.51,13.605,51.75,28.0,7.0,8.0,7.35
603192,汇得科技,603192.SH,20260306,81.652,缩量回踩支撑、右侧转强、短期止跌,缩量回踩支撑,右侧转强、短期止跌,26.47,25.73,0.3101,0.3265,0.2937,0.4123,0.00079,0.0288,2.0447,35.5297,1.8105,443005.84,369008.92,10.471,43.58,38.214,25.4,28.2,26.74
000650,仁和药业,000650.SZ,20260306,79.057,缩量回踩支撑、右侧转强、短期止跌,缩量回踩支撑,右侧转强、短期止跌,5.91,5.75,0.1347,0.2269,0.1365,0.4056,-0.00118,0.026,1.3026,18.577,1.6475,827363.5,786849.03,8.306,40.57,22.0,5.8,6.3,6.02
001395,亚联机械,001395.SZ,20260306,77.927,缩量回踩支撑、地量地价、短期止跌,缩量回踩支撑、地量地价,短期止跌,42.84,41.91,0.2458,0.122,0.145,0.5697,-0.00119,0.0222,3.1218,20.11,1.3327,373736.16,200876.76,9.857,65.06,43.81,41.0,45.2,42.61
300867,圣元环保,300867.SZ,20260306,77.731,缩量回踩支撑、地量地价、右侧转强、短期止跌,缩量回踩支撑、地量地价,右侧转强、短期止跌,19.46,18.95,0.236,0.3084,0.3606,0.5034,0.00023,0.0253,1.3656,21.5073,1.9322,528808.09,372907.74,8.634,43.76,32.941,18.9,20.6,19.69
300600,国瑞科技,300600.SZ,20260306,77.302,缩量回踩支撑、右侧转强、短期止跌,缩量回踩支撑,右侧转强、短期止跌,14.43,14.06,0.2504,0.1346,0.2047,0.6876,0.00111,0.0205,3.4762,,3.0864,424580.35,424580.35,15.678,41.51,31.739,13.7,16.0,14.67
600930,华电新能,600930.SH,20260306,75.752,缩量回踩支撑、短期止跌,缩量回踩支撑,短期止跌,6.07,6.05,0.1291,0.1667,0.1681,0.611,0.00034,0.0017,2.3212,28.6288,2.7568,25320571.43,1960496.86,9.967,78.33,45.0,5.8,6.4,6.02
603817,海峡环保,603817.SH,20260306,75.332,缩量回踩支撑、右侧转强、短期止跌,缩量回踩支撑,右侧转强、短期止跌,7.16,7.03,0.2503,0.321,0.2787,0.6859,0.00214,0.017,1.2902,19.1318,2.5254,408180.17,408180.17,11.299,74.48,45.0,6.8,7.6,7.08
600016,民生银行,600016.SH,20260306,74.878,地量地价、短期止跌,地量地价,短期止跌,3.88,3.87,0.1528,0.2045,0.1189,1.1003,0.0009,0.0,0.3023,5.5969,0.629,16987578.38,13759303.81,17.812,38.5,25.714,3.7,4.4,3.93
