symbol,name,ts_code,trade_date,score,reason,patterns_core,patterns_extra,close,open,drawdown_120d,price_pos_year,box_range_60d,vol_shrink_ratio_20_20,ma20_slope_1d,close_pct_1d,pb,pe_ttm,turnover_rate,total_mv_wanyuan,circ_mv_wanyuan,chip_concentration_pct,winner_rate_pct,chip_price_pos_pct,cost_5pct,cost_95pct,weight_avg_cost
605378,野马电池,605378.SH,20260306,79.104,低位横盘筑底、地量地价、短期止跌,低位横盘筑底、地量地价,短期止跌,20.64,20.23,0.3596,0.0721,0.2411,0.3699,-0.00243,0.0167,,,,,,,,,,,
300558,贝达药业,300558.SZ,20260306,78.929,低位横盘筑底、短期止跌,低位横盘筑底,短期止跌,44.01,42.2,0.4485,0.0643,0.2715,0.6004,-0.00378,0.0404,,,,,,,,,,,
000006,深振业Ａ,000006.SZ,20260306,78.872,低位横盘筑底、右侧转强、短期止跌,低位横盘筑底,右侧转强、短期止跌,9.13,8.62,0.411,0.2462,0.2816,0.7003,0.00028,0.0482,,,,,,,,,,,
600162,香江控股,600162.SH,20260306,78.789,低位横盘筑底、缩量回踩支撑、右侧转强、短期止跌,低位横盘筑底、缩量回踩支撑,右侧转强、短期止跌,1.88,1.82,0.4069,0.1513,0.1517,0.8686,-0.0008,0.0273,,,,,,,,,,,
605050,福然德,605050.SH,20260306,77.737,低位横盘筑底、缩量回踩支撑、短期止跌,低位横盘筑底、缩量回踩支撑,短期止跌,13.15,12.86,0.423,0.0722,0.1419,0.7718,-0.00108,0.0218,,,,,,,,,,,
002265,建设工业,002265.SZ,20260306,77.714,低位横盘筑底、短期止跌,低位横盘筑底,短期止跌,23.74,23.28,0.4208,0.0411,0.2335,0.6134,-0.00178,0.0106,,,,,,,,,,,
300598,诚迈科技,300598.SZ,20260306,77.501,低位横盘筑底、地量地价、短期止跌,低位横盘筑底、地量地价,短期止跌,41.3,40.2,0.3547,0.049,0.2916,0.5203,-0.00469,0.0246,,,,,,,,,,,
002403,爱仕达,002403.SZ,20260306,77.487,低位横盘筑底、地量地价、短期止跌,低位横盘筑底、地量地价,短期止跌,11.35,11.14,0.3818,0.0715,0.2849,0.5837,-0.00389,0.0189,,,,,,,,,,,
002869,金溢科技,002869.SZ,20260306,77.434,低位横盘筑底、地量地价、短期止跌,低位横盘筑底、地量地价,短期止跌,21.72,21.4,0.3526,0.0865,0.2718,0.3923,-0.0023,0.0145,,,,,,,,,,,
603367,辰欣药业,603367.SH,20260306,76.926,低位横盘筑底、短期止跌,低位横盘筑底,短期止跌,16.98,16.51,0.3985,0.0695,0.1958,0.4589,-0.00201,0.026,,,,,,,,,,,
