symbol,name,market,breakout_date,key_level_type,key_level,breakout_price,current_price,breakout_vol_ratio,stand_days_above,min_close_ratio,trade_date,close,open,chg_pct,limit_pct,is_limit_up,limit_up_streak,up_streak,yang_streak,ret_3d,ret_5d,ret_10d,hard_stop,dist_to_key_pct,in_pullback_zone,vol_ratio_prev,vol_ratio_ma20,ext_to_ma20_pct,category,strategy_hint,detail
600396,华电辽能,1,2026-02-24,High60,3.18,3.21,3.36,1.553,3,1.0126,2026-02-27,3.36,3.27,2.75,10.0,0,0,4,4,4.67,7.01,8.39,3.1164,5.66,0,1.682,2.34,7.38,等待回踩,不追高，等待回到关键位附近再评估,距High60+5.7% | 连涨4天 | 连阳4天
300040,九洲集团,0,2026-02-24,High60,7.14,7.2,7.55,1.721,3,1.0056,2026-02-27,7.55,7.24,3.14,20.0,0,0,2,4,4.86,6.49,12.35,6.9972,5.74,0,1.764,2.525,9.11,等待回踩,不追高，等待回到关键位附近再评估,距High60+5.7% | 连涨2天 | 连阳4天
600844,金煤科技,1,2026-02-24,MA60,3.0883,3.25,3.27,1.747,3,1.0459,2026-02-27,3.27,3.22,1.24,10.0,0,0,1,1,0.62,4.47,5.14,3.0266,5.88,0,0.912,0.781,2.8,等待回踩,不追高，等待回到关键位附近再评估,距MA60+5.9% | 连涨1天 | 连阳1天
603196,日播时尚,1,2026-02-24,MA60,25.3843,26.39,26.92,1.511,3,1.0499,2026-02-27,26.92,27.28,-1.17,10.0,0,0,0,0,2.01,7.25,9.25,24.8766,6.05,0,0.645,0.62,3.16,等待回踩,不追高，等待回到关键位附近再评估,距MA60+6.0%
301063,海锅股份,0,2026-02-24,High60,27.46,28.04,29.16,2.787,2,0.9989,2026-02-27,29.16,28.0,3.29,20.0,0,0,2,2,3.99,11.72,12.37,26.9108,6.19,0,1.719,2.406,9.6,等待回踩,不追高，等待回到关键位附近再评估,距High60+6.2% | 连涨2天 | 连阳2天
001289,龙源电力,0,2026-02-24,MA60,15.608,15.91,16.58,1.532,3,1.0129,2026-02-27,16.58,16.11,2.79,10.0,0,0,2,2,4.21,5.4,6.83,15.2958,6.23,0,1.309,1.771,5.36,等待回踩,不追高，等待回到关键位附近再评估,距MA60+6.2% | 连涨2天 | 连阳2天
601199,江南水务,1,2026-02-24,MA120,5.812,6.04,6.18,1.636,3,1.0444,2026-02-27,6.18,6.18,0.0,10.0,0,0,0,0,2.32,4.92,4.04,5.6958,6.33,0,0.647,1.066,3.84,等待回踩,不追高，等待回到关键位附近再评估,距MA120+6.3%
603330,天洋新材,1,2026-02-24,MA60,7.5237,8.09,8.01,3.038,3,1.0646,2026-02-27,8.01,8.0,-0.5,10.0,0,0,0,1,-0.99,6.52,7.81,7.3732,6.46,0,0.752,0.973,3.92,等待回踩,不追高，等待回到关键位附近再评估,距MA60+6.5% | 连阳1天
600222,太龙药业,1,2026-02-24,MA120,6.8521,6.96,7.3,1.793,3,1.0449,2026-02-27,7.3,7.25,0.69,10.0,0,0,5,4,4.89,9.45,7.67,6.715,6.54,0,0.541,0.738,6.46,等待回踩,不追高，等待回到关键位附近再评估,距MA120+6.5% | 连涨5天 | 连阳4天
603306,华懋科技,1,2026-02-24,High60,82.11,85.5,87.95,1.782,3,1.0531,2026-02-27,87.95,86.0,-0.63,10.0,0,0,0,5,2.87,17.13,11.57,80.4678,7.11,0,0.721,0.724,11.92,等待回踩,不追高，等待回到关键位附近再评估,距High60+7.1% | 连阳5天
