iter,idx,elapsed_s,pullback_min,pullback_max,vol_contract_ratio,hard_stop_ratio,take_profit_pct,max_hold_days,max_wait_days,trades,win_rate,avg_ret,med_ret,min_ret,max_ret,profit_factor,score,score_median,score_std
3,315,0.2,-0.030000000000000002,0.05,0.8,0.98,0.15999999999999998,15.0,55.0,11218.0,0.2983597789267249,0.6305314851132109,-2.0013,-12.6941,38.9113,1.3124430364107076,839.1181128559695,1297.90012326139,917.5640208108413
3,207,0.2,-0.030000000000000002,0.04,0.8,0.98,0.15999999999999998,15.0,55.0,11218.0,0.2983597789267249,0.6305314851132109,-2.0013,-12.6941,38.9113,1.3124430364107076,839.1181128559695,1297.90012326139,917.5640208108413
3,99,0.2,-0.030000000000000002,0.03,0.8,0.98,0.15999999999999998,15.0,55.0,11218.0,0.2983597789267249,0.6305314851132109,-2.0013,-12.6941,38.9113,1.3124430364107076,839.1181128559695,1297.90012326139,917.5640208108413
3,313,0.17,-0.030000000000000002,0.05,0.8,0.98,0.15999999999999998,15.0,35.0,10567.0,0.2979085833254472,0.6434653733320711,-2.0226,-12.6941,38.9113,1.3180482227625798,768.7417889118241,1243.3414284409655,949.1992790582829
3,205,0.19,-0.030000000000000002,0.04,0.8,0.98,0.15999999999999998,15.0,35.0,10567.0,0.2979085833254472,0.6434653733320711,-2.0226,-12.6941,38.9113,1.3180482227625798,768.7417889118241,1243.3414284409655,949.1992790582829
3,97,0.17,-0.030000000000000002,0.03,0.8,0.98,0.15999999999999998,15.0,35.0,10567.0,0.2979085833254472,0.6434653733320711,-2.0226,-12.6941,38.9113,1.3180482227625798,768.7417889118241,1243.3414284409655,949.1992790582829
3,279,0.22,-0.030000000000000002,0.05,0.75,0.98,0.15999999999999998,15.0,55.0,10441.0,0.29805574178718514,0.6103491811129194,-2.0,-12.6941,38.9113,1.3044140030877627,767.900665439577,1196.5274058823518,857.2534808855496
3,171,0.21,-0.030000000000000002,0.04,0.75,0.98,0.15999999999999998,15.0,55.0,10441.0,0.29805574178718514,0.6103491811129194,-2.0,-12.6941,38.9113,1.3044140030877627,767.900665439577,1196.5274058823518,857.2534808855496
3,63,0.21,-0.030000000000000002,0.03,0.75,0.98,0.15999999999999998,15.0,55.0,10441.0,0.29805574178718514,0.6103491811129194,-2.0,-12.6941,38.9113,1.3044140030877627,767.900665439577,1196.5274058823518,857.2534808855496
3,102,0.19,-0.030000000000000002,0.03,0.8,0.98,0.15999999999999998,18.0,55.0,11144.0,0.2827530509691314,0.6396436647523321,-2.14425,-12.6941,38.9113,1.3052074760438745,738.1020230801935,1238.3523141822584,1000.50058220413
