iter,idx,elapsed_s,pullback_min,pullback_max,vol_contract_ratio,take_profit_pct,stop_loss_pct,max_hold_days,trend_ma_fast,trend_ma_slow,trend_ma_long,trades,win_rate,avg_ret,med_ret,min_ret,max_ret,profit_factor,score,penalty
1,1,0.01,-0.04,-0.005,0.55,0.006,0.012,2.0,20.0,60.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1000010120.0,10120.0
1,2,0.01,-0.04,-0.005,0.55,0.006,0.012,3.0,20.0,60.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1000010120.0,10120.0
1,3,0.01,-0.04,-0.005,0.55,0.006,0.012,4.0,20.0,60.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1000010120.0,10120.0
1,4,0.01,-0.04,-0.005,0.55,0.006,0.015,2.0,20.0,60.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1000010120.0,10120.0
1,5,0.01,-0.04,-0.005,0.55,0.006,0.015,3.0,20.0,60.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1000010120.0,10120.0
1,6,0.01,-0.04,-0.005,0.55,0.006,0.015,4.0,20.0,60.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1000010120.0,10120.0
1,7,0.01,-0.04,-0.005,0.55,0.006,0.02,2.0,20.0,60.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1000010120.0,10120.0
1,8,0.01,-0.04,-0.005,0.55,0.006,0.02,3.0,20.0,60.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1000010120.0,10120.0
1,9,0.01,-0.04,-0.005,0.55,0.006,0.02,4.0,20.0,60.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1000010120.0,10120.0
1,10,0.01,-0.04,-0.005,0.55,0.006,0.025,2.0,20.0,60.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1000010120.0,10120.0
