symbol,name,market,breakout_date,key_level_type,key_level,breakout_price,current_price,breakout_vol_ratio,stand_days_above,min_close_ratio,trade_date
000035,中国天楹,0,2026-02-24,MA60,5.8413,6.19,7.01,2.3,3,1.0905,2026-02-27
000801,四川九洲,0,2026-02-24,MA60,16.5772,17.25,17.31,2.228,3,1.0333,2026-02-27
001258,立新能源,0,2026-02-24,MA60,7.4555,7.9,8.03,2.045,3,1.0516,2026-02-27
000601,韶能股份,0,2026-02-24,MA120,5.1278,5.33,5.66,1.884,3,1.0511,2026-02-27
000096,广聚能源,0,2026-02-24,MA60,10.7502,11.11,10.96,1.824,3,1.0028,2026-02-27
000988,华工科技,0,2026-02-24,MA60,77.6075,82.42,89.86,1.705,3,1.1094,2026-02-27
000966,长源电力,0,2026-02-24,MA120,4.432,4.62,4.8,1.695,3,1.0424,2026-02-27
000635,英力特,0,2026-02-24,MA60,9.6253,10.69,9.96,1.692,3,1.0348,2026-02-27
000791,甘肃能源,0,2026-02-24,MA60,6.6592,6.8,7.71,1.688,3,1.0332,2026-02-27
000519,中兵红箭,0,2026-02-24,MA60,18.5172,19.68,20.28,1.598,3,1.0677,2026-02-27
001289,龙源电力,0,2026-02-24,MA60,15.5888,15.91,16.58,1.537,3,1.0142,2026-02-27
000553,安道麦A,0,2026-02-24,MA60,5.9647,6.19,6.23,1.531,3,1.0344,2026-02-27
