symbol,name,market,signal_date,entry_date,exit_date,hold_days,entry_price,exit_price,ret_pct,exit_reason
000410,沈阳机床,0,2022-01-04,2022-01-05,2022-01-06,2,5.02,4.8694,-3.155153,止损
000058,深 赛 格,0,2022-01-10,2022-01-11,2022-01-11,1,6.56,6.3632,-3.155153,止损
000151,中成股份,0,2022-01-10,2022-01-11,2022-01-11,1,8.68,8.7668,0.838448,止盈
000065,北方国际,0,2022-01-11,2022-01-12,2022-01-13,2,8.53,8.6153,0.838448,止盈
000415,渤海租赁,0,2022-01-11,2022-01-12,2022-01-13,2,2.91,2.9391,0.838448,止盈
000008,神州高铁,0,2022-01-12,2022-01-13,2022-01-13,1,2.75,2.7775,0.838448,止盈
000058,深 赛 格,0,2022-01-12,2022-01-13,2022-01-13,1,6.48,6.5448,0.838448,止盈
000409,云鼎科技,0,2022-01-13,2022-01-14,2022-01-14,1,6.66,6.4602,-3.155153,止损
000029,深深房Ａ,0,2022-01-14,2022-01-17,2022-01-17,1,7.97,8.0497,0.838448,止盈
000058,深 赛 格,0,2022-01-14,2022-01-17,2022-01-17,1,6.38,6.4438,0.838448,止盈
000151,中成股份,0,2022-01-14,2022-01-17,2022-01-17,1,8.77,8.8577,0.838448,止盈
000031,大悦城,0,2022-01-17,2022-01-18,2022-01-18,1,3.83,3.8683,0.838448,止盈
000404,长虹华意,0,2022-01-17,2022-01-18,2022-01-19,2,4.68,4.5396,-3.155153,止损
000411,英特集团,0,2022-01-17,2022-01-18,2022-01-18,1,14.86,14.4142,-3.155153,止损
000029,深深房Ａ,0,2022-01-19,2022-01-20,2022-01-20,1,7.99,8.0699,0.838448,止盈
000014,沙河股份,0,2022-01-21,2022-01-24,2022-01-24,1,8.22,8.3022,0.838448,止盈
000042,中洲控股,0,2022-01-21,2022-01-24,2022-01-24,1,8.26,8.3426,0.838448,止盈
000049,德赛电池,0,2022-01-26,2022-01-27,2022-01-27,1,53.97,52.3509,-3.155153,止损
000090,天健集团,0,2022-01-27,2022-01-28,2022-01-28,1,6.24,6.0528,-3.155153,止损
000007,全新好,0,2022-02-09,2022-02-10,2022-02-10,1,6.7,6.767,0.838448,止盈
000151,中成股份,0,2022-02-09,2022-02-10,2022-02-11,2,8.52,8.2644,-3.155153,止损
000056,皇庭国际,0,2022-02-11,2022-02-14,2022-02-14,1,8.06,8.1406,0.838448,止盈
000151,中成股份,0,2022-02-14,2022-02-15,2022-02-16,2,8.4,8.484,0.838448,止盈
000056,皇庭国际,0,2022-02-15,2022-02-16,2022-02-16,1,8.06,8.1406,0.838448,止盈
000007,全新好,0,2022-02-16,2022-02-17,2022-02-22,4,6.63,6.6963,0.838448,止盈
000007,全新好,0,2022-02-23,2022-02-24,2022-02-24,1,6.6,6.666,0.838448,止盈
000007,全新好,0,2022-02-25,2022-02-28,2022-02-28,1,6.59,6.3923,-3.155153,止损
000048,京基智农,0,2022-02-25,2022-02-28,2022-02-28,1,21.32,21.5332,0.838448,止盈
000090,天健集团,0,2022-02-28,2022-03-01,2022-03-01,1,6.4,6.464,0.838448,止盈
000156,华数传媒,0,2022-02-28,2022-03-01,2022-03-01,1,8.49,8.5749,0.838448,止盈
