iter,idx,elapsed_s,pullback_min,pullback_max,vol_contract_ratio,take_profit_pct,stop_loss_pct,max_hold_days,trend_ma_fast,trend_ma_slow,trend_ma_long,trades,win_rate,avg_ret,med_ret,min_ret,max_ret,avg_win_ret,avg_loss_ret,tp_hit_rate,avg_hold_days,med_hold_days,profit_factor,score,penalty,feasible
1,2520,0.03,-0.04,0.01,0.75,0.008,0.04,6.0,20.0,60.0,120.0,326.0,0.7699386503067485,-0.37850992024539937,0.638768,-4.153554,0.638768,0.6372241075697203,-3.777833133333328,0.7668711656441718,1.7484662576687116,1.0,0.5644973202186784,-1000000971.0053595,971.0053595626433,0.0
1,5460,0.03,-0.03,0.01,0.75,0.008,0.04,6.0,20.0,60.0,120.0,326.0,0.7699386503067485,-0.37850992024539937,0.638768,-4.153554,0.638768,0.6372241075697203,-3.777833133333328,0.7668711656441718,1.7484662576687116,1.0,0.5644973202186784,-1000000971.0053595,971.0053595626433,0.0
1,8400,0.03,-0.02,0.01,0.75,0.008,0.04,6.0,20.0,60.0,120.0,326.0,0.7699386503067485,-0.37850992024539937,0.638768,-4.153554,0.638768,0.6372241075697203,-3.777833133333328,0.7668711656441718,1.7484662576687116,1.0,0.5644973202186784,-1000000971.0053595,971.0053595626433,0.0
1,11340,0.03,-0.01,0.01,0.75,0.008,0.04,6.0,20.0,60.0,120.0,326.0,0.7699386503067485,-0.37850992024539937,0.638768,-4.153554,0.638768,0.6372241075697203,-3.777833133333328,0.7668711656441718,1.7484662576687116,1.0,0.5644973202186784,-1000000971.0053595,971.0053595626433,0.0
1,2518,0.03,-0.04,0.01,0.75,0.008,0.04,4.0,20.0,60.0,120.0,327.0,0.7492354740061162,-0.3895436055045878,0.638768,-4.153554,0.638768,0.6365488122448971,-3.455307536585362,0.746177370030581,1.6116207951070336,1.0,0.5504238410630619,-1000001006.7975779,1006.7975778127142,0.0
1,5458,0.03,-0.03,0.01,0.75,0.008,0.04,4.0,20.0,60.0,120.0,327.0,0.7492354740061162,-0.3895436055045878,0.638768,-4.153554,0.638768,0.6365488122448971,-3.455307536585362,0.746177370030581,1.6116207951070336,1.0,0.5504238410630619,-1000001006.7975779,1006.7975778127142,0.0
1,8398,0.03,-0.02,0.01,0.75,0.008,0.04,4.0,20.0,60.0,120.0,327.0,0.7492354740061162,-0.3895436055045878,0.638768,-4.153554,0.638768,0.6365488122448971,-3.455307536585362,0.746177370030581,1.6116207951070336,1.0,0.5504238410630619,-1000001006.7975779,1006.7975778127142,0.0
1,11338,0.03,-0.01,0.01,0.75,0.008,0.04,4.0,20.0,60.0,120.0,327.0,0.7492354740061162,-0.3895436055045878,0.638768,-4.153554,0.638768,0.6365488122448971,-3.455307536585362,0.746177370030581,1.6116207951070336,1.0,0.5504238410630619,-1000001006.7975779,1006.7975778127142,0.0
1,2519,0.03,-0.04,0.01,0.75,0.008,0.04,5.0,20.0,60.0,120.0,326.0,0.7638036809815951,-0.4033494018404914,0.638768,-4.153554,0.638768,0.6365454578313244,-3.766126285714282,0.7607361963190185,1.6932515337423313,1.0,0.5465666978827297,-1000001006.8666042,1006.8666042345407,0.0
1,5459,0.03,-0.03,0.01,0.75,0.008,0.04,5.0,20.0,60.0,120.0,326.0,0.7638036809815951,-0.4033494018404914,0.638768,-4.153554,0.638768,0.6365454578313244,-3.766126285714282,0.7607361963190185,1.6932515337423313,1.0,0.5465666978827297,-1000001006.8666042,1006.8666042345407,0.0
