iter,idx,elapsed_s,pullback_min,pullback_max,vol_contract_ratio,take_profit_pct,stop_loss_pct,max_hold_days,trend_ma_fast,trend_ma_slow,trend_ma_long,trades,win_rate,avg_ret,med_ret,min_ret,max_ret,avg_win_ret,avg_loss_ret,tp_hit_rate,profit_factor,score,penalty
1,395,0.01,-0.06,0.01,0.5,0.06,0.12,15.0,20.0,60.0,120.0,24.0,0.5,0.6000254166666666,-0.39441250000000005,-12.140758,5.830451,5.382608833333332,-4.182557999999999,0.4583333333333333,1.2869179180141275,387.8854317668561,0.0
1,1835,0.01,-0.05,0.01,0.5,0.06,0.12,15.0,20.0,60.0,120.0,24.0,0.5,0.6000254166666666,-0.39441250000000005,-12.140758,5.830451,5.382608833333332,-4.182557999999999,0.4583333333333333,1.2869179180141275,387.8854317668561,0.0
1,3275,0.01,-0.04,0.01,0.5,0.06,0.12,15.0,20.0,60.0,120.0,24.0,0.5,0.6000254166666666,-0.39441250000000005,-12.140758,5.830451,5.382608833333332,-4.182557999999999,0.4583333333333333,1.2869179180141275,387.8854317668561,0.0
1,4715,0.01,-0.03,0.01,0.5,0.06,0.12,15.0,20.0,60.0,120.0,24.0,0.5,0.6000254166666666,-0.39441250000000005,-12.140758,5.830451,5.382608833333332,-4.182557999999999,0.4583333333333333,1.2869179180141275,387.8854317668561,0.0
1,6155,0.01,-0.02,0.01,0.5,0.06,0.12,15.0,20.0,60.0,120.0,24.0,0.5,0.6000254166666666,-0.39441250000000005,-12.140758,5.830451,5.382608833333332,-4.182557999999999,0.4583333333333333,1.2869179180141275,387.8854317668561,0.0
1,809,0.01,-0.06,0.02,0.5,0.12,0.12,15.0,20.0,60.0,120.0,37.0,0.43243243243243246,0.4625770810810809,-1.514133,-12.140758,11.820854,8.443498499999999,-5.618124952380953,0.24324324324324326,1.1450691767827907,384.12454165919394,0.0
1,2249,0.01,-0.05,0.02,0.5,0.12,0.12,15.0,20.0,60.0,120.0,37.0,0.43243243243243246,0.4625770810810809,-1.514133,-12.140758,11.820854,8.443498499999999,-5.618124952380953,0.24324324324324326,1.1450691767827907,384.12454165919394,0.0
1,3689,0.01,-0.04,0.02,0.5,0.12,0.12,15.0,20.0,60.0,120.0,37.0,0.43243243243243246,0.4625770810810809,-1.514133,-12.140758,11.820854,8.443498499999999,-5.618124952380953,0.24324324324324326,1.1450691767827907,384.12454165919394,0.0
1,5129,0.01,-0.03,0.02,0.5,0.12,0.12,15.0,20.0,60.0,120.0,37.0,0.43243243243243246,0.4625770810810809,-1.514133,-12.140758,11.820854,8.443498499999999,-5.618124952380953,0.24324324324324326,1.1450691767827907,384.12454165919394,0.0
1,6569,0.02,-0.02,0.02,0.5,0.12,0.12,15.0,20.0,60.0,120.0,37.0,0.43243243243243246,0.4625770810810809,-1.514133,-12.140758,11.820854,8.443498499999999,-5.618124952380953,0.24324324324324326,1.1450691767827907,384.12454165919394,0.0
