symbol,name,market,signal_date,entry_date,exit_date,entry_price,exit_price,ret_pct,exit_reason
000410,沈阳机床,0,2022-01-04,2022-01-05,2022-01-25,5.02,4.95,-1.552144,时间止盈
000058,深 赛 格,0,2022-01-10,2022-01-11,2022-01-27,6.56,5.7728,-12.140758,止损
000065,北方国际,0,2022-01-10,2022-01-11,2022-02-07,8.59,8.24,-4.22794,时间止盈
000151,中成股份,0,2022-01-10,2022-01-11,2022-01-27,8.68,7.6384,-12.140758,止损
000008,神州高铁,0,2022-01-11,2022-01-12,2022-02-08,2.76,2.63,-4.862563,时间止盈
000035,中国天楹,0,2022-01-11,2022-01-12,2022-01-25,6.0,5.28,-12.140758,止损
000068,华控赛格,0,2022-01-11,2022-01-12,2022-01-12,3.5,3.71,5.830451,止盈
000409,云鼎科技,0,2022-01-13,2022-01-14,2022-01-20,6.66,7.0596,5.830451,止盈
000029,深深房Ａ,0,2022-01-14,2022-01-17,2022-02-11,7.97,7.66,-4.043316,时间止盈
000031,大悦城,0,2022-01-17,2022-01-18,2022-02-14,3.83,3.81,-0.68131,时间止盈
000042,中洲控股,0,2022-01-21,2022-01-24,2022-02-11,8.26,8.7556,5.830451,止盈
000333,美的集团,0,2022-01-26,2022-01-27,2022-02-23,75.75,70.48,-7.10592,时间止盈
000007,全新好,0,2022-02-09,2022-02-10,2022-03-02,6.7,6.6,-1.650102,时间止盈
000014,沙河股份,0,2022-02-09,2022-02-10,2022-02-15,8.38,8.8828,5.830451,止盈
000151,中成股份,0,2022-02-10,2022-02-11,2022-02-25,8.5,9.01,5.830451,止盈
000056,皇庭国际,0,2022-02-15,2022-02-16,2022-02-16,8.06,8.5436,5.830451,止盈
000090,天健集团,0,2022-02-15,2022-02-16,2022-03-08,6.38,6.07,-5.011114,时间止盈
000048,京基智农,0,2022-02-23,2022-02-24,2022-03-16,21.27,19.82,-6.966161,时间止盈
000014,沙河股份,0,2022-02-28,2022-03-01,2022-03-18,8.7,9.222,5.830451,止盈
000032,深桑达Ａ,0,2022-03-01,2022-03-02,2022-03-09,22.31,19.6328,-12.140758,止损
000156,华数传媒,0,2022-03-02,2022-03-03,2022-03-15,8.64,7.6032,-12.140758,止损
000065,北方国际,0,2022-03-23,2022-03-24,2022-03-31,9.8,10.388,5.830451,止盈
000007,全新好,0,2022-05-06,2022-05-09,2022-05-16,6.7,7.102,5.830451,止盈
000402,金 融 街,0,2022-05-17,2022-05-18,2022-06-08,6.28,5.79,-7.950019,时间止盈
000029,深深房Ａ,0,2022-05-23,2022-05-24,2022-05-30,8.98,9.5188,5.830451,止盈
000014,沙河股份,0,2022-05-25,2022-05-26,2022-05-27,11.14,9.8032,-12.140758,止损
000090,天健集团,0,2022-05-25,2022-05-26,2022-05-27,6.87,7.2822,5.830451,止盈
000042,中洲控股,0,2022-05-30,2022-05-31,2022-06-07,8.86,9.3916,5.830451,止盈
000078,海王生物,0,2022-06-02,2022-06-06,2022-06-21,3.66,3.8796,5.830451,止盈
000061,农 产 品,0,2022-06-10,2022-06-13,2022-07-01,6.48,6.19,-4.628102,时间止盈
000404,长虹华意,0,2022-06-13,2022-06-14,2022-06-17,4.98,5.2788,5.830451,止盈
000029,深深房Ａ,0,2022-06-17,2022-06-20,2022-06-20,9.77,10.3562,5.830451,止盈
000042,中洲控股,0,2022-06-28,2022-06-29,2022-07-12,9.05,9.593,5.830451,止盈
000068,华控赛格,0,2022-07-01,2022-07-04,2022-07-08,3.68,3.9008,5.830451,止盈
000404,长虹华意,0,2022-07-04,2022-07-05,2022-07-06,5.36,5.6816,5.830451,止盈
000068,华控赛格,0,2022-07-12,2022-07-13,2022-07-18,3.78,4.0068,5.830451,止盈
000099,中信海直,0,2022-07-26,2022-07-27,2022-08-03,8.1,8.586,5.830451,止盈
000017,深中华A,0,2022-07-27,2022-07-28,2022-08-09,4.42,4.6852,5.830451,止盈
000055,方大集团,0,2022-08-01,2022-08-02,2022-08-16,5.08,5.3848,5.830451,止盈
000410,沈阳机床,0,2022-08-04,2022-08-05,2022-08-22,5.09,5.3954,5.830451,止盈
000099,中信海直,0,2022-08-15,2022-08-16,2022-09-05,8.15,7.58,-7.14263,时间止盈
000070,特发信息,0,2022-08-22,2022-08-23,2022-09-13,7.04,6.51,-7.676319,时间止盈
000055,方大集团,0,2022-08-29,2022-08-30,2022-08-30,5.24,5.5544,5.830451,止盈
000020,深华发Ａ,0,2022-09-08,2022-09-09,2022-09-13,10.1,10.706,5.830451,止盈
