symbol,name,market,breakout_date,key_level_type,key_level,breakout_price,current_price,breakout_vol_ratio,stand_days_above,min_close_ratio,trade_date
000158,常山北明,0,2025-10-17,MA60,24.0183,24.4,21.02,3.897,3,1.0038,2026-02-27
000999,华润三九,0,2026-02-09,MA60,28.5522,29.63,28.88,3.692,3,1.0115,2026-02-27
000839,国安股份,0,2026-02-24,MA60,2.7888,3.43,3.59,3.678,3,1.2837,2026-02-27
000890,法尔胜,0,2026-02-13,MA60,5.2555,6.03,7.66,3.591,3,1.2615,2026-02-27
000529,广弘控股,0,2025-11-26,MA60,6.1532,6.25,6.14,3.324,3,1.0092,2026-02-27
000869,张裕Ａ,0,2026-01-20,MA60,21.086,21.42,20.61,3.267,2,0.9988,2026-02-27
001277,速达股份,0,2026-01-28,MA60,40.2757,41.14,42.16,3.201,2,0.9981,2026-02-27
000582,北部湾港,0,2026-02-11,MA60,9.3753,10.46,11.41,3.186,3,1.0773,2026-02-27
001209,洪兴股份,0,2026-02-06,MA60,21.0427,24.8,32.52,3.136,3,1.1619,2026-02-27
000429,粤高速Ａ,0,2025-12-12,MA60,11.8022,12.09,12.23,2.984,3,1.0142,2026-02-27
002007,华兰生物,0,2026-01-27,MA60,15.6772,16.19,15.47,2.942,2,0.997,2026-02-27
000037,深南电A,0,2026-01-26,MA60,8.8712,9.48,10.11,2.939,3,1.0235,2026-02-27
000100,TCL科技,0,2026-01-14,MA60,4.3957,4.96,4.97,2.932,3,1.0988,2026-02-27
000927,中国铁物,0,2026-01-28,MA60,2.6857,2.97,2.96,2.898,3,1.0388,2026-02-27
001366,播恩集团,0,2026-02-24,MA60,13.8147,14.56,14.57,2.897,3,1.046,2026-02-27
000779,甘咨询,0,2026-02-24,MA60,8.6938,10.33,10.83,2.882,3,1.2066,2026-02-27
001211,双枪科技,0,2025-12-03,MA60,26.5293,29.28,28.74,2.805,3,1.0765,2026-02-27
001319,铭科精技,0,2026-01-21,MA60,26.6555,30.7,29.67,2.773,3,1.1198,2026-02-27
000886,海南高速,0,2025-12-10,MA60,7.2097,8.16,6.49,2.735,3,1.0209,2026-02-27
000056,皇庭国际,0,2026-02-06,MA60,2.159,2.28,2.23,2.704,3,1.0051,2026-02-27
000758,中色股份,0,2026-01-29,MA60,6.6208,8.8,9.04,2.669,3,1.0799,2026-02-27
000799,酒鬼酒,0,2026-02-02,MA60,57.1538,58.8,51.21,2.656,3,1.0122,2026-02-27
000571,新大洲A,0,2026-02-10,MA60,6.0647,7.14,7.83,2.646,3,1.1542,2026-02-27
000507,珠海港,0,2026-01-27,MA60,5.3837,5.55,5.61,2.635,3,1.0198,2026-02-27
000917,电广传媒,0,2026-02-24,MA60,10.3773,12.21,11.77,2.63,3,1.1342,2026-02-27
000501,武商集团,0,2026-01-12,MA60,10.0023,11.11,9.72,2.596,3,1.0717,2026-02-27
000829,天音控股,0,2026-01-14,MA60,10.6063,11.08,10.99,2.578,2,0.9975,2026-02-27
000166,申万宏源,0,2026-01-06,MA60,5.3235,5.49,5.01,2.561,2,0.9993,2026-02-27
000975,山金国际,0,2026-02-03,MA60,25.567,31.86,30.98,2.539,3,1.1836,2026-02-27
000833,粤桂股份,0,2026-02-13,MA60,20.2333,24.0,22.87,2.484,3,1.1694,2026-02-27
001288,运机集团,0,2026-01-29,MA60,31.6205,37.27,38.66,2.472,3,1.0911,2026-02-27
