symbol,name,market,signal_date,entry_date,exit_date,hold_days,entry_price,exit_price,ret_pct,exit_reason
000419,通程控股,0,2022-09-09,2022-09-13,2022-09-13,1,5.33,5.37264,0.638768,止盈
000007,全新好,0,2022-09-13,2022-09-14,2022-09-16,3,8.11,7.7856,-4.153554,止损
000062,深圳华强,0,2022-09-15,2022-09-16,2022-09-16,1,13.17,13.27536,0.638768,止盈
000410,沈阳机床,0,2022-09-15,2022-09-16,2022-09-16,1,5.87,5.91696,0.638768,止盈
000059,华锦股份,0,2022-09-16,2022-09-19,2022-09-19,1,7.55,7.6104,0.638768,止盈
000007,全新好,0,2022-10-10,2022-10-11,2022-10-18,6,8.06,7.92,-1.894146,时间止盈
000410,沈阳机床,0,2022-11-03,2022-11-04,2022-11-04,1,5.72,5.76576,0.638768,止盈
000034,神州数码,0,2022-11-09,2022-11-10,2022-11-10,1,24.25,24.444,0.638768,止盈
000049,德赛电池,0,2022-11-15,2022-11-16,2022-11-16,1,52.0,49.92,-4.153554,止损
000409,云鼎科技,0,2022-11-22,2022-11-23,2022-11-25,3,6.97,6.6912,-4.153554,止损
000028,国药一致,0,2022-11-28,2022-11-29,2022-11-29,1,33.61,33.87888,0.638768,止盈
000068,华控赛格,0,2022-11-28,2022-11-29,2022-11-29,1,4.14,4.17312,0.638768,止盈
000068,华控赛格,0,2022-12-02,2022-12-05,2022-12-05,1,4.19,4.22352,0.638768,止盈
000159,国际实业,0,2022-12-09,2022-12-12,2022-12-12,1,9.25,8.88,-4.153554,止损
000036,华联控股,0,2022-12-13,2022-12-14,2022-12-15,2,4.4,4.224,-4.153554,止损
000014,沙河股份,0,2022-12-14,2022-12-15,2022-12-15,1,9.95,10.0296,0.638768,止盈
000068,华控赛格,0,2022-12-14,2022-12-15,2022-12-15,1,4.25,4.284,0.638768,止盈
000068,华控赛格,0,2022-12-20,2022-12-21,2022-12-22,2,4.33,4.1568,-4.153554,止损
000417,合百集团,0,2022-12-20,2022-12-21,2022-12-21,1,4.98,5.01984,0.638768,止盈
000014,沙河股份,0,2022-12-23,2022-12-26,2022-12-26,1,10.03,10.11024,0.638768,止盈
000089,深圳机场,0,2022-12-29,2022-12-30,2023-01-09,6,7.83,7.64,-2.582635,时间止盈
000028,国药一致,0,2023-01-10,2023-01-11,2023-01-11,1,35.19,35.47152,0.638768,止盈
000026,飞亚达,0,2023-01-11,2023-01-12,2023-01-12,1,11.42,10.9632,-4.153554,止损
000070,特发信息,0,2023-01-12,2023-01-13,2023-01-18,4,7.04,7.09632,0.638768,止盈
000002,万 科Ａ,0,2023-01-13,2023-01-16,2023-01-18,3,18.78,18.93024,0.638768,止盈
000017,深中华A,0,2023-01-13,2023-01-16,2023-01-16,1,4.77,4.80816,0.638768,止盈
000403,派林生物,0,2023-01-19,2023-01-20,2023-01-20,1,22.7,22.8816,0.638768,止盈
000011,深物业A,0,2023-01-31,2023-02-01,2023-02-02,2,11.35,11.4408,0.638768,止盈
000058,深 赛 格,0,2023-02-06,2023-02-07,2023-02-13,5,7.2,7.2576,0.638768,止盈
000045,深纺织Ａ,0,2023-02-08,2023-02-09,2023-02-09,1,11.22,11.30976,0.638768,止盈
