symbol,name,market,signal_date,entry_date,exit_date,entry_price,exit_price,ret_pct,exit_reason
000008,神州高铁,0,2022-01-12,2022-01-13,2022-02-09,2.75,2.67,-3.06439,时间止盈
000029,深深房Ａ,0,2022-01-19,2022-01-20,2022-02-16,7.99,7.56,-5.533071,时间止盈
000042,中洲控股,0,2022-01-21,2022-01-24,2022-02-11,8.26,8.7556,5.830451,止盈
000007,全新好,0,2022-02-09,2022-02-10,2022-03-02,6.7,6.6,-1.650102,时间止盈
000032,深桑达Ａ,0,2022-03-03,2022-03-04,2022-03-09,22.68,19.9584,-12.140758,止损
000007,全新好,0,2022-05-06,2022-05-09,2022-05-16,6.7,7.102,5.830451,止盈
000042,中洲控股,0,2022-05-30,2022-05-31,2022-06-07,8.86,9.3916,5.830451,止盈
000007,全新好,0,2022-09-13,2022-09-14,2022-10-11,8.11,8.0,-1.514133,时间止盈
000014,沙河股份,0,2022-12-14,2022-12-15,2022-12-16,9.95,10.547,5.830451,止盈
000017,深中华A,0,2023-01-13,2023-01-16,2023-02-10,4.77,4.65,-2.671651,时间止盈
000026,飞亚达,0,2023-02-14,2023-02-15,2023-03-07,11.82,11.54,-2.525029,时间止盈
000037,深南电A,0,2023-02-22,2023-02-23,2023-03-15,8.5,8.0,-6.032896,时间止盈
000017,深中华A,0,2023-03-01,2023-03-02,2023-03-22,4.86,4.89,0.456345,时间止盈
000039,中集集团,0,2023-04-07,2023-04-10,2023-04-28,7.5,7.01,-6.682835,时间止盈
000031,大悦城,0,2023-04-20,2023-04-21,2023-05-09,3.85,4.081,5.830451,止盈
000032,深桑达Ａ,0,2023-06-27,2023-06-28,2023-07-05,34.9,36.994,5.830451,止盈
000036,华联控股,0,2023-07-12,2023-07-13,2023-07-27,4.07,4.3142,5.830451,止盈
000027,深圳能源,0,2023-07-21,2023-07-24,2023-08-11,6.74,6.63,-1.789389,时间止盈
000039,中集集团,0,2023-12-14,2023-12-15,2024-01-05,7.8,8.268,5.830451,止盈
000039,中集集团,0,2024-03-26,2024-03-27,2024-03-29,8.98,9.5188,5.830451,止盈
000027,深圳能源,0,2024-05-22,2024-05-23,2024-06-13,7.36,7.28,-1.24517,时间止盈
000020,深华发Ａ,0,2024-10-15,2024-10-16,2024-10-22,13.43,14.2358,5.830451,止盈
000010,美丽生态,0,2024-11-19,2024-11-20,2024-11-29,2.8,2.968,5.830451,止盈
000009,中国宝安,0,2024-12-03,2024-12-04,2024-12-24,10.02,9.5,-5.341272,时间止盈
