iter,idx,elapsed_s,pullback_min,pullback_max,vol_contract_ratio,take_profit_pct,stop_loss_pct,max_hold_days,trend_ma_fast,trend_ma_slow,trend_ma_long,trades,win_rate,avg_ret,med_ret,min_ret,max_ret,avg_win_ret,avg_loss_ret,tp_hit_rate,avg_hold_days,med_hold_days,profit_factor,score,penalty,feasible
1,2840,0.03,-0.04,0.01,0.75,0.01,0.03,6.0,20.0,60.0,120.0,328.0,0.6646341463414634,-0.47319552134146387,0.838448,-3.155153,0.838448,0.8357544357798162,-3.0672963454545457,0.6615853658536586,1.6219512195121952,1.0,0.5399912984665279,-1000002330.4055742,2330.405574197765,0.0
1,6200,0.03,-0.03,0.01,0.75,0.01,0.03,6.0,20.0,60.0,120.0,328.0,0.6646341463414634,-0.47319552134146387,0.838448,-3.155153,0.838448,0.8357544357798162,-3.0672963454545457,0.6615853658536586,1.6219512195121952,1.0,0.5399912984665279,-1000002330.4055742,2330.405574197765,0.0
1,9560,0.03,-0.02,0.01,0.75,0.01,0.03,6.0,20.0,60.0,120.0,328.0,0.6646341463414634,-0.47319552134146387,0.838448,-3.155153,0.838448,0.8357544357798162,-3.0672963454545457,0.6615853658536586,1.6219512195121952,1.0,0.5399912984665279,-1000002330.4055742,2330.405574197765,0.0
1,12920,0.03,-0.01,0.01,0.75,0.01,0.03,6.0,20.0,60.0,120.0,328.0,0.6646341463414634,-0.47319552134146387,0.838448,-3.155153,0.838448,0.8357544357798162,-3.0672963454545457,0.6615853658536586,1.6219512195121952,1.0,0.5399912984665279,-1000002330.4055742,2330.405574197765,0.0
1,2838,0.03,-0.04,0.01,0.75,0.01,0.03,4.0,20.0,60.0,120.0,328.0,0.6585365853658537,-0.4583880396341467,0.838448,-3.155153,0.838448,0.8334578425925925,-2.9498050982142865,0.649390243902439,1.5396341463414633,1.0,0.5449115886049262,-1000002369.791479,2369.79147895304,0.0
1,6198,0.03,-0.03,0.01,0.75,0.01,0.03,4.0,20.0,60.0,120.0,328.0,0.6585365853658537,-0.4583880396341467,0.838448,-3.155153,0.838448,0.8334578425925925,-2.9498050982142865,0.649390243902439,1.5396341463414633,1.0,0.5449115886049262,-1000002369.791479,2369.79147895304,0.0
1,9558,0.03,-0.02,0.01,0.75,0.01,0.03,4.0,20.0,60.0,120.0,328.0,0.6585365853658537,-0.4583880396341467,0.838448,-3.155153,0.838448,0.8334578425925925,-2.9498050982142865,0.649390243902439,1.5396341463414633,1.0,0.5449115886049262,-1000002369.791479,2369.79147895304,0.0
1,12918,0.03,-0.01,0.01,0.75,0.01,0.03,4.0,20.0,60.0,120.0,328.0,0.6585365853658537,-0.4583880396341467,0.838448,-3.155153,0.838448,0.8334578425925925,-2.9498050982142865,0.649390243902439,1.5396341463414633,1.0,0.5449115886049262,-1000002369.791479,2369.79147895304,0.0
1,2839,0.03,-0.04,0.01,0.75,0.01,0.03,5.0,20.0,60.0,120.0,328.0,0.6615853658536586,-0.48723491768292754,0.838448,-3.155153,0.838448,0.8349775253456219,-3.072100684684685,0.6585365853658537,1.5945121951219512,1.0,0.5313443854845503,-1000002378.667639,2378.6676389627823,0.0
1,6199,0.03,-0.03,0.01,0.75,0.01,0.03,5.0,20.0,60.0,120.0,328.0,0.6615853658536586,-0.48723491768292754,0.838448,-3.155153,0.838448,0.8349775253456219,-3.072100684684685,0.6585365853658537,1.5945121951219512,1.0,0.5313443854845503,-1000002378.667639,2378.6676389627823,0.0
