code,name,market,trade_date,close,vol,score,ma_ok,volume_price_ok,k_pattern_ok,reason,breakout_date,breakout_level,breakout_vol_ratio,pullback_date,pullback_vol_ratio
002323,雅博股份,0,2026-02-26,2.48,6150858.0,12,True,True,True,量价:倍量突破+缩量回踩 | 量价:地量见底 | 量价:温和堆量 | 均线:5/10/20多头发散 | 形态:近期涨停/仙人指路,2026-02-10,1.96,4.496,2026-02-11,0.292
600740,山西焦化,1,2026-02-26,4.72,723774.0,11,True,True,True,量价:倍量突破+缩量回踩 | 量价:地量见底 | 均线:5/10/20多头发散 | 形态:近期涨停/仙人指路,2026-01-29,4.4,5.386,2026-02-03,0.323
601799,星宇股份,1,2026-02-26,152.15,29474.0,11,True,True,True,量价:倍量突破+缩量回踩 | 量价:地量见底 | 均线:5/10/20多头发散 | 形态:近期涨停/仙人指路,2026-01-29,131.67,4.448,2026-02-05,0.227
600499,科达制造,1,2026-02-26,18.01,380483.0,11,True,True,True,量价:倍量突破+缩量回踩 | 量价:地量见底 | 均线:5/10/20多头发散 | 形态:近期涨停/仙人指路,2026-01-30,16.26,3.285,2026-02-04,0.329
603980,吉华集团,1,2026-02-26,8.24,1023943.0,11,True,True,True,量价:倍量突破+缩量回踩 | 量价:地量见底 | 量价:温和堆量 | 均线:5/10/20多头发散 | 形态:近期涨停,2026-01-29,6.09,3.264,2026-02-09,0.034
600590,泰豪科技,1,2026-02-26,15.08,1275841.0,11,True,True,True,量价:倍量突破+缩量回踩 | 量价:地量见底 | 均线:5/10/20多头发散 | 形态:近期涨停/仙人指路,2026-01-23,10.95,3.144,2026-02-03,0.262
600683,京投发展,1,2026-02-26,7.06,331152.0,10,True,True,True,量价:倍量突破+缩量回踩 | 量价:地量见底 | 均线:5/10/20多头发散 | 形态:近期涨停,2026-01-29,4.63,4.544,2026-02-03,0.188
603139,康惠股份,1,2026-02-26,26.71,43347.0,10,True,True,True,量价:倍量突破+缩量回踩 | 均线:5/10/20多头发散 | 形态:近期涨停/仙人指路,2026-01-26,22.64,4.521,2026-02-02,0.289
000890,法尔胜,0,2026-02-26,8.02,890752.0,10,True,True,True,量价:倍量突破+缩量回踩 | 量价:地量见底 | 均线:5/10/20多头发散 | 形态:近期涨停,2026-02-13,5.55,3.8,2026-02-24,0.308
600072,中船科技,1,2026-02-26,13.31,375725.0,10,True,True,True,量价:倍量突破+缩量回踩 | 量价:地量见底 | 均线:5/10/20多头发散 | 形态:近期涨停,2026-02-04,12.35,3.591,2026-02-11,0.264
000571,新大洲A,0,2026-02-26,7.38,277034.0,10,True,True,True,量价:倍量突破+缩量回踩 | 量价:地量见底 | 均线:5/10/20多头发散 | 形态:近期涨停,2026-02-10,6.95,3.259,2026-02-13,0.23
603042,华脉科技,1,2026-02-26,19.61,349645.0,10,True,True,True,量价:倍量突破+缩量回踩 | 量价:地量见底 | 均线:5/10/20多头发散 | 形态:近期涨停,2026-02-04,18.74,3.145,2026-02-12,0.328
002597,金禾实业,0,2026-02-26,28.2,293150.0,10,True,True,True,量价:倍量突破+缩量回踩 | 量价:地量见底 | 均线:5/10/20多头发散 | 形态:近期涨停,2026-02-11,26.22,3.124,2026-02-13,0.26
600984,建设机械,1,2026-02-26,5.15,954290.0,10,True,True,True,量价:倍量突破+缩量回踩 | 量价:地量见底 | 均线:5/10/20多头发散 | 形态:近期涨停,2026-02-03,4.36,3.035,2026-02-09,0.319
600871,石化油服,1,2026-02-26,3.2,4324087.0,10,True,True,True,量价:倍量突破+缩量回踩 | 量价:地量见底 | 均线:5/10/20多头发散 | 形态:近期涨停,2026-01-22,2.54,2.796,2026-02-02,0.153
002806,华锋股份,0,2026-02-26,16.84,131731.0,10,True,True,True,量价:倍量突破+缩量回踩 | 均线:5/10/20多头发散 | 形态:近期涨停/仙人指路,2026-02-10,15.04,2.677,2026-02-26,0.316
600685,中船防务,1,2026-02-26,37.46,265938.0,10,True,True,True,量价:倍量突破+缩量回踩 | 量价:地量见底 | 量价:温和堆量 | 均线:5/10/20多头发散 | 形态:仙人指路,2026-01-22,33.22,2.595,2026-01-28,0.329
300277,海联讯,0,2026-02-26,25.0,1128236.0,10,True,True,True,量价:倍量突破+缩量回踩 | 量价:地量见底 | 均线:5/10/20多头发散 | 形态:近期涨停,2026-01-22,16.52,2.371,2026-01-27,0.33
300461,田中精机,0,2026-02-26,55.5,95083.0,10,True,True,True,量价:倍量突破+缩量回踩 | 量价:地量见底 | 均线:5/10/20多头发散 | 形态:近期涨停,2026-01-26,27.68,2.329,2026-01-29,0.326
