iter,idx,elapsed_s,pullback_min,pullback_max,vol_contract_ratio,take_profit_pct,stop_loss_pct,max_hold_days,trend_ma_fast,trend_ma_slow,trend_ma_long,trades,win_rate,avg_ret,med_ret,min_ret,max_ret,avg_win_ret,avg_loss_ret,tp_hit_rate,profit_factor,score,penalty,feasible
1,1407,0.03,-0.06,0.02,0.6,0.06,0.12,15.0,20.0,60.0,120.0,212.0,0.5518867924528302,-0.30378612264151006,1.8764029999999998,-12.140758,5.830451,5.172185452991453,-7.0478774315789465,0.4716981132075472,0.9038117898089502,-1000002673.5084958,2673.5084958537977,0.0
1,3807,0.03,-0.05,0.02,0.6,0.06,0.12,15.0,20.0,60.0,120.0,212.0,0.5518867924528302,-0.30378612264151006,1.8764029999999998,-12.140758,5.830451,5.172185452991453,-7.0478774315789465,0.4716981132075472,0.9038117898089502,-1000002673.5084958,2673.5084958537977,0.0
1,6207,0.03,-0.04,0.02,0.6,0.06,0.12,15.0,20.0,60.0,120.0,212.0,0.5518867924528302,-0.30378612264151006,1.8764029999999998,-12.140758,5.830451,5.172185452991453,-7.0478774315789465,0.4716981132075472,0.9038117898089502,-1000002673.5084958,2673.5084958537977,0.0
1,8607,0.03,-0.03,0.02,0.6,0.06,0.12,15.0,20.0,60.0,120.0,212.0,0.5518867924528302,-0.30378612264151006,1.8764029999999998,-12.140758,5.830451,5.172185452991453,-7.0478774315789465,0.4716981132075472,0.9038117898089502,-1000002673.5084958,2673.5084958537977,0.0
1,11007,0.03,-0.02,0.02,0.6,0.06,0.12,15.0,20.0,60.0,120.0,212.0,0.5518867924528302,-0.30378612264151006,1.8764029999999998,-12.140758,5.830451,5.172185452991453,-7.0478774315789465,0.4716981132075472,0.9038117898089502,-1000002673.5084958,2673.5084958537977,0.0
1,1377,0.03,-0.06,0.02,0.6,0.05,0.12,15.0,20.0,60.0,120.0,216.0,0.5694444444444444,-0.6449040601851858,2.338422,-12.140758,4.83205,4.310469642276416,-7.198785408602149,0.49074074074074076,0.791931332418631,-1000002721.6928908,2721.692890718294,0.0
1,3777,0.03,-0.05,0.02,0.6,0.05,0.12,15.0,20.0,60.0,120.0,216.0,0.5694444444444444,-0.6449040601851858,2.338422,-12.140758,4.83205,4.310469642276416,-7.198785408602149,0.49074074074074076,0.791931332418631,-1000002721.6928908,2721.692890718294,0.0
1,6177,0.03,-0.04,0.02,0.6,0.05,0.12,15.0,20.0,60.0,120.0,216.0,0.5694444444444444,-0.6449040601851858,2.338422,-12.140758,4.83205,4.310469642276416,-7.198785408602149,0.49074074074074076,0.791931332418631,-1000002721.6928908,2721.692890718294,0.0
1,8577,0.03,-0.03,0.02,0.6,0.05,0.12,15.0,20.0,60.0,120.0,216.0,0.5694444444444444,-0.6449040601851858,2.338422,-12.140758,4.83205,4.310469642276416,-7.198785408602149,0.49074074074074076,0.791931332418631,-1000002721.6928908,2721.692890718294,0.0
1,10977,0.03,-0.02,0.02,0.6,0.05,0.12,15.0,20.0,60.0,120.0,216.0,0.5694444444444444,-0.6449040601851858,2.338422,-12.140758,4.83205,4.310469642276416,-7.198785408602149,0.49074074074074076,0.791931332418631,-1000002721.6928908,2721.692890718294,0.0
