symbol,name,industry,sum_pct,last_pct_chg,avg_amount_yi,days,trade_date,reason,ts_code
000685,中山公用,水务,2.15,0.25,1.38,3,20260312,20260310-20260312 连续3日小阳线 累计2.15%,000685.SZ
001213,中铁特货,铁路,2.12,0.23,1.06,3,20260312,20260310-20260312 连续3日小阳线 累计2.12%,001213.SZ
600757,长江传媒,出版业,2.11,0.33,0.73,3,20260312,20260310-20260312 连续3日小阳线 累计2.11%,600757.SH
002662,峰璟股份,汽车配件,2.01,0.5,0.67,3,20260312,20260310-20260312 连续3日小阳线 累计2.01%,002662.SZ
603120,肯特催化,化工原料,2.0,0.47,0.93,3,20260312,20260310-20260312 连续3日小阳线 累计2.0%,603120.SH
603565,中谷物流,水运,1.94,0.55,1.53,3,20260312,20260310-20260312 连续3日小阳线 累计1.94%,603565.SH
600061,国投资本,证券,1.93,0.55,2.18,3,20260312,20260310-20260312 连续3日小阳线 累计1.93%,600061.SH
000156,华数传媒,影视音像,1.87,0.25,1.24,3,20260312,20260310-20260312 连续3日小阳线 累计1.87%,000156.SZ
600981,苏豪汇鸿,商贸代理,1.84,0.3,0.72,3,20260312,20260310-20260312 连续3日小阳线 累计1.84%,600981.SH
000088,盐田港,港口,1.74,0.65,1.47,3,20260312,20260310-20260312 连续3日小阳线 累计1.74%,000088.SZ
000001,平安银行,银行,1.66,0.46,8.19,3,20260312,20260310-20260312 连续3日小阳线 累计1.66%,000001.SZ
920007,酉立智能,电气设备,1.58,0.22,0.22,3,20260312,20260310-20260312 连续3日小阳线 累计1.58%,920007.BJ
600559,老白干酒,白酒,1.49,0.34,1.06,3,20260312,20260310-20260312 连续3日小阳线 累计1.49%,600559.SH
601966,玲珑轮胎,汽车配件,1.43,0.27,1.58,3,20260312,20260310-20260312 连续3日小阳线 累计1.43%,601966.SH
000876,新希望,饲料,1.36,0.34,3.22,3,20260312,20260310-20260312 连续3日小阳线 累计1.36%,000876.SZ
301656,联合动力,汽车配件,1.24,0.4,0.87,3,20260312,20260310-20260312 连续3日小阳线 累计1.24%,301656.SZ
601718,际华集团,服饰,1.19,0.29,2.12,3,20260312,20260310-20260312 连续3日小阳线 累计1.19%,601718.SH
