symbol,name,industry,sum_pct,last_pct_chg,avg_amount_yi,days,trade_date,reason,ts_code
301395,仁信新材,化工原料,7.15,1.8,1.34,3,20260313,20260311-20260313 连续3日小阳线 累计7.15%,301395.SZ
600458,时代新材,塑料,6.81,2.1,3.9,3,20260313,20260311-20260313 连续3日小阳线 累计6.81%,600458.SH
600177,雅戈尔,服饰,6.78,1.75,3.31,3,20260313,20260311-20260313 连续3日小阳线 累计6.78%,600177.SH
600251,冠农股份,农业综合,6.71,2.07,2.58,3,20260313,20260311-20260313 连续3日小阳线 累计6.71%,600251.SH
300236,上海新阳,半导体,6.43,2.76,11.9,3,20260313,20260311-20260313 连续3日小阳线 累计6.43%,300236.SZ
601077,渝农商行,银行,5.82,1.31,4.62,3,20260313,20260311-20260313 连续3日小阳线 累计5.82%,601077.SH
002539,云图控股,农药化肥,5.49,1.73,7.55,3,20260313,20260311-20260313 连续3日小阳线 累计5.49%,002539.SZ
000717,中南股份,普钢,5.48,2.53,1.52,3,20260313,20260311-20260313 连续3日小阳线 累计5.48%,000717.SZ
002034,旺能环境,环境保护,5.27,2.72,1.59,3,20260313,20260311-20260313 连续3日小阳线 累计5.27%,002034.SZ
601633,长城汽车,汽车整车,4.91,2.23,4.28,3,20260313,20260311-20260313 连续3日小阳线 累计4.91%,601633.SH
600141,兴发集团,农药化肥,4.89,1.09,15.15,3,20260313,20260311-20260313 连续3日小阳线 累计4.89%,600141.SH
600012,皖通高速,路桥,4.85,1.2,0.98,3,20260313,20260311-20260313 连续3日小阳线 累计4.85%,600012.SH
000049,德赛电池,电气设备,4.85,1.08,3.28,3,20260313,20260311-20260313 连续3日小阳线 累计4.85%,000049.SZ
300054,鼎龙股份,化工原料,4.81,2.44,9.89,3,20260313,20260311-20260313 连续3日小阳线 累计4.81%,300054.SZ
301238,瑞泰新材,化工原料,4.74,1.41,2.26,3,20260313,20260311-20260313 连续3日小阳线 累计4.74%,301238.SZ
300232,洲明科技,元器件,4.73,1.97,6.4,3,20260313,20260311-20260313 连续3日小阳线 累计4.73%,300232.SZ
605068,明新旭腾,汽车配件,4.71,1.64,0.93,3,20260313,20260311-20260313 连续3日小阳线 累计4.71%,605068.SH
000709,河钢股份,普钢,4.7,1.15,4.44,3,20260313,20260311-20260313 连续3日小阳线 累计4.7%,000709.SZ
603737,三棵树,染料涂料,4.69,2.13,2.7,3,20260313,20260311-20260313 连续3日小阳线 累计4.69%,603737.SH
601618,中国中冶,建筑工程,4.69,0.61,13.16,3,20260313,20260311-20260313 连续3日小阳线 累计4.69%,601618.SH
600423,柳化股份,农药化肥,4.5,1.48,1.37,3,20260313,20260311-20260313 连续3日小阳线 累计4.5%,600423.SH
600315,上海家化,日用化工,4.4,2.5,1.66,3,20260313,20260311-20260313 连续3日小阳线 累计4.4%,600315.SH
605098,行动教育,文教休闲,4.38,0.91,0.98,3,20260313,20260311-20260313 连续3日小阳线 累计4.38%,605098.SH
002442,龙星科技,化工原料,4.33,2.52,1.13,3,20260313,20260311-20260313 连续3日小阳线 累计4.33%,002442.SZ
600926,杭州银行,银行,4.32,0.94,6.77,3,20260313,20260311-20260313 连续3日小阳线 累计4.32%,600926.SH
601800,中国交建,建筑工程,4.25,2.78,6.49,3,20260313,20260311-20260313 连续3日小阳线 累计4.25%,601800.SH
000761,本钢板材,普钢,4.2,1.94,0.81,3,20260313,20260311-20260313 连续3日小阳线 累计4.2%,000761.SZ
600104,上汽集团,汽车整车,4.08,1.6,10.91,3,20260313,20260311-20260313 连续3日小阳线 累计4.08%,600104.SH
002899,英派斯,文教休闲,4.0,1.16,1.07,3,20260313,20260311-20260313 连续3日小阳线 累计4.0%,002899.SZ
603071,物产环能,批发业,3.96,1.03,0.85,3,20260313,20260311-20260313 连续3日小阳线 累计3.96%,603071.SH
600350,山东高速,路桥,3.96,0.92,0.87,3,20260313,20260311-20260313 连续3日小阳线 累计3.96%,600350.SH
601326,秦港股份,港口,3.96,0.28,1.37,3,20260313,20260311-20260313 连续3日小阳线 累计3.96%,601326.SH
000688,国城矿业,铅锌,3.95,1.0,8.84,3,20260313,20260311-20260313 连续3日小阳线 累计3.95%,000688.SZ
601985,中国核电,新型电力,3.89,0.87,27.0,3,20260313,20260311-20260313 连续3日小阳线 累计3.89%,601985.SH
600876,凯盛新能,玻璃,3.87,0.65,0.87,3,20260313,20260311-20260313 连续3日小阳线 累计3.87%,600876.SH
601825,沪农商行,银行,3.85,1.97,1.82,3,20260313,20260311-20260313 连续3日小阳线 累计3.85%,601825.SH
002857,三晖电气,电器仪表,3.84,1.99,3.06,3,20260313,20260311-20260313 连续3日小阳线 累计3.84%,002857.SZ
002753,永东股份,化工原料,3.76,0.99,1.02,3,20260313,20260311-20260313 连续3日小阳线 累计3.76%,002753.SZ
688408,中信博,电气设备,3.72,1.48,2.72,3,20260313,20260311-20260313 连续3日小阳线 累计3.72%,688408.SH
601528,瑞丰银行,银行,3.66,0.72,1.25,3,20260313,20260311-20260313 连续3日小阳线 累计3.66%,601528.SH
920037,广信科技,电气设备,3.62,1.99,1.61,3,20260313,20260311-20260313 连续3日小阳线 累计3.62%,920037.BJ
600425,青松建化,水泥,3.49,1.29,1.91,3,20260313,20260311-20260313 连续3日小阳线 累计3.49%,600425.SH
002004,华邦健康,农药化肥,3.47,0.36,3.19,3,20260313,20260311-20260313 连续3日小阳线 累计3.47%,002004.SZ
603817,海峡环保,环境保护,3.46,0.65,1.82,3,20260313,20260311-20260313 连续3日小阳线 累计3.46%,603817.SH
600015,华夏银行,银行,3.43,1.7,5.21,3,20260313,20260311-20260313 连续3日小阳线 累计3.43%,600015.SH
601998,中信银行,银行,3.41,1.35,3.83,3,20260313,20260311-20260313 连续3日小阳线 累计3.41%,601998.SH
603939,益丰药房,医药商业,3.34,0.45,2.3,3,20260313,20260311-20260313 连续3日小阳线 累计3.34%,603939.SH
603880,南卫股份,医疗保健,3.2,0.82,0.93,3,20260313,20260311-20260313 连续3日小阳线 累计3.2%,603880.SH
601186,中国铁建,建筑工程,3.13,1.35,10.45,3,20260313,20260311-20260313 连续3日小阳线 累计3.13%,601186.SH
601311,骆驼股份,电气设备,3.13,0.41,2.91,3,20260313,20260311-20260313 连续3日小阳线 累计3.13%,601311.SH
601229,上海银行,银行,3.11,1.23,4.3,3,20260313,20260311-20260313 连续3日小阳线 累计3.11%,601229.SH
600820,隧道股份,建筑工程,3.06,0.3,2.48,3,20260313,20260311-20260313 连续3日小阳线 累计3.06%,600820.SH
600000,浦发银行,银行,2.98,0.79,9.8,3,20260313,20260311-20260313 连续3日小阳线 累计2.98%,600000.SH
600919,江苏银行,银行,2.94,0.84,11.3,3,20260313,20260311-20260313 连续3日小阳线 累计2.94%,600919.SH
000498,山东路桥,建筑工程,2.93,1.45,1.49,3,20260313,20260311-20260313 连续3日小阳线 累计2.93%,000498.SZ
600125,铁龙物流,铁路,2.89,0.3,1.98,3,20260313,20260311-20260313 连续3日小阳线 累计2.89%,600125.SH
002489,浙江永强,家居用品,2.79,1.39,1.14,3,20260313,20260311-20260313 连续3日小阳线 累计2.79%,002489.SZ
600908,无锡银行,银行,2.75,0.34,1.18,3,20260313,20260311-20260313 连续3日小阳线 累计2.75%,600908.SH
601577,长沙银行,银行,2.7,1.14,1.79,3,20260313,20260311-20260313 连续3日小阳线 累计2.7%,601577.SH
688475,萤石网络,IT设备,2.69,0.21,1.82,3,20260313,20260311-20260313 连续3日小阳线 累计2.69%,688475.SH
600064,南京高科,园区开发,2.63,0.91,1.57,3,20260313,20260311-20260313 连续3日小阳线 累计2.63%,600064.SH
001227,兰州银行,银行,2.59,0.43,2.04,3,20260313,20260311-20260313 连续3日小阳线 累计2.59%,001227.SZ
603628,清源股份,电气设备,2.49,0.73,2.45,3,20260313,20260311-20260313 连续3日小阳线 累计2.49%,603628.SH
600754,锦江酒店,酒店餐饮,2.49,0.37,2.2,3,20260313,20260311-20260313 连续3日小阳线 累计2.49%,600754.SH
601187,厦门银行,银行,2.47,0.68,1.05,3,20260313,20260311-20260313 连续3日小阳线 累计2.47%,601187.SH
000895,双汇发展,食品,2.44,0.54,2.73,3,20260313,20260311-20260313 连续3日小阳线 累计2.44%,000895.SZ
002839,张家港行,银行,2.43,0.22,1.39,3,20260313,20260311-20260313 连续3日小阳线 累计2.43%,002839.SZ
601939,建设银行,银行,2.33,0.55,8.24,3,20260313,20260311-20260313 连续3日小阳线 累计2.33%,601939.SH
601916,浙商银行,银行,2.29,0.32,6.3,3,20260313,20260311-20260313 连续3日小阳线 累计2.29%,601916.SH
601121,宝地矿业,普钢,2.28,0.47,2.06,3,20260313,20260311-20260313 连续3日小阳线 累计2.28%,601121.SH
601398,工商银行,银行,2.26,0.56,18.87,3,20260313,20260311-20260313 连续3日小阳线 累计2.26%,601398.SH
000598,兴蓉环境,水务,2.25,0.42,2.34,3,20260313,20260311-20260313 连续3日小阳线 累计2.25%,000598.SZ
601107,四川成渝,路桥,2.24,1.11,1.19,3,20260313,20260311-20260313 连续3日小阳线 累计2.24%,601107.SH
601997,贵阳银行,银行,2.24,0.34,2.63,3,20260313,20260311-20260313 连续3日小阳线 累计2.24%,601997.SH
600641,先导基电,半导体,2.15,0.44,3.97,3,20260313,20260311-20260313 连续3日小阳线 累计2.15%,600641.SH
000877,天山股份,水泥,2.07,0.37,0.96,3,20260313,20260311-20260313 连续3日小阳线 累计2.07%,000877.SZ
