ts_code,name,industry,close,pct_chg,limit_times,open_times,fd_amount,first_time,last_time,theme,status,lu_desc,turnover_rate,volume_ratio,circ_mv,mf_net_amount,mf_buy_elg_amount,mf_buy_lg_amount,score
002843.SZ,泰嘉股份,通用设备,25.27,10.01,2,0,107560491.0,92500,92500,电源、光伏,5天3板,电源,4.2,0.39,633752.8042,5607.79,7793.39,-2185.6,44.45454545454545
301226.SZ,祥明智能,电机Ⅱ,41.82,20.0,1,0,33752922.0,143800,143800,机器人概念、光伏,首板,机器人概念,16.7122,5.75,455001.6,8980.17,8919.06,61.11,43.522727272727266
002973.SZ,侨银股份,环境治理,15.59,10.02,1,0,86688195.0,130542,130542,环保、机器人概念,首板,环保,4.0027,2.81,485679.0132,5145.44,5383.16,-237.72,43.06818181818181
688118.SH,普元信息,软件开发,35.5,20.01,1,0,85835627.0,93431,93431,AI应用、人工智能,首板,AI应用,6.7612,0.92,331274.3312,4708.84,5463.52,-754.68,43.022727272727266
605398.SH,新炬网络,IT服务Ⅱ,33.41,10.01,1,0,101111355.0,93407,93407,AI应用、阿里系AI,首板,AI应用,3.0902,1.04,543635.4222,6723.56,7711.89,-988.33,42.11363636363635
603117.SH,万林物流,物流,5.96,9.96,1,0,73662739.0,111548,111548,物流、并购重组,首板,物流,5.6356,2.77,357121.8542,5864.51,5189.13,675.38,41.52272727272727
603578.SH,三星新材,家电零部,15.98,9.98,1,0,73954672.0,141434,141434,光伏玻璃、光伏,首板,光伏,6.3511,1.76,288210.5371,2558.41,2205.32,353.09,37.340909090909086
003018.SZ,金富科技,包装印刷,26.57,10.02,1,0,45880730.0,104103,104103,液冷、算力,首板,算力,17.8696,0.64,260330.0037,5526.64,5129.68,396.96,35.20454545454545
603226.SH,菲林格尔,家居用品,31.82,9.99,1,0,71023258.0,130029,130029,装修家具、地产链,首板,地产链,1.8705,2.39,1131174.8121,2198.22,1679.11,519.11,31.704545454545457
002633.SZ,申科股份,通用设备,19.35,10.01,1,0,41463760.0,95939,95939,海洋经济、发电机,首板,燃气轮机,4.9478,2.31,289125.2813,3807.44,4098.3,-290.86,30.93181818181818
603353.SH,和顺石油,炼化及贸,42.13,10.0,1,0,62699551.0,102218,102218,石油石化、并购重组,首板,石油石化,4.9872,1.46,717971.034,1580.94,4017.04,-2436.1,30.81818181818182
600725.SH,云维股份,综合Ⅱ,5.39,10.0,1,0,45705744.0,93910,93910,电力、煤炭,首板,电力,2.7315,1.35,664301.33,4554.57,5321.93,-767.36,26.931818181818187
603950.SH,长源东谷,汽车零部件,44.51,10.01,2,0,44443235.0,93029,93029,柴油发电机、发电机,2连板,发电机,1.5428,0.4,1440373.8668,2240.33,3436.79,-1196.46,23.795454545454543
