symbol,name,ts_code,trade_date,close,pct_chg,amount_yi,turnover_rate,volume_ratio,total_mv_yi,pe_ttm,pb,list_days,low_n,high_n,dist_low_pct,drawdown_pct,ret5_pct,down_days_5,score,reason
601127,赛力斯,601127.SH,20260303,102.4,-3.5691,27.46036265,1.7543,1.68,1783.79272806,24.705,4.4508,3548,102.17,165.33,0.0022511500440443033,-38.063267404584764,-5.220288781932614,3.0,89.34614730535381,+0.00%距区间低点；-38.1%距区间高点；27.46亿成交额；估值PEttm=24.7 PB=4.45
688772,珠海冠宇,688772.SH,20260303,16.46,-6.5304,7.63960137,4.0025,1.85,186.35776688,39.4733,2.6129,1600,16.39,29.18,0.004270896888346476,-43.59150102810143,-12.725344644750791,4.0,88.79052001377181,+0.00%距区间低点；-43.6%距区间高点；7.64亿成交额；估值PEttm=39.5 PB=2.61
002402,和而泰,002402.SZ,20260303,33.48,-5.0213,13.70566319,4.9032,1.5,309.56889781999996,50.5974,5.8935,5775,33.46,59.47,0.000597728631201333,-43.70270724735161,-6.896551724137945,4.0,87.24028276145127,+0.00%距区间低点；-43.7%距区间高点；13.71亿成交额；估值PEttm=50.6 PB=5.89
603686,福龙马,603686.SH,20260303,21.0,-5.8718,5.99611334,6.6951,1.36,87.24038484,60.8679,2.5716,4054,20.99,36.65,0.0004764173415912065,-42.70122783083219,-11.092294665537683,3.0,87.00621877921976,+0.00%距区间低点；-42.7%距区间高点；6.00亿成交额；估值PEttm=60.9 PB=2.57
688036,传音控股,688036.SH,20260303,54.08,-1.9757,7.2392863,1.1448,1.5,622.56060194,24.0915,3.0444,2346,53.73,80.88,0.0065140517401824916,-33.135509396636984,-7.508123824183343,4.0,86.12850669830772,+0.01%距区间低点；-33.1%距区间高点；7.24亿成交额；估值PEttm=24.1 PB=3.04
600415,小商品城,600415.SH,20260303,14.09,-2.2885,10.296834969999999,1.3159,1.23,772.63349494,18.3868,3.4828,8699,14.03,20.12,0.004276550249465494,-29.97017892644136,-6.191744340878824,4.0,85.19767393178671,+0.00%距区间低点；-30.0%距区间高点；10.30亿成交额；估值PEttm=18.4 PB=3.48
688608,恒玄科技,688608.SH,20260303,188.78,-5.5628,7.84898911,2.4035,1.32,318.46003293,54.1363,4.5189,1903,188.32,288.0,0.0024426508071369035,-34.45138888888889,-9.808418135779462,4.0,84.31747787556543,+0.00%距区间低点；-34.5%距区间高点；7.85亿成交额；估值PEttm=54.1 PB=4.52
000596,古井贡酒,000596.SZ,20260303,115.68,-1.2717,5.2109465,1.1001,1.34,611.48448,12.9252,2.4525,10749,113.6,170.61,0.018309859154929775,-32.19623703182698,-6.5589660743134,4.0,83.60655542921876,+0.02%距区间低点；-32.2%距区间高点；5.21亿成交额；估值PEttm=12.9 PB=2.45
603486,科沃斯,603486.SH,20260303,66.4,-0.9103,4.8728831800000005,1.2548,1.0,384.40374718,23.8907,4.4138,2836,66.39,97.81,0.00015062509414076608,-32.11328085062877,-9.240021869874237,5.0,83.43526264854663,+0.00%距区间低点；-32.1%距区间高点；4.87亿成交额；估值PEttm=23.9 PB=4.41
300073,当升科技,300073.SZ,20260303,53.07,-4.0499,8.95151957,3.2602,1.2,288.85664961000003,56.6004,1.9834,5789,53.0,73.9,0.0013207547169811207,-28.186738836265224,-6.6654941962715375,4.0,83.33112193242457,+0.00%距区间低点；-28.2%距区间高点；8.95亿成交额；估值PEttm=56.6 PB=1.98
000568,泸州老窖,000568.SZ,20260303,107.5,-0.6194,13.43782991,0.845,1.27,1582.3376102299999,12.5162,3.3186,11621,106.81,145.88,0.0064600692819023475,-26.309295311214697,-4.444444444444439,4.0,83.30338209758085,+0.01%距区间低点；-26.3%距区间高点；13.44亿成交额；估值PEttm=12.5 PB=3.32
300035,中科电气,300035.SZ,20260303,20.1,-5.0095,5.565103959999999,4.6457,1.04,137.77076087,26.4336,2.8093,5912,19.93,28.8,0.008529854490717526,-30.208333333333325,-5.367231638418069,4.0,83.10718983040528,+0.01%距区间低点；-30.2%距区间高点；5.57亿成交额；估值PEttm=26.4 PB=2.81
688169,石头科技,688169.SH,20260303,135.14,-2.5807,5.750333050000001,1.6118,1.16,350.15634572,25.7453,2.4985,2202,135.09,191.5,0.0003701236212894088,-29.43080939947781,-10.692572032778225,5.0,83.01269346354078,+0.00%距区间低点；-29.4%距区间高点；5.75亿成交额；估值PEttm=25.7 PB=2.50
300002,神州泰岳,300002.SZ,20260303,10.3,-6.1076,7.28647073,3.7305,1.09,202.6189082,25.3835,2.6511,5968,10.27,13.99,0.002921129503408171,-26.3759828448892,-14.380714879467982,5.0,82.77471797679931,+0.00%距区间低点；-26.4%距区间高点；7.29亿成交额；估值PEttm=25.4 PB=2.65
002611,东方精工,002611.SZ,20260303,16.5,-5.0086,7.29439758,4.3073,1.32,200.8522461,29.4969,3.6812,5299,16.5,22.33,0.0,-26.108374384236445,-8.485856905158073,3.0,82.68558986818924,+0.00%距区间低点；-26.1%距区间高点；7.29亿成交额；估值PEttm=29.5 PB=3.68
601162,天风证券,601162.SH,20260303,3.97,-1.7327,6.8523700199999995,1.9868,1.12,399.93721379,60.6124,1.4715,2692,3.91,5.6,0.01534526854219953,-29.107142857142854,-0.7499999999999951,3.0,82.64019034542073,+0.02%距区间低点；-29.1%距区间高点；6.85亿成交额；估值PEttm=60.6 PB=1.47
600835,上海机电,600835.SH,20260303,24.64,-6.383,4.87802835,2.3957,2.09,252.00296549,27.577,1.8008,11695,24.2,33.8,0.0181818181818183,-27.100591715976318,-10.982658959537572,3.0,82.63694188204256,+0.02%距区间低点；-27.1%距区间高点；4.88亿成交额；估值PEttm=27.6 PB=1.80
603236,移远通信,603236.SH,20260303,79.64,-4.8393,7.17878826,3.3688,1.31,229.22257089,23.7526,3.3997,2422,79.58,107.04,0.0007539582809752421,-25.597907324364733,-5.929600755965037,3.0,82.3238689074571,+0.00%距区间低点；-25.6%距区间高点；7.18亿成交额；估值PEttm=23.8 PB=3.40
001301,尚太科技,001301.SZ,20260303,73.54,-3.6173,3.6206427000000003,2.6069,1.28,191.79404819,19.7382,2.8363,1161,73.06,109.7,0.006569942513003024,-32.96262534184138,-5.596919127086009,3.0,82.08044725443663,+0.01%距区间低点；-33.0%距区间高点；3.62亿成交额；估值PEttm=19.7 PB=2.84
688116,天奈科技,688116.SH,20260303,41.0,-5.53,6.3855590300000005,4.1435,1.12,150.27812860999998,63.7256,4.0249,2351,40.8,60.5,0.004901960784313708,-32.231404958677686,-15.306754802726708,4.0,81.9737555649004,+0.00%距区间低点；-32.2%距区间高点；6.39亿成交额；估值PEttm=63.7 PB=4.02
689009,九号公司-WD,689009.SH,20260303,47.39,-3.4434,5.09382735,1.9047,1.46,341.89082355,19.486,4.9749,1951,47.39,66.3,0.0,-28.521870286576167,-10.041761579346996,5.0,81.86240945949673,+0.00%距区间低点；-28.5%距区间高点；5.09亿成交额；估值PEttm=19.5 PB=4.97
600375,汉马科技,600375.SH,20260303,5.42,-4.2403,2.11757578,2.6243,1.59,86.88646809000001,15.2413,2.598,8372,5.39,8.74,0.005565862708719838,-37.986270022883296,-8.600337268128156,3.0,81.58696982573754,+0.01%距区间低点；-38.0%距区间高点；2.12亿成交额；估值PEttm=15.2 PB=2.60
603444,吉比特,603444.SH,20260303,387.23,-4.0156,7.83127142,2.7448,1.47,278.9647554,18.5784,5.6352,3345,387.0,528.4,0.0005943152454781497,-26.716502649507945,-8.81196279288825,5.0,81.39268074695434,+0.00%距区间低点；-26.7%距区间高点；7.83亿成交额；估值PEttm=18.6 PB=5.64
002241,歌尔股份,002241.SZ,20260303,25.24,-4.5386,26.28567963,3.2482,1.28,894.9207808399999,30.7819,2.5436,6494,25.12,34.9,0.004777070063694211,-27.679083094555878,-5.468164794007491,3.0,81.02429059451855,+0.00%距区间低点；-27.7%距区间高点；26.29亿成交额；估值PEttm=30.8 PB=2.54
000997,新大陆,000997.SZ,20260303,22.82,-4.877,4.53353961,1.931,1.07,231.18894419999998,20.8467,3.2174,9339,22.77,31.6,0.002195871761089263,-27.784810126582283,-11.137071651090336,4.0,80.79057103980276,+0.00%距区间低点；-27.8%距区间高点；4.53亿成交额；估值PEttm=20.8 PB=3.22
