symbol,name,industry,trade_date,decline_pct,decline_detail,vol_pct_avg,vol_ratio,last_close,last_pct_chg,turnover_rate,circ_mv_yi,avg_amount_yi,weekly_detail,index_bullish,reason,ts_code
300985,致远新能,汽车配件,20260413,-19.49,30日跌-19.5%,4.17,,21.48,0.09,1.09,39.85,0.43,,0,30日跌-19.5% 连续2日地量(<15.0%分位) 放量 阳线确认,300985.SZ
301026,浩通科技,小金属,20260413,-19.32,30日跌-19.3%,8.33,,29.27,0.31,2.32,33.46,0.77,,0,30日跌-19.3% 连续2日地量(<15.0%分位) 放量 阳线确认,301026.SZ
002114,罗平锌电,铅锌,20260413,-19.09,30日跌-19.1%,2.5,,8.69,0.7,1.89,28.1,0.53,,0,30日跌-19.1% 连续2日地量(<15.0%分位) 放量 阳线确认,002114.SZ
688033,天宜新材,电气设备,20260413,-18.99,30日跌-19.0%,2.5,,8.36,0.84,1.54,47.0,0.72,,0,30日跌-19.0% 连续2日地量(<15.0%分位) 放量 阳线确认,688033.SH
000733,振华科技,元器件,20260413,-18.92,30日跌-18.9%,10.83,,46.36,0.17,1.36,256.88,3.49,,0,30日跌-18.9% 连续2日地量(<15.0%分位) 放量 阳线确认,000733.SZ
000852,石化机械,化工机械,20260413,-18.92,30日跌-18.9%,4.17,,7.07,0.14,1.25,66.87,0.83,,0,30日跌-18.9% 连续2日地量(<15.0%分位) 放量 阳线确认,000852.SZ
688439,振华风光,元器件,20260413,-18.87,30日跌-18.9%,10.0,,50.69,0.48,0.81,101.38,0.82,,0,30日跌-18.9% 连续2日地量(<15.0%分位) 放量 阳线确认,688439.SH
600372,中航机载,航空,20260413,-18.86,30日跌-18.9%,13.33,,13.04,0.46,0.69,630.99,4.37,,0,30日跌-18.9% 连续2日地量(<15.0%分位) 放量 阳线确认,600372.SH
603878,武进不锈,钢加工,20260413,-18.69,30日跌-18.7%,6.67,,7.57,0.13,1.58,42.48,0.67,,0,30日跌-18.7% 连续2日地量(<15.0%分位) 放量 阳线确认,603878.SH
600764,中国海防,船舶,20260413,-18.51,30日跌-18.5%,14.17,,24.22,0.75,0.6,172.11,1.03,,0,30日跌-18.5% 连续2日地量(<15.0%分位) 放量 阳线确认,600764.SH
688568,中科星图,软件服务,20260413,-18.5,30日跌-18.5%,7.5,,59.8,0.37,1.02,483.23,4.93,,0,30日跌-18.5% 连续2日地量(<15.0%分位) 放量 阳线确认,688568.SH
002225,濮耐股份,其他建材,20260413,-18.46,30日跌-18.5%,11.67,,5.52,0.91,1.62,53.77,0.87,,0,30日跌-18.5% 连续2日地量(<15.0%分位) 放量 阳线确认,002225.SZ
301266,宇邦新材,电气设备,20260413,-18.43,30日跌-18.4%,5.83,,40.01,0.35,2.67,41.74,1.12,,0,30日跌-18.4% 连续2日地量(<15.0%分位) 放量 阳线确认,301266.SZ
600569,安阳钢铁,普钢,20260413,-18.22,30日跌-18.2%,3.33,,2.2,0.92,0.83,63.19,0.52,,0,30日跌-18.2% 连续2日地量(<15.0%分位) 放量 阳线确认,600569.SH
002757,南兴股份,专用机械,20260413,-18.16,60日跌-18.2%,6.67,,20.46,0.34,2.61,57.71,1.51,,0,60日跌-18.2% 连续2日地量(<15.0%分位) 放量 阳线确认,002757.SZ
688077,大地熊,矿物制品,20260413,-18.16,30日跌-18.2%,10.0,,29.96,1.35,1.96,34.3,0.67,,0,30日跌-18.2% 连续2日地量(<15.0%分位) 放量 阳线确认,688077.SH
300215,电科院,电气设备,20260413,-17.83,30日跌-17.8%,8.33,,8.11,0.62,2.86,40.54,1.15,,0,30日跌-17.8% 连续2日地量(<15.0%分位) 放量 阳线确认,300215.SZ
600708,光明地产,全国地产,20260413,-17.8,30日跌-17.8%,6.67,,3.37,0.3,0.89,74.99,0.67,,0,30日跌-17.8% 连续2日地量(<15.0%分位) 放量 阳线确认,600708.SH
000002,万科Ａ,全国地产,20260413,-17.68,30日跌-17.7%,10.0,,3.91,0.51,0.81,379.93,3.07,,0,30日跌-17.7% 连续2日地量(<15.0%分位) 放量 阳线确认,000002.SZ
002243,力合科创,广告包装,20260413,-17.64,30日跌-17.6%,2.5,,8.73,0.46,0.66,105.12,0.69,,0,30日跌-17.6% 连续2日地量(<15.0%分位) 放量 阳线确认,002243.SZ
