market,code,name,signal_mode,rim_left_date,rim_left_price,rim_right_date,rim_right_price,bottom_date,bottom_low,cup_days,cup_depth,rim_diff,handle_days,handle_pullback,handle_high,breakout_date,breakout_close,dist_to_breakout,breakout_vol_ratio,bottom_vol_ratio,left_neg_ratio,right_pos_ratio,score,reason
1,600726,华电能源,breakout,20250714,2.81,20260305,2.76,20251217,2.35,154,0.16961130742049468,0.017793594306049917,3,0.018050541516245425,3.21,20260310,3.21,0.0,2.3238928608872134,0.2843551210564133,0.46226415094339623,0.5416666666666666,73.85446489104092,杯底+杯柄突破
0,002903,宇环数控,breakout,20250916,24.85,20260304,25.06,20251128,20.02,107,0.21118991331757297,0.008379888268156317,4,0.0196078431372549,30.37,20260310,30.37,0.0,1.5090938398528848,1.0545112220619397,0.5531914893617021,0.48333333333333334,72.29110794620475,杯底+杯柄突破
0,300257,开山股份,breakout,20251111,17.36,20260211,18.73,20251216,13.67,64,0.24890109890109888,0.07314468766684469,13,0.015303430079155628,34.33,20260310,34.33,0.0,1.9138267266046638,0.5004792335269346,0.72,0.5384615384615384,56.135870586519836,杯底+杯柄突破
1,600108,亚盛集团,breakout,20251117,3.32,20260127,3.63,20251217,2.97,49,0.16338028169014074,0.08539944903581269,24,0.10372340425531908,5.97,20260310,5.97,0.0,2.2391864381826574,1.2616153226317117,0.6818181818181818,0.5185185185185185,43.14845153195316,杯底+杯柄突破
