ts_code,symbol,name,industry,market,industry_hot,ind_ret5_rank,trade_date,score,reason,close,pct_chg,amount,turnover_rate,volume_ratio,pe,pe_ttm,pb,ps_ttm,dv_ttm,total_mv,circ_mv,vol_ratio10,vol_dry_ratio,ret5,ret20,atr14_pct,high60_prev,ind_ret5_mean,net_mf_amount,net_mf_3d,revenue_x,n_income_attr_p_x,rd_exp_x,rd_ratio_x,accounts_receiv_x,inventories_x,total_cur_assets_x,accounts_receiv_ratio_x,inventories_ratio_x,inventories_yoy_x,n_cashflow_act_x,net_profit_x,ocf_neg_years_3_x,risk_score,risk_flags,score_risk_adj,revenue_y,n_income_attr_p_y,rd_exp_y,rd_ratio_y,accounts_receiv_y,inventories_y,total_cur_assets_y,accounts_receiv_ratio_y,inventories_ratio_y,inventories_yoy_y,n_cashflow_act_y,net_profit_y,ocf_neg_years_3_y
300963.SZ,300963,中洲特材,小金属,创业板,True,3.0,20260302,80.0,20日震荡收敛；距60高位回撤充分；突破10日高点；短均线多头；放量确认；缩量洗盘,21.42,4.4878,704354.541,,,,,,,,,,3.620434924475845,0.42967820388188194,0.10754912099276126,-0.012903225806451535,0.03608989140838378,26.27,0.13304560997183532,,,,,,,,,,,,,,,,10.0,PE空(亏损?),80.0,1075648850.99,95471709.47,50377964.72,0.046834954245182706,317899889.96,375614237.21,1112928190.57,0.285642768916819,0.3375008741737636,0.11821601882906663,60263960.21,95471709.47,1
920403.BJ,920403,康农种业,种植业,北交所,True,9.0,20260302,80.0,20日震荡收敛；距60高位回撤充分；突破10日高点；短均线多头；放量确认；缩量洗盘,26.25,6.8811,183288.235,,,,,,,,,,3.231131557773466,0.5346744934785131,0.15638766519823788,0.036320568495854744,0.04855792780613262,32.3,0.09873859684709022,,,,,,,,,,,,,,,,10.0,PE空(亏损?),80.0,336657483.7,82599891.43,14376588.99,0.04270390437187243,190675724.9,185685549.05,733256649.92,0.2600395440270514,0.25323404713787284,0.0,93211428.04,83237635.14,0
601899.SH,601899,紫金矿业,铜,主板,True,6.0,20260302,79.0,20日震荡收敛；突破10日高点；短均线多头；放量确认；缩量洗盘；波动率低,40.77,3.0847,19141647.926,,,,,,,,,,1.8613324968519873,0.6615808970349714,0.07914240338803613,0.08546325878594252,0.042625448257272575,44.94,0.11881781106275713,,,,,,,,,,,,,,,,10.0,PE空(亏损?),79.0,303639957153.0,32050602437.0,1582329420.0,0.005211202882638683,6811753955.0,33313199379.0,98939034515.0,0.06884799299276849,0.33670431030888454,0.13737245428959488,48860346839.0,39392864181.0,0
603993.SH,603993,洛阳钼业,小金属,主板,True,3.0,20260302,79.0,20日震荡收敛；突破10日高点；短均线多头；放量确认；缩量洗盘；波动率低,24.8,3.3764,11194769.415,,,,,,,,,,1.8638115574110965,0.7763607837737773,0.1282984531392175,0.08963093145869938,0.05115504731120581,28.78,0.13304560997183532,,,,,,,,,,,,,,,,10.0,PE空(亏损?),79.0,213028664834.79,13532035002.94,353973998.59,0.0016616261424936274,647879043.3,29878326307.04,79174392805.23,0.008182936683755701,0.3773736084158051,-0.049384194006704685,32386655541.72,15459442489.95,0
600795.SH,600795,国电电力,火力发电,主板,True,5.0,20260302,79.0,20日震荡收敛；距60高位回撤充分；突破10日高点；短均线多头；放量确认；缩量洗盘,4.97,1.222,1560083.103,,,,,,,,,,1.5360850481495105,0.7984808046227039,0.07343412526997839,0.04192872117400426,0.020090604470666906,6.04,0.12299990342796496,,,,,,,,,,,,,,,,10.0,PE空(亏损?),79.0,179182007412.53,9831015730.47,554983529.41,0.0030973172888517967,28467398016.22,6148361248.34,62795274574.81,0.45333662777930667,0.0979112089240929,0.23566931099548238,55639607993.49,16643028954.43,0
600362.SH,600362,江西铜业,铜,主板,True,6.0,20260302,75.0,20日震荡收敛；距60高位回撤充分；站上MA20；短均线多头；放量确认；缩量洗盘,59.61,2.705,5157671.439,,,,,,,,,,2.003299642877802,0.6225105610203595,0.0832273305469744,0.0,0.054053135565176796,70.7,0.11881781106275713,,,,,,,,,,,,,,,,10.0,PE空(亏损?),75.0,520928245943.0,6962197980.0,1118434386.0,0.0021470027680594982,6233407692.0,44853329771.0,114995099901.0,0.0542058548352615,0.3900455741993747,0.1064410388203667,2507849798.0,7423561010.0,0
688122.SH,688122,西部超导,小金属,科创板,True,3.0,20260302,75.0,20日震荡收敛；距60高位回撤充分；站上MA20；短均线多头；放量确认；缩量洗盘,91.01,0.8309,2296661.493,,,,,,,,,,1.6705277787147208,0.5793871011756088,0.10048367593712215,-0.03427419354838701,0.04045212325212555,110.0,0.13304560997183532,,,,,,,,,,,,,,,,10.0,PE空(亏损?),75.0,4612471588.04,800789109.36,350893645.44,0.07607497168109537,2710152219.46,3859787017.32,10600082387.95,0.25567275048171856,0.36412802052441995,0.15483080008165118,446415208.35,875982347.92,0
600179.SH,600179,安通控股,水运,主板,True,4.0,20260302,75.0,20日震荡收敛；距60高位回撤充分；站上MA20；短均线多头；放量确认；缩量洗盘,5.06,1.4028,557394.472,,,,,,,,,,1.6020824431359066,0.7918117309787542,0.03476482617586907,-0.025048169556840194,0.0366953250050001,6.55,0.13254251017759666,,,,,,,,,,,,,,,,10.0,PE空(亏损?),75.0,7549237121.36,610436499.39,2586074.57,0.000342561046689459,504079819.97,70382046.26,7140483120.7,0.07059463784861994,0.009856762500560364,-0.15084017742837164,1089275611.79,610354196.61,0
600403.SH,600403,大有能源,煤炭开采,主板,True,12.0,20260302,75.0,20日震荡收敛；距60高位回撤充分；站上MA20；短均线多头；放量确认；缩量洗盘,7.16,-1.2414,414548.582,,,,,,,,,,1.5813600943274955,0.5229805803056841,0.045255474452554845,-0.019178082191780743,0.05095004688736077,9.2,0.09123336067117296,,,,,,,,,,,,,,,,10.0,PE空(亏损?),75.0,4930366039.81,-1091220210.96,154041068.53,0.031243333108779935,635276861.57,185468700.23,5457543007.55,0.11640345494138185,0.03398391913236806,0.026481871874324714,-187271218.37,-1045581565.18,1
300087.SZ,300087,荃银高科,种植业,创业板,True,9.0,20260302,75.0,20日震荡收敛；距60高位回撤充分；站上MA20；短均线多头；放量确认；缩量洗盘,9.0,1.0101,296596.24,,,,,,,,,,1.6911606067886074,0.5444879830377358,0.07526881720430123,-0.0615224191866528,0.03445636193586999,12.19,0.09873859684709022,,,,,,,,,,,,,,,,10.0,PE空(亏损?),75.0,4708992457.1,97129636.01,,,528191787.46,2988861416.06,5889208791.59,0.08968807290620714,0.5075149348293102,0.0,65396069.32,168502061.45,0
