ts_code,name,trade_date,asof_time,open,low_0930_1000,low_0930_1000_pct,close_0959,close_0959_pct,cross_time,cross_minutes,last_close,pct_from_open,recent_deepdrop_rebound_total,recent_deepdrop_rebound_yesterday,recent_deepdrop_rebound_daybefore,bonus_points,score,reason
601868.SH,中国能建,20260310,10:11,2.98,2.87,-3.691275167785231,2.97,-0.3355704697986506,10:02,32,3.23,8.389261744966444,0.6,0.0,1.0,0.72,9.109261744966444,前30分钟回撤-3.69%，随后站上开盘价并稳住
603530.SH,神马电力,20260310,10:11,69.75,66.01,-5.362007168458774,69.4,-0.5017921146953324,10:01,31,71.85,3.010752688172035,0.0,0.0,0.0,0.0,3.010752688172035,前30分钟回撤-5.36%，随后站上开盘价并稳住
001309.SZ,德明利,20260310,10:11,288.0,281.0,-2.430555555555556,285.0,-1.0416666666666665,10:01,31,296.65,3.0034722222222143,0.0,0.0,0.0,0.0,3.0034722222222143,前30分钟回撤-2.43%，随后站上开盘价并稳住
603306.SH,华懋科技,20260310,10:11,84.1,83.22,-1.0463733650416118,83.82,-0.3329369797859705,10:00,30,85.58,1.7598097502972703,0.0,0.0,0.0,0.0,1.7598097502972703,前30分钟回撤-1.05%，随后站上开盘价并稳住
