ts_code,name,trade_date,asof_time,open,low_0930_1000,low_0930_1000_pct,close_0959,close_0959_pct,cross_time,cross_minutes,last_close,pct_from_open,recent_deepdrop_rebound_total,recent_deepdrop_rebound_yesterday,recent_deepdrop_rebound_daybefore,bonus_points,score,reason
601868.SH,中国能建,20260310,10:15,2.98,2.87,-3.691275167785231,2.97,-0.3355704697986506,10:02,32,3.23,8.389261744966444,0.6,0.0,1.0,0.72,9.109261744966444,前30分钟回撤-3.69%，随后站上开盘价并稳住
603530.SH,神马电力,20260310,10:15,69.75,66.01,-5.362007168458774,69.4,-0.5017921146953324,10:01,31,72.15,3.440860215053772,0.0,0.0,0.0,0.0,3.440860215053772,前30分钟回撤-5.36%，随后站上开盘价并稳住
001309.SZ,德明利,20260310,10:15,288.0,281.0,-2.430555555555556,285.0,-1.0416666666666665,10:01,31,297.8,3.4027777777777817,0.0,0.0,0.0,0.0,3.4027777777777817,前30分钟回撤-2.43%，随后站上开盘价并稳住
601231.SH,环旭电子,20260310,10:15,39.6,38.61,-2.500000000000005,39.27,-0.833333333333329,10:03,33,40.6,2.525252525252525,0.0,0.0,0.0,0.0,2.525252525252525,前30分钟回撤-2.50%，随后站上开盘价并稳住
688388.SH,嘉元科技,20260310,10:15,43.0,42.5,-1.1627906976744187,42.95,-0.11627906976743524,10:00,30,43.49,1.139534883720935,1.0,1.0,0.0,1.2,2.339534883720935,前30分钟回撤-1.16%，随后站上开盘价并稳住
603306.SH,华懋科技,20260310,10:15,84.1,83.22,-1.0463733650416118,83.82,-0.3329369797859705,10:00,30,86.0,2.2592152199762254,0.0,0.0,0.0,0.0,2.2592152199762254,前30分钟回撤-1.05%，随后站上开盘价并稳住
688110.SH,东芯股份,20260310,10:15,150.8,149.2,-1.0610079575596967,150.38,-0.278514588859427,10:02,32,153.26,1.6312997347479967,0.0,0.0,0.0,0.0,1.6312997347479967,前30分钟回撤-1.06%，随后站上开盘价并稳住
301629.SZ,矽电股份,20260310,10:15,276.0,273.24,-0.9999999999999967,275.21,-0.2862318840579784,10:05,35,279.08,1.1159420289855015,0.0,0.0,0.0,0.0,1.1159420289855015,前30分钟回撤-1.00%，随后站上开盘价并稳住
688228.SH,开普云,20260310,10:15,121.15,120.17,-0.8089145687164704,120.28,-0.718118035493194,10:07,37,122.32,0.9657449442839352,0.0,0.0,0.0,0.0,0.9657449442839352,前30分钟回撤-0.81%，随后站上开盘价并稳住
300374.SZ,中铁装配,20260310,10:15,15.51,15.42,-0.5802707930367496,15.46,-0.3223726627981878,10:04,34,15.65,0.9026434558349488,0.0,0.0,0.0,0.0,0.9026434558349488,前30分钟回撤-0.58%，随后站上开盘价并稳住
