ts_code,name,trade_date,asof_time,open,low_0930_1000,low_0930_1000_pct,close_0959,close_0959_pct,cross_time,cross_minutes,last_close,pct_from_open,recent_deepdrop_rebound_total,recent_deepdrop_rebound_yesterday,recent_deepdrop_rebound_daybefore,bonus_points,score,reason
688590.SH,新致软件,20260306,10:20,15.25,15.07,-1.1803278688524572,15.22,-0.19672131147540564,10:01,31,15.42,1.1147540983606552,0.0,0.0,0.0,0.0,1.1147540983606552,前30分钟回撤-1.18%，随后站上开盘价并稳住
000811.SZ,冰轮环境,20260306,10:20,20.66,20.29,-1.7909002904162683,20.57,-0.43562439496611743,10:04,34,20.89,1.1132623426911927,0.0,0.0,0.0,0.0,1.1132623426911927,前30分钟回撤-1.79%，随后站上开盘价并稳住
300102.SZ,乾照光电,20260306,10:20,35.2,34.47,-2.073863636363648,34.82,-1.0795454545454617,10:06,36,35.59,1.107954545454547,0.0,0.0,0.0,0.0,1.107954545454547,前30分钟回撤-2.07%，随后站上开盘价并稳住
688726.SH,拉普拉斯,20260306,10:20,63.0,62.18,-1.301587301587302,62.39,-0.9682539682539673,10:03,33,63.69,1.0952380952380916,0.0,0.0,0.0,0.0,1.0952380952380916,前30分钟回撤-1.30%，随后站上开盘价并稳住
600237.SH,铜峰电子,20260306,10:20,10.3,10.15,-1.4563106796116538,10.29,-0.09708737864079188,10:02,32,10.41,1.067961165048538,0.0,0.0,0.0,0.0,1.067961165048538,前30分钟回撤-1.46%，随后站上开盘价并稳住
002655.SZ,共达电声,20260306,10:20,16.27,15.82,-2.7658266748617044,16.16,-0.6760909649661919,10:02,32,16.44,1.044867854947767,0.0,0.0,0.0,0.0,1.044867854947767,前30分钟回撤-2.77%，随后站上开盘价并稳住
600879.SH,航天电子,20260306,10:20,26.0,25.65,-1.3461538461538516,25.92,-0.30769230769230116,10:01,31,26.27,1.038461538461537,0.0,0.0,0.0,0.0,1.038461538461537,前30分钟回撤-1.35%，随后站上开盘价并稳住
002134.SZ,天津普林,20260306,10:20,22.26,22.01,-1.1230907457322552,22.24,-0.08984725965859444,10:02,32,22.49,1.0332434860736606,0.0,0.0,0.0,0.0,1.0332434860736606,前30分钟回撤-1.12%，随后站上开盘价并稳住
002040.SZ,南 京 港,20260306,10:20,10.96,10.71,-2.281021897810219,10.91,-0.4562043795620503,10:09,39,11.07,1.0036496350364912,0.0,0.0,0.0,0.0,1.0036496350364912,前30分钟回撤-2.28%，随后站上开盘价并稳住
301132.SZ,满坤科技,20260306,10:20,38.01,37.41,-1.5785319652723007,37.95,-0.15785319652721697,10:02,32,38.38,0.9734280452512617,0.0,0.0,0.0,0.0,0.9734280452512617,前30分钟回撤-1.58%，随后站上开盘价并稳住
002685.SZ,华东重机,20260306,10:20,7.29,7.23,-0.8230452674897066,7.28,-0.1371742112482824,10:08,38,7.36,0.9602194787380012,0.0,0.0,0.0,0.0,0.9602194787380012,前30分钟回撤-0.82%，随后站上开盘价并稳住
600491.SH,龙元建设,20260306,10:20,3.22,3.19,-0.931677018633548,3.21,-0.31055900621118726,10:04,34,3.25,0.9316770186335344,0.0,0.0,0.0,0.0,0.9316770186335344,前30分钟回撤-0.93%，随后站上开盘价并稳住
600262.SH,北方股份,20260306,10:20,29.09,28.76,-1.1344104503265668,29.03,-0.20625644551391792,10:10,40,29.36,0.9281540048126489,0.0,0.0,0.0,0.0,0.9281540048126489,前30分钟回撤-1.13%，随后站上开盘价并稳住
603212.SH,赛伍技术,20260306,10:20,14.44,14.24,-1.3850415512465326,14.36,-0.5540166204986154,10:09,39,14.57,0.9002770083102548,0.0,0.0,0.0,0.0,0.9002770083102548,前30分钟回撤-1.39%，随后站上开盘价并稳住
