ts_code,name,trade_date,asof_time,open,low_0930_1000,low_0930_1000_pct,close_0959,close_0959_pct,cross_time,cross_minutes,last_close,pct_from_open,reason
001267.SZ,汇绿生态,20260306,12:46,36.31,35.2,-3.057009088405396,36.0,-0.8537592949600723,10:03,33,39.58,9.005783530707783,前30分钟回撤-3.06%，随后站上开盘价并稳住
002865.SZ,钧达股份,20260306,12:46,87.0,85.91,-1.2528735632183947,86.32,-0.7816091954023066,10:03,33,94.8,8.965517241379308,前30分钟回撤-1.25%，随后站上开盘价并稳住
002655.SZ,共达电声,20260306,12:46,16.27,15.82,-2.7658266748617044,16.16,-0.6760909649661919,10:02,32,17.3,6.330669944683473,前30分钟回撤-2.77%，随后站上开盘价并稳住
603936.SH,博敏电子,20260306,12:46,13.08,12.91,-1.2996941896024459,13.04,-0.3058103975535239,10:03,33,13.89,6.1926605504587195,前30分钟回撤-1.30%，随后站上开盘价并稳住
301132.SZ,满坤科技,20260306,12:46,38.01,37.41,-1.5785319652723007,37.95,-0.15785319652721697,10:02,32,39.88,4.919757958432004,前30分钟回撤-1.58%，随后站上开盘价并稳住
301031.SZ,中熔电气,20260306,12:46,141.3,140.14,-0.8209483368719214,141.11,-0.13446567586694813,10:00,30,148.01,4.748761500353842,前30分钟回撤-0.82%，随后站上开盘价并稳住
300936.SZ,中英科技,20260306,12:46,45.97,45.63,-0.7396127909506119,45.92,-0.10876658690449675,10:01,31,48.01,4.437676745703718,前30分钟回撤-0.74%，随后站上开盘价并稳住
600392.SH,盛和资源,20260306,12:46,27.48,27.01,-1.7103347889374048,27.37,-0.4002911208151362,10:14,44,28.6,4.075691411935957,前30分钟回撤-1.71%，随后站上开盘价并稳住
688498.SH,源杰科技,20260306,12:46,845.75,824.68,-2.491279929057056,843.55,-0.26012415016258295,10:03,33,877.6,3.7658882648536824,前30分钟回撤-2.49%，随后站上开盘价并稳住
002760.SZ,凤形股份,20260306,12:46,22.39,22.06,-1.4738722644037598,22.31,-0.35730236712819047,10:02,32,23.23,3.7516748548459127,前30分钟回撤-1.47%，随后站上开盘价并稳住
688678.SH,福立旺,20260306,12:46,23.41,23.0,-1.7513882956001714,23.35,-0.2563007261853854,10:04,34,24.27,3.6736437419905994,前30分钟回撤-1.75%，随后站上开盘价并稳住
688400.SH,凌云光,20260306,12:46,42.42,41.77,-1.532296086751529,41.99,-1.0136727958510128,10:13,43,43.94,3.583215464403574,前30分钟回撤-1.53%，随后站上开盘价并稳住
002149.SZ,西部材料,20260306,12:46,48.53,47.74,-1.627859056253862,48.17,-0.7418091901916329,10:03,33,50.19,3.420564599216972,前30分钟回撤-1.63%，随后站上开盘价并稳住
301282.SZ,金禄电子,20260306,12:46,29.6,29.03,-1.9256756756756765,29.35,-0.8445945945945945,10:04,34,30.6,3.378378378378378,前30分钟回撤-1.93%，随后站上开盘价并稳住
300131.SZ,英唐智控,20260306,12:46,13.62,13.28,-2.4963289280469887,13.53,-0.6607929515418492,10:02,32,14.07,3.3039647577092595,前30分钟回撤-2.50%，随后站上开盘价并稳住
300438.SZ,鹏辉能源,20260306,12:46,46.1,45.73,-0.8026030368763657,46.0,-0.21691973969631545,10:03,33,47.61,3.2754880694143127,前30分钟回撤-0.80%，随后站上开盘价并稳住
301302.SZ,华如科技,20260306,12:46,31.86,30.95,-2.85624607658506,31.2,-2.0715630885122414,10:00,30,32.89,3.2328939108600165,前30分钟回撤-2.86%，随后站上开盘价并稳住
000593.SZ,德龙汇能,20260306,12:46,14.54,14.25,-1.9944979367262667,14.42,-0.8253094910591419,10:14,44,14.99,3.0949105914718094,前30分钟回撤-1.99%，随后站上开盘价并稳住
002459.SZ,晶澳科技,20260306,12:46,11.96,11.74,-1.8394648829431492,11.86,-0.8361204013378044,10:09,39,12.28,2.675585284280924,前30分钟回撤-1.84%，随后站上开盘价并稳住
688726.SH,拉普拉斯,20260306,12:46,63.0,62.18,-1.301587301587302,62.39,-0.9682539682539673,10:03,33,64.68,2.6666666666666776,前30分钟回撤-1.30%，随后站上开盘价并稳住
600537.SH,亿晶光电,20260306,12:46,3.4,3.31,-2.6470588235294077,3.36,-1.176470588235295,10:02,32,3.49,2.6470588235294206,前30分钟回撤-2.65%，随后站上开盘价并稳住
002628.SZ,成都路桥,20260306,12:46,5.38,5.26,-2.2304832713754665,5.37,-0.18587360594795144,10:09,39,5.52,2.6022304832713696,前30分钟回撤-2.23%，随后站上开盘价并稳住
300757.SZ,罗博特科,20260306,12:46,389.0,382.55,-1.6580976863753185,386.3,-0.6940874035989688,10:02,32,399.08,2.5912596401028236,前30分钟回撤-1.66%，随后站上开盘价并稳住
300486.SZ,东杰智能,20260306,12:46,23.35,23.06,-1.2419700214132876,23.3,-0.2141327623126369,10:04,34,23.93,2.483940042826545,前30分钟回撤-1.24%，随后站上开盘价并稳住
300852.SZ,四会富仕,20260306,12:46,48.0,46.81,-2.4791666666666616,47.8,-0.41666666666667257,10:02,32,49.15,2.3958333333333304,前30分钟回撤-2.48%，随后站上开盘价并稳住
688411.SH,海博思创,20260306,12:46,222.0,217.85,-1.8693693693693718,220.25,-0.7882882882882882,10:04,34,227.19,2.337837837837837,前30分钟回撤-1.87%，随后站上开盘价并稳住
300648.SZ,星云股份,20260306,12:46,62.31,61.1,-1.9419033862943362,62.07,-0.38517091959557376,10:14,44,63.66,2.166586422725075,前30分钟回撤-1.94%，随后站上开盘价并稳住
301079.SZ,邵阳液压,20260306,12:46,43.28,42.61,-1.5480591497227396,43.14,-0.3234750462107222,10:01,31,44.21,2.148798521256931,前30分钟回撤-1.55%，随后站上开盘价并稳住
688499.SH,利元亨,20260306,12:46,52.82,52.14,-1.2873911397198026,52.57,-0.47330556607345703,10:09,39,53.93,2.1014767133661483,前30分钟回撤-1.29%，随后站上开盘价并稳住
601369.SH,陕鼓动力,20260306,12:46,11.8,11.6,-1.6949152542372972,11.76,-0.33898305084746544,10:04,34,12.04,2.0338983050847323,前30分钟回撤-1.69%，随后站上开盘价并稳住
000034.SZ,神州数码,20260306,12:46,37.37,37.2,-0.4549103559004405,37.23,-0.3746320578003762,10:13,43,38.13,2.0337168852020473,前30分钟回撤-0.45%，随后站上开盘价并稳住
000811.SZ,冰轮环境,20260306,12:46,20.66,20.29,-1.7909002904162683,20.57,-0.43562439496611743,10:04,34,21.08,2.032913843175209,前30分钟回撤-1.79%，随后站上开盘价并稳住
300696.SZ,爱乐达,20260306,12:46,30.49,30.0,-1.60708428993112,30.4,-0.29517874713020614,10:04,34,31.09,1.9678583142013824,前30分钟回撤-1.61%，随后站上开盘价并稳住
603926.SH,铁流股份,20260306,12:46,20.61,20.42,-0.9218825812712165,20.57,-0.19408054342551748,10:04,34,21.01,1.9408054342552261,前30分钟回撤-0.92%，随后站上开盘价并稳住
002851.SZ,麦格米特,20260306,12:46,128.71,126.16,-1.981198042110179,127.26,-1.126563592572452,10:14,44,131.2,1.9345816175899158,前30分钟回撤-1.98%，随后站上开盘价并稳住
301172.SZ,君逸数码,20260306,12:46,12.09,11.93,-1.3234077750206794,12.07,-0.16542597187758123,10:03,33,12.32,1.9023986765922283,前30分钟回撤-1.32%，随后站上开盘价并稳住
600365.SH,ST通葡,20260306,12:46,92.5,91.68,-0.8864864864864791,92.43,-0.07567567567566831,10:01,31,94.24,1.8810810810810756,前30分钟回撤-0.89%，随后站上开盘价并稳住
688592.SH,司南导航,20260306,12:46,45.88,45.49,-0.850043591979077,45.81,-0.15257192676547576,10:05,35,46.73,1.852659110723614,前30分钟回撤-0.85%，随后站上开盘价并稳住
