ts_code,name,trade_date,asof_time,open,low_0930_1000,low_0930_1000_pct,close_0959,close_0959_pct,cross_time,cross_minutes,last_close,pct_from_open,recent_deepdrop_rebound_total,recent_deepdrop_rebound_yesterday,recent_deepdrop_rebound_daybefore,bonus_points,score,reason
002112.SZ,三变科技,20260309,10:15,24.66,24.36,-1.216545012165453,24.36,-1.216545012165453,10:06,36,25.71,4.257907542579079,0.0,0.0,0.0,0.0,4.257907542579079,前30分钟回撤-1.22%，随后站上开盘价并稳住
600475.SH,华光环能,20260309,10:15,21.4,20.8,-2.8037383177569994,20.99,-1.9158878504672905,10:03,33,22.01,2.8504672897196404,0.6,0.0,1.0,0.72,3.57046728971964,前30分钟回撤-2.80%，随后站上开盘价并稳住
600539.SH,狮头股份,20260309,10:15,11.86,11.53,-2.7824620573355827,11.77,-0.7588532883642484,10:01,31,12.22,3.0354131534570086,0.0,0.0,0.0,0.0,3.0354131534570086,前30分钟回撤-2.78%，随后站上开盘价并稳住
000711.SZ,ST京蓝,20260309,10:15,4.12,3.98,-3.398058252427187,4.1,-0.4854368932038947,10:00,30,4.18,1.456310679611641,1.0,1.0,0.0,1.2,2.656310679611641,前30分钟回撤-3.40%，随后站上开盘价并稳住
605298.SH,必得科技,20260309,10:15,50.91,50.0,-1.7874680809271195,50.8,-0.21606757022195922,10:03,33,51.56,1.2767629149479587,1.0,1.0,0.0,1.2,2.4767629149479586,前30分钟回撤-1.79%，随后站上开盘价并稳住
300693.SZ,盛弘股份,20260309,10:15,44.77,43.92,-1.89859280768372,44.4,-0.8264462809917457,10:05,35,45.32,1.228501228501222,1.0,1.0,0.0,1.2,2.428501228501222,前30分钟回撤-1.90%，随后站上开盘价并稳住
688172.SH,燕东微,20260309,10:15,37.75,37.56,-0.5033112582781397,37.73,-0.05298013245033941,10:00,30,38.55,2.119205298013237,0.0,0.0,0.0,0.0,2.119205298013237,前30分钟回撤-0.50%，随后站上开盘价并稳住
603530.SH,神马电力,20260309,10:15,67.64,65.9,-2.5724423418095723,66.46,-1.744529863985817,10:05,35,68.56,1.3601419278533438,0.6,0.0,1.0,0.72,2.0801419278533437,前30分钟回撤-2.57%，随后站上开盘价并稳住
688063.SH,派能科技,20260309,10:15,68.6,67.57,-1.5014577259475237,68.13,-0.6851311953352754,10:07,37,70.0,2.0408163265306207,0.0,0.0,0.0,0.0,2.0408163265306207,前30分钟回撤-1.50%，随后站上开盘价并稳住
688048.SH,长光华芯,20260309,10:15,146.21,139.9,-4.315710279734629,145.35,-0.5881950618972803,10:03,33,148.0,1.2242664660419889,0.6,0.0,1.0,0.72,1.9442664660419888,前30分钟回撤-4.32%，随后站上开盘价并稳住
002240.SZ,盛新锂能,20260309,10:15,37.77,37.13,-1.694466507810433,37.74,-0.07942811755361698,10:05,35,38.5,1.932750860471265,0.0,0.0,0.0,0.0,1.932750860471265,前30分钟回撤-1.69%，随后站上开盘价并稳住
000988.SZ,华工科技,20260309,10:15,112.0,108.5,-3.125,110.46,-1.3750000000000056,10:04,34,113.24,1.1071428571428525,0.6,0.0,1.0,0.72,1.8271428571428525,前30分钟回撤-3.12%，随后站上开盘价并稳住
300241.SZ,瑞丰光电,20260309,10:15,6.71,6.67,-0.5961251862891213,6.7,-0.149031296572277,10:01,31,6.82,1.639344262295087,0.0,0.0,0.0,0.0,1.639344262295087,前30分钟回撤-0.60%，随后站上开盘价并稳住
601100.SH,恒立液压,20260309,10:15,105.0,103.01,-1.8952380952380905,104.79,-0.19999999999999407,10:04,34,106.35,1.2857142857142803,0.0,0.0,0.0,0.0,1.2857142857142803,前30分钟回撤-1.90%，随后站上开盘价并稳住
300975.SZ,商络电子,20260309,10:15,15.21,14.95,-1.7094017094017195,15.2,-0.0657462195923837,10:04,34,15.36,0.9861932938855922,0.0,0.0,0.0,0.0,0.9861932938855922,前30分钟回撤-1.71%，随后站上开盘价并稳住
301392.SZ,汇成真空,20260309,10:15,115.11,113.47,-1.4247241768742946,114.83,-0.24324559117366099,10:01,31,116.19,0.9382329945269727,0.0,0.0,0.0,0.0,0.9382329945269727,前30分钟回撤-1.42%，随后站上开盘价并稳住
300153.SZ,科泰电源,20260309,10:15,37.52,36.8,-1.9189765458422332,37.39,-0.3464818763326294,10:05,35,37.87,0.9328358208955072,0.0,0.0,0.0,0.0,0.9328358208955072,前30分钟回撤-1.92%，随后站上开盘价并稳住
301132.SZ,满坤科技,20260309,10:15,39.14,38.16,-2.5038323965253038,39.12,-0.05109862033725888,10:01,31,39.5,0.9197751660705146,0.0,0.0,0.0,0.0,0.9197751660705146,前30分钟回撤-2.50%，随后站上开盘价并稳住
