symbol,name,market,breakout_date,key_level_type,key_level,breakout_price,current_price,breakout_vol_ratio,stand_days_above,min_close_ratio,trade_date
603139,康惠股份,1,2026-02-24,High60,25.53,26.39,26.86,1.909,3,1.0419,2026-02-27
300875,捷强装备,0,2026-02-24,MA120,44.945,46.63,45.38,1.904,3,1.0097,2026-02-27
603209,兴通股份,1,2026-02-24,MA120,15.4385,15.89,16.23,1.894,3,1.0441,2026-02-27
000601,韶能股份,0,2026-02-24,MA120,5.1283,5.33,5.66,1.892,3,1.051,2026-02-27
300247,融捷健康,0,2026-02-24,MA60,5.0803,5.29,5.19,1.874,3,1.0216,2026-02-27
600798,宁波海运,1,2026-02-24,MA60,3.6713,3.88,3.97,1.87,3,1.0705,2026-02-27
300055,万邦达,0,2026-02-24,High60,8.74,8.97,9.07,1.846,3,1.0229,2026-02-27
300219,鸿利智汇,0,2026-02-24,High60,7.84,8.0,8.02,1.839,3,1.0128,2026-02-27
002457,青龙管业,0,2026-02-24,High60,13.23,13.7,14.72,1.824,3,1.0627,2026-02-27
002283,天润工业,0,2026-02-24,High60,9.26,10.07,11.14,1.82,3,1.0853,2026-02-27
600241,时代万恒,1,2026-02-24,MA60,8.632,8.89,8.86,1.815,3,1.0264,2026-02-27
600222,太龙药业,1,2026-02-24,MA120,6.8521,6.96,7.3,1.793,3,1.0449,2026-02-27
300831,派瑞股份,0,2026-02-24,High60,15.0,15.69,15.22,1.789,3,1.0147,2026-02-27
603306,华懋科技,1,2026-02-24,High60,82.11,85.5,87.95,1.782,3,1.0531,2026-02-27
002476,宝莫股份,0,2026-02-24,MA60,6.5268,6.67,6.76,1.781,3,1.0204,2026-02-27
000988,华工科技,0,2026-02-24,MA60,77.4227,82.42,89.86,1.765,3,1.1121,2026-02-27
603272,联翔股份,1,2026-02-24,High60,23.93,25.14,24.98,1.753,3,1.0439,2026-02-27
000966,长源电力,0,2026-02-24,MA120,4.4316,4.62,4.8,1.75,3,1.0425,2026-02-27
600844,金煤科技,1,2026-02-24,MA60,3.0883,3.25,3.27,1.747,3,1.0459,2026-02-27
000791,甘肃能源,0,2026-02-24,MA60,6.6572,6.8,7.71,1.744,3,1.0335,2026-02-27
300040,九洲集团,0,2026-02-24,High60,7.14,7.2,7.55,1.721,3,1.0056,2026-02-27
300019,硅宝科技,0,2026-02-24,MA60,21.5445,22.18,23.11,1.713,3,1.0638,2026-02-27
002706,良信股份,0,2026-02-24,MA120,10.9685,11.7,11.54,1.703,3,1.0521,2026-02-27
300230,永利股份,0,2026-02-24,High60,5.27,5.3,5.47,1.701,3,1.0228,2026-02-27
688512,慧智微-U,1,2026-02-24,High60,12.68,12.75,12.84,1.693,2,0.9992,2026-02-27
603693,江苏新能,1,2026-02-24,MA60,12.211,12.65,13.39,1.691,3,1.0441,2026-02-27
300745,欣锐科技,0,2026-02-24,MA60,27.242,28.69,27.66,1.688,3,1.0029,2026-02-27
601022,宁波远洋,1,2026-02-24,MA60,9.4075,9.73,9.87,1.684,3,1.0375,2026-02-27
603082,北自科技,1,2026-02-24,MA120,38.1763,39.23,40.3,1.68,3,1.0538,2026-02-27
301226,祥明智能,0,2026-02-24,MA120,32.0757,33.0,41.82,1.671,3,1.0304,2026-02-27
601866,中远海发,1,2026-02-24,MA120,2.5872,2.73,2.91,1.67,3,1.1171,2026-02-27
603685,晨丰科技,1,2026-02-24,High60,26.24,27.19,28.78,1.662,3,1.0633,2026-02-27
000519,中兵红箭,0,2026-02-24,MA60,18.4978,19.68,20.28,1.651,3,1.0688,2026-02-27
002633,申科股份,0,2026-02-24,MA60,16.7348,17.5,19.35,1.648,3,1.0511,2026-02-27
002008,大族激光,0,2026-02-24,High60,55.26,58.83,72.3,1.64,3,1.1469,2026-02-27
301125,腾亚精工,0,2026-02-24,High60,23.5,23.68,23.91,1.637,3,1.0098,2026-02-27
601199,江南水务,1,2026-02-24,MA120,5.812,6.04,6.18,1.636,3,1.0444,2026-02-27
002743,富煌钢构,0,2026-02-24,MA120,5.678,5.98,5.91,1.629,3,1.0391,2026-02-27
603871,嘉友国际,1,2026-02-24,MA60,13.6745,14.66,15.6,1.629,3,1.1028,2026-02-27
301196,唯科科技,0,2026-02-24,MA120,85.0706,87.11,93.31,1.626,3,1.0521,2026-02-27
688162,巨一科技,1,2026-02-24,High60,35.54,36.3,35.73,1.609,3,1.0053,2026-02-27
300643,万通智控,0,2026-02-24,MA60,19.4697,20.31,21.19,1.583,3,1.0339,2026-02-27
000553,安道麦A,0,2026-02-24,MA60,5.9687,6.19,6.23,1.58,3,1.0337,2026-02-27
300135,宝利国际,0,2026-02-24,MA60,4.0185,4.2,4.19,1.578,3,1.0352,2026-02-27
000039,中集集团,0,2026-02-24,High60,11.75,12.06,13.5,1.574,3,1.0494,2026-02-27
002169,智光电气,0,2026-02-24,High60,15.3,15.6,15.47,1.571,3,1.0111,2026-02-27
300145,南方泵业,0,2026-02-24,MA120,4.6014,4.83,4.95,1.57,3,1.0432,2026-02-27
688033,天宜新材,1,2026-02-24,High60,10.15,10.68,12.1,1.565,3,1.0335,2026-02-27
002145,钛能化学,0,2026-02-24,MA60,5.0172,5.26,5.54,1.558,3,1.0763,2026-02-27
600396,华电辽能,1,2026-02-24,High60,3.18,3.21,3.36,1.553,3,1.0126,2026-02-27
605068,明新旭腾,1,2026-02-24,MA60,27.3422,28.12,28.63,1.552,3,1.0277,2026-02-27
300749,顶固集创,0,2026-02-24,High60,31.23,34.39,32.23,1.548,3,1.032,2026-02-27
001289,龙源电力,0,2026-02-24,MA60,15.608,15.91,16.58,1.532,3,1.0129,2026-02-27
300099,尤洛卡,0,2026-02-24,High60,8.75,8.82,9.13,1.53,3,1.0091,2026-02-27
600780,通宝能源,1,2026-02-24,MA60,5.911,6.21,6.58,1.529,3,1.059,2026-02-27
000902,新洋丰,0,2026-02-24,High60,17.72,17.96,18.3,1.517,3,1.0135,2026-02-27
300551,古鳌科技,0,2026-02-24,High60,18.98,19.62,20.75,1.512,3,1.0748,2026-02-27
603196,日播时尚,1,2026-02-24,MA60,25.3843,26.39,26.92,1.511,3,1.0499,2026-02-27
002377,国创高新,0,2026-02-24,High60,3.63,3.8,3.66,1.509,3,1.0083,2026-02-27
688009,中国通号,1,2026-02-24,MA60,5.4435,5.69,5.72,1.509,3,1.0508,2026-02-27
600727,鲁北化工,1,2026-02-24,MA120,7.4038,7.86,8.08,1.507,3,1.0792,2026-02-27
603167,渤海轮渡,1,2026-02-24,MA60,9.5775,9.81,9.82,1.503,3,1.0211,2026-02-27
