ts_code,name,chip_band,close,cost_5pct,cost_95pct,weight_avg,winner_rate,trend_tau,trend_pvalue,trend_change_rate,trade_date,stages,stage_names
000049.SZ,德赛电池,0.1027,27.42,25.6,28.4,27.27,59.67,-0.3852,0.0178,-0.1343,20260327,4,筹码集中
000045.SZ,深纺织Ａ,0.1205,14.41,12.4,14.0,13.28,99.2,-0.4534,0.0057,-0.0279,20260327,5,高锁仓
000062.SZ,深圳华强,0.1516,27.78,24.0,28.0,26.38,90.04,-0.5541,0.0007,-0.3439,20260327,,
000010.SZ,美丽生态,0.158,4.21,4.1,4.8,4.43,17.09,-0.6561,0.0001,-0.2238,20260327,,
000066.SZ,中国长城,0.1733,15.07,14.6,17.4,16.16,14.56,-0.3263,0.0468,-0.0361,20260327,1,低位反转
