ts_code,name,chip_band,close,cost_5pct,cost_95pct,weight_avg,winner_rate,trend_tau,trend_pvalue,trend_change_rate,trade_date,stage,stage_name,stages,stage_names,stage_quality_pass,close_vs_cost,stage_quality_chip_band_max,stage_quality_close_vs_cost_min,stage_quality_close_vs_cost_max,stage_quality_trend_change_rate_max
300308.SZ,中际旭创,0.1841,598.0,524.4,630.2,574.83,66.21,-0.3263,0.0468,-0.0502,20260327,4,主升锁仓,4,主升锁仓,1,1.0403,0.33,1.0,,0.0
300889.SZ,爱克股份,0.181,27.26,23.8,28.6,26.52,66.36,-0.6211,0.0001,-0.2271,20260327,4,主升锁仓,4,主升锁仓,1,1.0279,0.33,1.0,,0.0
000590.SZ,古汉医药,0.1013,12.03,11.2,12.4,11.85,66.42,-0.7702,0.0,-0.2506,20260327,4,主升锁仓,4,主升锁仓,1,1.0152,0.33,1.0,,0.0
002629.SZ,仁智股份,0.1538,6.54,6.0,7.0,6.5,66.46,-0.4105,0.0111,-0.1385,20260327,4,主升锁仓,4,主升锁仓,1,1.0062,0.33,1.0,,0.0
301301.SZ,川宁生物,0.0898,11.26,10.7,11.7,11.13,66.49,-0.5146,0.0016,-0.2831,20260327,4,主升锁仓,4,主升锁仓,1,1.0117,0.33,1.0,,0.0
601187.SH,厦门银行,0.2086,7.41,6.3,7.8,7.19,66.54,-0.9515,0.0,-0.0111,20260327,4,主升锁仓,4,主升锁仓,1,1.0306,0.33,1.0,,0.0
002648.SZ,卫星化学,0.249,27.78,22.6,29.2,26.51,66.68,-0.6526,0.0,-0.2705,20260327,4,主升锁仓,4,主升锁仓,1,1.0479,0.33,1.0,,0.0
000670.SZ,盈方微,0.1365,8.98,8.2,9.4,8.79,67.26,-0.4632,0.0038,-0.0216,20260327,4,主升锁仓,4,主升锁仓,1,1.0216,0.33,1.0,,0.0
688629.SH,华丰科技,0.1186,109.09,102.4,115.2,107.91,67.28,-0.6105,0.0001,-0.4293,20260327,4,主升锁仓,4,主升锁仓,1,1.0109,0.33,1.0,,0.0
300364.SZ,中文在线,0.147,25.94,24.4,28.2,25.85,67.57,-0.5895,0.0001,-0.3495,20260327,4,主升锁仓,4,主升锁仓,1,1.0035,0.33,1.0,,0.0
605028.SH,世茂能源,0.2528,29.13,26.2,33.4,28.48,67.73,-0.8042,0.0,-0.0968,20260327,4,主升锁仓,4,主升锁仓,1,1.0228,0.33,1.0,,0.0
688418.SH,震有科技,0.175,41.42,38.4,45.6,41.15,68.11,-0.6737,0.0,-0.4098,20260327,4,主升锁仓,4,主升锁仓,1,1.0066,0.33,1.0,,0.0
688197.SH,首药控股-U,0.1576,38.82,34.8,40.8,38.08,68.33,-0.4526,0.0047,-0.3638,20260327,4,主升锁仓,4,主升锁仓,1,1.0194,0.33,1.0,,0.0
601838.SH,成都银行,0.1963,17.05,15.7,19.0,16.81,68.58,-0.9101,0.0,-0.085,20260327,4,主升锁仓,4,主升锁仓,1,1.0143,0.33,1.0,,0.0
688819.SH,天能股份,0.3141,33.42,25.6,35.6,31.84,68.98,-0.682,0.0,-0.0802,20260327,4,主升锁仓,4,主升锁仓,1,1.0496,0.33,1.0,,0.0
600732.SH,爱旭股份,0.121,15.19,13.8,15.6,14.88,69.05,-0.3536,0.0296,-0.1302,20260327,4,主升锁仓,4,主升锁仓,1,1.0208,0.33,1.0,,0.0
300518.SZ,新迅达,0.2095,20.72,17.9,22.1,20.05,69.43,-0.5053,0.0014,-0.1151,20260327,4,主升锁仓,4,主升锁仓,1,1.0334,0.33,1.0,,0.0
603696.SH,安记食品,0.1599,16.31,15.3,17.9,16.26,70.21,-0.4297,0.0085,-0.1459,20260327,4,主升锁仓,4,主升锁仓,1,1.0031,0.33,1.0,,0.0
600886.SH,国投电力,0.2746,14.64,12.9,16.8,14.2,70.32,-0.7863,0.0,-0.0508,20260327,4,主升锁仓,4,主升锁仓,1,1.031,0.33,1.0,,0.0
688141.SH,杰华特,0.2704,52.46,43.6,57.2,50.3,70.33,-0.7053,0.0,-0.2822,20260327,4,主升锁仓,4,主升锁仓,1,1.0429,0.33,1.0,,0.0
000516.SZ,国际医学,0.1581,5.17,4.6,5.4,5.06,70.78,-0.5338,0.0012,-0.3241,20260327,4,主升锁仓,4,主升锁仓,1,1.0217,0.33,1.0,,0.0
688096.SH,京源环保,0.1215,9.3,8.5,9.6,9.05,70.84,-0.628,0.0001,-0.3494,20260327,4,主升锁仓,4,主升锁仓,1,1.0276,0.33,1.0,,0.0
601000.SH,唐山港,0.1471,4.27,3.8,4.4,4.08,70.94,-0.9291,0.0,-0.0123,20260327,4,主升锁仓,4,主升锁仓,1,1.0466,0.33,1.0,,0.0
603402.SH,陕西旅游,0.1256,138.66,127.6,144.8,136.96,71.25,-0.7684,0.0,-0.331,20260327,4,主升锁仓,4,主升锁仓,1,1.0124,0.33,1.0,,0.0
688630.SH,芯碁微装,0.1757,185.29,166.5,198.0,179.31,71.62,-0.9263,0.0,-0.2399,20260327,4,主升锁仓,4,主升锁仓,1,1.0334,0.33,1.0,,0.0
301511.SZ,德福科技,0.1545,38.7,34.6,40.4,37.54,71.72,-0.8316,0.0,-0.3929,20260327,4,主升锁仓,4,主升锁仓,1,1.0309,0.33,1.0,,0.0
