ts_code,name,chip_band,close,cost_5pct,cost_95pct,weight_avg,winner_rate,trend_tau,trend_pvalue,trend_change_rate,trade_date,stages,stage_names
000049.SZ,德赛电池,0.1027,27.42,25.6,28.4,27.27,59.67,-0.3852,0.0178,-0.1343,20260327,4,筹码集中
000507.SZ,珠海港,0.1062,5.79,5.3,5.9,5.65,73.71,-0.4434,0.0074,0.4522,20260327,"2,4","强反转信号,筹码集中"
000066.SZ,中国长城,0.1733,15.07,14.6,17.4,16.16,14.56,-0.3263,0.0468,-0.0361,20260327,1,低位反转
