ts_code,name,chip_band,close,cost_5pct,cost_95pct,weight_avg,winner_rate,trend_tau,trend_pvalue,trend_change_rate,trade_date,stage,stage_name,stages,stage_names,stage_quality_pass,close_vs_cost,stage_quality_chip_band_max,stage_quality_close_vs_cost_min,stage_quality_close_vs_cost_max,stage_quality_trend_change_rate_max
605068.SH,明新旭腾,0.1315,27.19,25.5,29.1,27.37,40.44,-0.4552,0.0065,-0.0736,20260327,3,中继收敛,3,中继收敛,1,0.9934,0.28,0.99,1.08,-0.06
603345.SH,安井食品,0.1987,87.44,77.5,95.0,88.08,41.05,-0.6105,0.0001,-0.128,20260327,3,中继收敛,3,中继收敛,1,0.9927,0.28,0.99,1.08,-0.06
605056.SH,咸亨国际,0.1753,23.5,21.2,25.3,23.39,41.28,-0.8783,0.0,-0.192,20260327,3,中继收敛,3,中继收敛,1,1.0047,0.28,0.99,1.08,-0.06
603922.SH,金鸿顺,0.1811,21.0,18.6,22.4,20.98,41.54,-0.8572,0.0,-0.2174,20260327,3,中继收敛,3,中继收敛,1,1.001,0.28,0.99,1.08,-0.06
600847.SH,万里股份,0.2157,13.87,12.0,15.0,13.91,41.96,-0.9496,0.0,-0.1977,20260327,3,中继收敛,3,中继收敛,1,0.9971,0.28,0.99,1.08,-0.06
601699.SH,潞安环能,0.2244,14.15,12.4,15.6,14.26,42.0,-0.9418,0.0,-0.1833,20260327,3,中继收敛,3,中继收敛,1,0.9923,0.28,0.99,1.08,-0.06
601199.SH,江南水务,0.1193,5.9,5.5,6.2,5.87,42.33,-0.5372,0.0021,-0.131,20260327,3,中继收敛,3,中继收敛,1,1.0051,0.28,0.99,1.08,-0.06
002576.SZ,通达动力,0.0964,18.7,17.7,19.5,18.68,42.35,-0.7895,0.0,-0.3107,20260327,3,中继收敛,3,中继收敛,1,1.0011,0.28,0.99,1.08,-0.06
601083.SH,锦江航运,0.0829,12.08,11.5,12.5,12.07,42.38,-0.5579,0.0004,-0.1632,20260327,3,中继收敛,3,中继收敛,1,1.0008,0.28,0.99,1.08,-0.06
603881.SH,数据港,0.1121,37.35,35.4,39.6,37.45,42.59,-0.6947,0.0,-0.2142,20260327,3,中继收敛,3,中继收敛,1,0.9973,0.28,0.99,1.08,-0.06
301226.SZ,祥明智能,0.1636,40.75,35.8,42.4,40.35,42.85,-1.0,0.0,-0.6139,20260327,3,中继收敛,3,中继收敛,1,1.0099,0.28,0.99,1.08,-0.06
605016.SH,百龙创园,0.2102,24.66,21.6,26.8,24.74,42.99,-0.6105,0.0001,-0.1225,20260327,3,中继收敛,3,中继收敛,1,0.9968,0.28,0.99,1.08,-0.06
300931.SZ,通用电梯,0.1582,12.65,11.5,13.5,12.64,43.63,-0.4105,0.0111,-0.2095,20260327,3,中继收敛,3,中继收敛,1,1.0008,0.28,0.99,1.08,-0.06
000731.SZ,四川美丰,0.1416,7.77,7.2,8.3,7.77,43.74,-0.4316,0.0073,-0.4422,20260327,3,中继收敛,3,中继收敛,1,1.0,0.28,0.99,1.08,-0.06
300332.SZ,天壕能源,0.0741,6.76,6.5,7.0,6.75,43.8,-0.5579,0.0004,-0.4648,20260327,3,中继收敛,3,中继收敛,1,1.0015,0.28,0.99,1.08,-0.06
002948.SZ,青岛银行,0.2157,5.12,4.4,5.5,5.1,44.12,-0.6918,0.0001,-0.1621,20260327,3,中继收敛,3,中继收敛,1,1.0039,0.28,0.99,1.08,-0.06
002135.SZ,东南网架,0.2635,6.78,5.7,7.5,6.83,44.46,-0.533,0.001,-0.165,20260327,3,中继收敛,3,中继收敛,1,0.9927,0.28,0.99,1.08,-0.06
