ts_code,name,chip_band,close,cost_5pct,cost_95pct,weight_avg,winner_rate,trend_tau,trend_pvalue,trend_change_rate,trade_date,stage,stage_name,stages,stage_names,stage1_quality_pass,close_vs_cost,stage1_chip_band_max,stage1_close_vs_cost_min,stage1_trend_change_rate_max
601633.SH,长城汽车,1.1686,26.35,22.0,56.8,29.78,44.92,-0.4434,0.0074,-0.008,20250321,3,中继收敛,3,中继收敛,,,,,
301268.SZ,铭利达,0.3447,20.42,16.0,23.2,20.89,45.08,-0.5202,0.0016,-0.1446,20250321,3,中继收敛,3,中继收敛,,,,,
688208.SH,道通科技,0.2263,44.13,24.5,31.0,28.72,45.11,-0.3852,0.0178,-0.0446,20250321,3,中继收敛,3,中继收敛,,,,,
002667.SZ,威领股份,0.1174,10.1,9.6,10.8,10.22,45.14,-0.8129,0.0,-0.2845,20250321,3,中继收敛,3,中继收敛,,,,,
601528.SH,瑞丰银行,0.1158,5.38,4.9,5.5,5.18,45.17,-0.4785,0.0046,-0.2428,20250321,3,中继收敛,3,中继收敛,,,,,
600337.SH,美克家居,0.2646,1.86,1.6,2.1,1.89,45.19,-0.8675,0.0,-0.2933,20250321,3,中继收敛,3,中继收敛,,,,,
688488.SH,艾迪药业,0.3404,9.32,7.2,10.4,9.4,45.24,-0.4065,0.0132,-0.0691,20250321,3,中继收敛,3,中继收敛,,,,,
600167.SH,联美控股,1.0526,5.77,4.7,11.3,6.27,45.25,-0.7781,0.0,-0.0201,20250321,3,中继收敛,3,中继收敛,,,,,
600641.SH,先导基电,0.2662,15.48,14.0,18.2,15.78,45.27,-0.4127,0.0113,-0.1862,20250321,3,中继收敛,3,中继收敛,,,,,
002558.SZ,巨人网络,0.3269,14.91,11.9,16.8,14.99,45.35,-0.9947,0.0,-0.1624,20250321,3,中继收敛,3,中继收敛,,,,,
000586.SZ,汇源通信,0.0967,10.38,9.8,10.8,10.34,45.38,-0.7022,0.0,-0.3127,20250321,3,中继收敛,3,中继收敛,,,,,
600812.SH,华北制药,0.34,6.3,5.1,7.3,6.47,45.38,-0.7286,0.0,-0.0583,20250321,3,中继收敛,3,中继收敛,,,,,
600151.SH,航天机电,0.3046,7.34,6.6,8.9,7.55,45.44,-0.6489,0.0001,-0.08,20250321,3,中继收敛,3,中继收敛,,,,,
300780.SZ,德恩精工,0.1498,17.36,16.0,18.6,17.36,45.45,-0.6455,0.0001,-0.0433,20250321,3,中继收敛,3,中继收敛,,,,,
300132.SZ,青松股份,0.1779,5.56,4.8,5.8,5.62,45.48,-0.867,0.0,-0.2126,20250321,3,中继收敛,3,中继收敛,,,,,
688505.SH,复旦张江,0.4062,8.1,6.4,9.8,8.37,45.48,-0.5224,0.0065,-0.0012,20250321,3,中继收敛,3,中继收敛,,,,,
600479.SH,千金药业,0.157,10.4,9.7,11.3,10.19,45.55,-0.6703,0.0,-0.1898,20250321,3,中继收敛,3,中继收敛,,,,,
603058.SH,永吉股份,0.1969,8.97,8.6,10.4,9.14,45.65,-0.4526,0.0047,-0.3374,20250321,3,中继收敛,3,中继收敛,,,,,
002976.SZ,瑞玛精密,0.1312,22.92,21.0,24.0,22.86,45.7,-0.9579,0.0,-0.5031,20250321,3,中继收敛,3,中继收敛,,,,,
002955.SZ,鸿合科技,0.1669,26.63,22.2,26.4,25.17,45.76,-0.4974,0.0023,-0.1559,20250321,3,中继收敛,3,中继收敛,,,,,
301292.SZ,海科新源,0.0954,14.79,13.8,15.2,14.68,45.78,-0.9974,0.0,-0.586,20250321,3,中继收敛,3,中继收敛,,,,,
600975.SH,新五丰,0.129,6.16,5.8,6.6,6.2,45.79,-0.713,0.0,-0.2798,20250321,3,中继收敛,3,中继收敛,,,,,
688244.SH,永信至诚,0.1789,55.9,34.8,41.6,38.02,45.85,-0.6105,0.0001,-0.427,20250321,3,中继收敛,3,中继收敛,,,,,
688119.SH,中钢洛耐,0.2525,3.89,3.5,4.5,3.96,45.87,-0.5027,0.0032,-0.1582,20250321,3,中继收敛,3,中继收敛,,,,,
600959.SH,江苏有线,0.2809,3.45,3.0,4.0,3.56,45.88,-0.4603,0.0082,-0.3352,20250321,3,中继收敛,3,中继收敛,,,,,
001219.SZ,青岛食品,0.1838,13.2,12.4,14.8,13.06,45.89,-0.5646,0.0005,-0.1841,20250321,3,中继收敛,3,中继收敛,,,,,
688131.SH,皓元医药,0.2693,41.1,34.1,45.1,40.84,45.89,-0.9974,0.0,-0.1954,20250321,3,中继收敛,3,中继收敛,,,,,
002046.SZ,国机精工,0.1741,17.53,15.4,18.4,17.23,45.92,-0.5474,0.0005,-0.1052,20250321,3,中继收敛,3,中继收敛,,,,,
002792.SZ,通宇通讯,0.1138,15.74,15.0,16.8,15.82,45.94,-0.4737,0.003,0.0624,20250321,3,中继收敛,3,中继收敛,,,,,
300143.SZ,盈康生命,0.2323,10.22,8.6,11.0,10.33,46.02,-0.9921,0.0,-0.1028,20250321,3,中继收敛,3,中继收敛,,,,,
600515.SH,海南机场,0.3333,3.74,3.3,4.6,3.9,46.04,-0.7218,0.0002,-0.0026,20250321,3,中继收敛,3,中继收敛,,,,,
603336.SH,宏辉果蔬,0.1247,4.88,4.4,5.0,4.81,46.08,-0.5889,0.0003,-0.1963,20250321,3,中继收敛,3,中继收敛,,,,,
600023.SH,浙能电力,0.4699,5.64,3.9,6.4,5.32,46.09,-0.5665,0.0009,-0.0671,20250321,3,中继收敛,3,中继收敛,,,,,
600774.SH,汉商集团,0.2018,7.86,7.0,8.6,7.93,46.1,-0.9158,0.0,-0.3039,20250321,3,中继收敛,3,中继收敛,,,,,
688552.SH,航天南湖,0.1778,20.65,17.7,21.3,20.25,46.14,-0.4737,0.003,-0.2838,20250321,3,中继收敛,3,中继收敛,,,,,
688015.SH,交控科技,0.2227,20.43,17.7,22.2,20.21,46.16,-0.9947,0.0,-0.1316,20250321,3,中继收敛,3,中继收敛,,,,,
688305.SH,科德数控,0.2055,76.16,50.0,62.0,58.38,46.2,-1.0,0.0,-0.2144,20250321,3,中继收敛,3,中继收敛,,,,,
688055.SH,龙腾光电,0.7082,3.64,2.4,4.9,3.53,46.2,-0.9032,0.0,-0.0113,20250321,3,中继收敛,3,中继收敛,,,,,
000568.SZ,泸州老窖,0.4321,130.68,107.3,162.4,127.52,46.27,-0.7018,0.0,-0.1025,20250321,3,中继收敛,3,中继收敛,,,,,
002645.SZ,华宏科技,0.2709,8.2,6.8,9.0,8.12,46.28,-0.5464,0.0008,0.1078,20250321,3,中继收敛,3,中继收敛,,,,,
300584.SZ,海辰药业,0.0916,19.52,19.2,21.0,19.66,46.32,-0.3915,0.0162,-0.3875,20250321,3,中继收敛,3,中继收敛,,,,,
002145.SZ,钛能化学,0.1758,4.46,4.1,4.9,4.55,46.35,-0.8702,0.0,-0.2088,20250321,3,中继收敛,3,中继收敛,,,,,
601816.SH,京沪高铁,0.283,5.52,4.5,6.0,5.3,46.37,-0.7145,0.0001,-0.0643,20250321,3,中继收敛,3,中继收敛,,,,,
002965.SZ,祥鑫科技,0.2041,61.99,41.2,50.8,47.03,46.41,-0.3684,0.0237,0.102,20250321,3,中继收敛,3,中继收敛,,,,,
600918.SH,中泰证券,0.256,6.48,5.7,7.4,6.64,46.5,-0.3761,0.0269,-0.0972,20250321,3,中继收敛,3,中继收敛,,,,,
301295.SZ,美硕科技,0.0971,23.01,21.4,23.6,22.66,46.54,-0.6807,0.0,-0.2604,20250321,3,中继收敛,3,中继收敛,,,,,
002602.SZ,世纪华通,0.4702,6.69,4.3,7.3,6.38,46.65,-0.5368,0.0006,-0.1001,20250321,3,中继收敛,3,中继收敛,,,,,
600645.SH,中源协和,0.1468,21.31,19.6,22.8,21.8,46.69,-0.3979,0.0158,-0.0234,20250321,3,中继收敛,3,中继收敛,,,,,
002884.SZ,凌霄泵业,0.189,17.8,16.0,19.2,16.93,46.73,-0.6097,0.0002,-0.1698,20250321,3,中继收敛,3,中继收敛,,,,,
603948.SH,建业股份,0.2584,18.63,15.0,19.6,17.8,46.75,-0.9733,0.0,-0.0857,20250321,3,中继收敛,3,中继收敛,,,,,
000001.SZ,平安银行,0.2562,11.42,9.2,12.0,10.93,46.81,-0.9291,0.0,-0.1795,20250321,3,中继收敛,3,中继收敛,,,,,
603121.SH,华培动力,0.1693,19.95,17.5,20.8,19.49,46.86,-0.6211,0.0001,-0.0564,20250321,3,中继收敛,3,中继收敛,,,,,
688737.SH,中自科技,0.1968,20.05,18.4,22.4,20.33,46.95,-0.7474,0.0,-0.3216,20250321,3,中继收敛,3,中继收敛,,,,,
603281.SH,江瀚新材,0.1939,24.5,21.2,25.8,23.72,46.97,-0.781,0.0,-0.115,20250321,3,中继收敛,3,中继收敛,,,,,
300737.SZ,科顺股份,0.2227,5.11,4.4,5.5,4.94,47.05,-0.6167,0.0002,-0.1573,20250321,3,中继收敛,3,中继收敛,,,,,
002378.SZ,章源钨业,0.1722,6.96,6.4,7.6,6.97,47.09,-0.7883,0.0,-0.2092,20250321,3,中继收敛,3,中继收敛,,,,,
000720.SZ,新能泰山,0.3951,3.04,2.8,4.1,3.29,47.1,-0.6236,0.0002,-0.2121,20250321,3,中继收敛,3,中继收敛,,,,,
603613.SH,国联股份,0.1566,28.15,25.2,29.7,28.73,47.11,-0.8541,0.0,-0.1907,20250321,3,中继收敛,3,中继收敛,,,,,
601231.SH,环旭电子,0.3271,16.98,13.8,19.2,16.51,47.25,-0.7873,0.0,0.0375,20250321,3,中继收敛,3,中继收敛,,,,,
000042.SZ,中洲控股,0.4403,6.1,4.4,7.2,6.36,47.28,-0.7253,0.0,-0.1166,20250321,3,中继收敛,3,中继收敛,,,,,
300658.SZ,延江股份,0.1639,6.08,5.4,6.4,6.1,47.32,-0.4828,0.0031,-0.25,20250321,3,中继收敛,3,中继收敛,,,,,
688219.SH,会通股份,0.2887,13.71,10.8,14.7,13.51,47.35,-0.8526,0.0,-0.202,20250321,3,中继收敛,3,中继收敛,,,,,
300581.SZ,晨曦航空,0.1438,11.15,10.2,11.8,11.13,47.36,-0.8343,0.0,-0.4777,20250321,3,中继收敛,3,中继收敛,,,,,
300656.SZ,民德电子,0.2057,24.81,23.2,28.4,25.28,47.39,-0.6316,0.0,-0.2826,20250321,3,中继收敛,3,中继收敛,,,,,
002556.SZ,辉隆股份,0.219,5.42,5.0,6.2,5.48,47.42,-0.3316,0.0436,-0.1225,20250321,3,中继收敛,3,中继收敛,,,,,
688580.SH,伟思医疗,0.3298,34.52,26.4,37.6,33.96,47.47,-0.9053,0.0,-0.2611,20250321,3,中继收敛,3,中继收敛,,,,,
600299.SH,安迪苏,0.4846,10.99,7.6,12.8,10.73,47.54,-0.8797,0.0,-0.074,20250321,3,中继收敛,3,中继收敛,,,,,
688079.SH,美迪凯,0.3074,9.93,7.8,10.8,9.76,47.59,-1.0,0.0,-0.1272,20250321,3,中继收敛,3,中继收敛,,,,,
002457.SZ,青龙管业,0.0762,12.06,11.3,12.2,11.81,47.63,-0.8267,0.0,-0.4442,20250321,3,中继收敛,3,中继收敛,,,,,
002672.SZ,东江环保,0.3111,4.33,3.8,5.2,4.5,47.63,-0.405,0.0163,-0.2153,20250321,3,中继收敛,3,中继收敛,,,,,
920077.BJ,吉林碳谷,0.2763,13.2,10.8,14.4,13.03,47.64,-0.9551,0.0,-0.2364,20250321,3,中继收敛,3,中继收敛,,,,,
002545.SZ,东方铁塔,0.1655,7.52,6.6,7.8,7.25,47.74,-0.9814,0.0,-0.2666,20250321,3,中继收敛,3,中继收敛,,,,,
600426.SH,华鲁恒升,0.3147,21.51,19.6,26.4,21.61,47.86,-0.3263,0.0493,-0.0937,20250321,3,中继收敛,3,中继收敛,,,,,
301580.SZ,爱迪特,0.0599,56.81,38.6,41.0,40.1,47.94,-0.8526,0.0,-0.426,20250321,3,中继收敛,3,中继收敛,,,,,
002775.SZ,文科股份,0.1626,3.64,3.4,4.0,3.69,47.96,-0.4059,0.0183,-0.1382,20250321,3,中继收敛,3,中继收敛,,,,,
601512.SH,中新集团,0.315,7.73,6.4,8.8,7.62,47.99,-0.8303,0.0,-0.0769,20250321,3,中继收敛,3,中继收敛,,,,,
688019.SH,安集科技,0.2111,153.8,102.7,127.4,117.01,48.01,-0.7863,0.0,-0.0269,20250321,3,中继收敛,3,中继收敛,,,,,
603055.SH,台华新材,0.2821,11.27,9.5,12.6,10.99,48.05,-0.902,0.0,-0.2299,20250321,3,中继收敛,3,中继收敛,,,,,
301331.SZ,恩威医药,0.2076,28.13,23.6,29.2,26.97,48.06,-0.3767,0.021,0.8879,20250321,3,中继收敛,3,中继收敛,,,,,
300408.SZ,三环集团,0.341,37.97,27.6,40.0,36.36,48.06,-0.8179,0.0,-0.0195,20250321,3,中继收敛,3,中继收敛,,,,,
603861.SH,白云电器,0.1535,9.87,8.7,10.2,9.77,48.07,-0.5789,0.0002,-0.331,20250321,3,中继收敛,3,中继收敛,,,,,
002221.SZ,东华能源,0.1598,9.84,9.0,10.6,10.01,48.09,-0.8155,0.0,-0.1227,20250321,3,中继收敛,3,中继收敛,,,,,
920047.BJ,诺思兰德,0.2913,13.96,12.0,16.2,14.42,48.09,-0.9763,0.0,-0.2005,20250321,3,中继收敛,3,中继收敛,,,,,
600976.SH,健民集团,0.2922,42.24,39.2,51.6,42.43,48.16,-0.5435,0.0008,-0.1009,20250321,3,中继收敛,3,中继收敛,,,,,
600089.SH,特变电工,0.2054,12.49,11.8,14.4,12.66,48.17,-0.4214,0.0101,-0.1203,20250321,3,中继收敛,3,中继收敛,,,,,
300350.SZ,华鹏飞,0.0739,5.58,5.2,5.6,5.41,48.22,-0.891,0.0,-0.7537,20250321,3,中继收敛,3,中继收敛,,,,,
600880.SH,博瑞传播,0.1222,4.84,4.6,5.2,4.91,48.25,-0.4532,0.0092,-0.3902,20250321,3,中继收敛,3,中继收敛,,,,,
600279.SH,重庆港,0.2515,5.22,4.5,5.8,5.17,48.28,-0.6404,0.0005,-0.0696,20250321,3,中继收敛,3,中继收敛,,,,,
002043.SZ,兔宝宝,0.1533,10.99,9.9,11.5,10.44,48.29,-0.6859,0.0,-0.1442,20250321,3,中继收敛,3,中继收敛,,,,,
300901.SZ,中胤时尚,0.3247,12.51,10.0,14.0,12.32,48.32,-0.3641,0.0251,-0.1088,20250321,3,中继收敛,3,中继收敛,,,,,
601908.SH,京运通,0.339,2.73,2.6,3.6,2.95,48.32,-0.4947,0.0027,-0.2047,20250321,3,中继收敛,3,中继收敛,,,,,
000420.SZ,吉林化纤,0.1832,3.86,3.4,4.1,3.82,48.36,-0.8868,0.0,-0.3312,20250321,3,中继收敛,3,中继收敛,,,,,
688617.SH,惠泰医疗,0.316,364.72,224.0,303.8,252.51,48.38,-0.7447,0.0,-0.0325,20250321,3,中继收敛,3,中继收敛,,,,,
002911.SZ,佛燃能源,0.3398,11.12,8.2,11.7,10.3,48.38,-0.909,0.0,-0.0039,20250321,3,中继收敛,3,中继收敛,,,,,
002371.SZ,北方华创,0.2283,418.8,275.2,345.6,308.37,48.39,-0.9263,0.0,-0.1053,20250321,3,中继收敛,3,中继收敛,,,,,
688151.SH,华强科技,0.1489,18.56,17.4,20.2,18.8,48.41,-0.8466,0.0,-0.4127,20250321,3,中继收敛,3,中继收敛,,,,,
688162.SH,巨一科技,0.1291,27.94,25.8,29.4,27.89,48.43,-0.6632,0.0,-0.3625,20250321,3,中继收敛,3,中继收敛,,,,,
002430.SZ,杭氧股份,0.383,21.04,19.2,27.6,21.93,48.43,-0.7368,0.0,-0.2009,20250321,3,中继收敛,3,中继收敛,,,,,
002399.SZ,海普瑞,0.7993,11.0,7.6,16.4,11.01,48.43,-0.9679,0.0,-0.01,20250321,3,中继收敛,3,中继收敛,,,,,
600439.SH,瑞贝卡,0.1478,4.07,3.8,4.4,4.06,48.46,-0.6811,0.0,-0.4988,20250321,3,中继收敛,3,中继收敛,,,,,
600653.SH,申华控股,0.1843,2.18,2.0,2.4,2.17,48.54,-0.4505,0.0082,-0.4207,20250321,3,中继收敛,3,中继收敛,,,,,
600855.SH,航天长峰,0.2096,11.55,10.4,12.8,11.45,48.56,-0.6562,0.0001,-0.1496,20250321,3,中继收敛,3,中继收敛,,,,,
300741.SZ,华宝股份,0.4131,16.72,14.0,21.2,17.43,48.64,-0.4758,0.0041,-0.1005,20250321,3,中继收敛,3,中继收敛,,,,,
600765.SH,中航重机,0.2687,18.46,17.0,22.0,18.61,48.65,-0.5146,0.0016,-0.1438,20250321,3,中继收敛,3,中继收敛,,,,,
300883.SZ,龙利得,0.1411,5.72,5.2,6.0,5.67,48.67,-0.9706,0.0,-0.4457,20250321,3,中继收敛,3,中继收敛,,,,,
300137.SZ,先河环保,0.2848,6.47,5.1,6.9,6.32,48.67,-0.9868,0.0,-0.0811,20250321,3,中继收敛,3,中继收敛,,,,,
000973.SZ,佛塑科技,0.114,7.08,6.5,7.3,7.02,48.88,-0.6316,0.0,-0.3421,20250321,3,中继收敛,3,中继收敛,,,,,
600064.SH,南京高科,0.2122,7.35,6.3,7.8,7.07,48.88,-0.8157,0.0,-0.2797,20250321,3,中继收敛,3,中继收敛,,,,,
688677.SH,海泰新光,0.3837,38.19,27.6,42.0,37.53,48.88,-0.9895,0.0,-0.1151,20250321,3,中继收敛,3,中继收敛,,,,,
000429.SZ,粤高速Ａ,0.1965,13.79,11.8,14.4,13.23,48.94,-0.6027,0.0002,-0.1602,20250321,3,中继收敛,3,中继收敛,,,,,
300813.SZ,泰林生物,0.1426,19.25,17.4,20.1,18.93,48.97,-0.5158,0.0011,-0.2095,20250321,3,中继收敛,3,中继收敛,,,,,
600163.SH,中闽能源,0.2747,5.3,4.8,6.3,5.46,49.08,-0.3569,0.0312,-0.0983,20250321,3,中继收敛,3,中继收敛,,,,,
603360.SH,百傲化学,0.271,33.01,19.0,25.2,22.88,49.11,-0.8737,0.0,-0.2584,20250321,3,中继收敛,3,中继收敛,,,,,
002535.SZ,林州重机,0.1758,4.65,4.1,4.9,4.55,49.13,-0.6164,0.0002,-0.1932,20250321,3,中继收敛,3,中继收敛,,,,,
600770.SH,综艺股份,0.2548,4.48,4.0,5.2,4.71,49.14,-0.6354,0.0004,-0.1465,20250321,3,中继收敛,3,中继收敛,,,,,
601882.SH,海天精工,0.2922,23.15,20.1,26.7,22.59,49.2,-0.9947,0.0,-0.2289,20250321,3,中继收敛,3,中继收敛,,,,,
601555.SH,东吴证券,0.1821,7.98,7.0,8.4,7.69,49.24,-0.8554,0.0,-0.1797,20250321,3,中继收敛,3,中继收敛,,,,,
600267.SH,海正药业,0.1449,8.56,7.4,8.6,8.28,49.27,-0.8491,0.0,-0.0048,20250321,3,中继收敛,3,中继收敛,,,,,
601600.SH,中国铝业,0.1935,7.58,6.5,8.0,7.75,49.29,-0.6344,0.0002,-0.2471,20250321,3,中继收敛,3,中继收敛,,,,,
600399.SH,抚顺特钢,0.1948,6.18,5.4,6.6,6.16,49.3,-0.7799,0.0,-0.4175,20250321,3,中继收敛,3,中继收敛,,,,,
301033.SZ,迈普医学,0.2074,47.24,40.8,50.4,46.29,49.31,-0.8093,0.0,-0.1222,20250321,3,中继收敛,3,中继收敛,,,,,
688139.SH,海尔生物,1.4842,33.34,30.4,87.2,38.27,49.43,-0.7022,0.0,-0.0055,20250321,3,中继收敛,3,中继收敛,,,,,
688013.SH,天臣医疗,0.2337,19.04,15.0,19.2,17.97,49.49,-1.0,0.0,-0.243,20250321,3,中继收敛,3,中继收敛,,,,,
600386.SH,北巴传媒,0.1833,4.97,4.3,5.2,4.91,49.55,-0.7883,0.0,-0.2051,20250321,3,中继收敛,3,中继收敛,,,,,
600984.SH,建设机械,0.2122,3.76,3.2,4.0,3.77,49.59,-0.7776,0.0,-0.3722,20250321,3,中继收敛,3,中继收敛,,,,,
600838.SH,上海九百,0.0938,8.57,8.2,9.0,8.53,49.61,-0.7669,0.0,-0.554,20250321,3,中继收敛,3,中继收敛,,,,,
601012.SH,隆基绿能,0.3111,17.06,14.8,20.4,18.0,49.66,-0.9841,0.0,-0.0765,20250321,3,中继收敛,3,中继收敛,,,,,
300230.SZ,永利股份,0.1636,5.0,4.4,5.2,4.89,49.67,-0.8652,0.0,-0.182,20250321,3,中继收敛,3,中继收敛,,,,,
601061.SH,中信金属,0.083,7.44,6.9,7.5,7.23,49.68,-0.7734,0.0,-0.405,20250321,3,中继收敛,3,中继收敛,,,,,
688133.SH,泰坦科技,0.272,23.03,18.4,24.8,23.53,49.69,-1.0,0.0,-0.2568,20250321,3,中继收敛,3,中继收敛,,,,,
688308.SH,欧科亿,0.2386,19.92,16.8,21.6,20.12,49.74,-0.9921,0.0,-0.1761,20250321,3,中继收敛,3,中继收敛,,,,,
