ts_code,name,trade_date,asof_time,strategy_type,open,low_0930_1000,low_0930_1000_pct,close_0959,close_0959_pct,cross_time,cross_minutes,last_close,pct_from_open,recent_deepdrop_rebound_total,recent_deepdrop_rebound_yesterday,recent_deepdrop_rebound_daybefore,bonus_points,score,reason
600956.SH,新天绿能,20260311,10:32,standard,8.13,7.98,-1.845018450184506,8.04,-1.1070110701107212,10:05,35,8.45,3.9360393603935853,0.0,0.0,0.0,0.0,3.9360393603935853,"standard策略:前30分钟回撤-1.85%,随后站上开盘价并稳住"
600956.SH,新天绿能,20260311,10:32,deep_v,8.13,7.98,-1.845018450184506,8.04,-1.1070110701107212,10:05,35,8.45,3.9360393603935853,0.0,0.0,0.0,0.0,3.9360393603935853,"deep_v策略:前30分钟回撤-1.85%,随后站上开盘价并稳住"
002335.SZ,科华数据,20260311,10:32,standard,69.82,68.01,-2.5923804067602236,69.68,-0.20051561157259576,10:09,39,72.04,3.179604697794347,0.6,0.0,1.0,0.72,3.899604697794347,"standard策略:前30分钟回撤-2.59%,随后站上开盘价并稳住"
002335.SZ,科华数据,20260311,10:32,deep_v,69.82,68.01,-2.5923804067602236,69.68,-0.20051561157259576,10:10,40,72.04,3.179604697794347,0.6,0.0,1.0,0.72,3.899604697794347,"deep_v策略:前30分钟回撤-2.59%,随后站上开盘价并稳住"
002729.SZ,好利科技,20260311,10:32,standard,19.38,19.1,-1.4447884416924541,19.34,-0.2063983488132051,10:01,31,20.07,3.5603715170278707,0.0,0.0,0.0,0.0,3.5603715170278707,"standard策略:前30分钟回撤-1.44%,随后站上开盘价并稳住"
002729.SZ,好利科技,20260311,10:32,deep_v,19.38,19.1,-1.4447884416924541,19.34,-0.2063983488132051,10:02,32,20.07,3.5603715170278707,0.0,0.0,0.0,0.0,3.5603715170278707,"deep_v策略:前30分钟回撤-1.44%,随后站上开盘价并稳住"
300979.SZ,华利集团,20260311,10:32,standard,46.89,46.7,-0.40520366815951747,46.86,-0.06397952655150595,10:09,39,48.5,3.4335679249306876,0.0,0.0,0.0,0.0,3.4335679249306876,"standard策略:前30分钟回撤-0.41%,随后站上开盘价并稳住"
300979.SZ,华利集团,20260311,10:32,volume_validated,46.89,46.7,-0.40520366815951747,46.86,-0.06397952655150595,10:09,39,48.5,3.4335679249306876,0.0,0.0,0.0,0.0,3.4335679249306876,"volume_validated策略:前30分钟回撤-0.41%,随后站上开盘价并稳住"
002300.SZ,太阳电缆,20260311,10:32,standard,11.66,11.2,-3.9451114922813106,11.64,-0.17152658662092257,10:02,32,11.91,2.144082332761578,1.0,1.0,0.0,1.2,3.3440823327615776,"standard策略:前30分钟回撤-3.95%,随后站上开盘价并稳住"
002558.SZ,巨人网络,20260311,10:32,standard,36.51,35.87,-1.7529443987948523,36.01,-1.3694878115584772,10:10,40,37.61,3.0128731854286537,0.0,0.0,0.0,0.0,3.0128731854286537,"standard策略:前30分钟回撤-1.75%,随后站上开盘价并稳住"
002558.SZ,巨人网络,20260311,10:32,deep_v,36.51,35.87,-1.7529443987948523,36.01,-1.3694878115584772,10:11,41,37.61,3.0128731854286537,0.0,0.0,0.0,0.0,3.0128731854286537,"deep_v策略:前30分钟回撤-1.75%,随后站上开盘价并稳住"
002512.SZ,ST达华,20260311,10:32,standard,4.43,4.25,-4.063205417607217,4.3,-2.934537246049659,10:20,50,4.54,2.483069977426644,0.0,0.0,0.0,0.0,2.483069977426644,"standard策略:前30分钟回撤-4.06%,随后站上开盘价并稳住"
301193.SZ,家联科技,20260311,10:32,standard,28.54,28.03,-1.7869656622284444,28.14,-1.4015416958654472,10:21,51,28.9,1.261387526278905,1.0,1.0,0.0,1.2,2.461387526278905,"standard策略:前30分钟回撤-1.79%,随后站上开盘价并稳住"
600773.SH,西藏城投,20260311,10:32,standard,16.4,16.24,-0.9756097560975618,16.24,-0.9756097560975618,10:02,32,16.8,2.4390243902439157,0.0,0.0,0.0,0.0,2.4390243902439157,"standard策略:前30分钟回撤-0.98%,随后站上开盘价并稳住"
600773.SH,西藏城投,20260311,10:32,deep_v,16.4,16.24,-0.9756097560975618,16.24,-0.9756097560975618,10:04,34,16.8,2.4390243902439157,0.0,0.0,0.0,0.0,2.4390243902439157,"deep_v策略:前30分钟回撤-0.98%,随后站上开盘价并稳住"
