ts_code,name,trade_date,asof_time,strategy_type,open,low_0930_1000,low_0930_1000_pct,close_0959,close_0959_pct,cross_time,cross_minutes,last_close,pct_from_open,recent_deepdrop_rebound_total,recent_deepdrop_rebound_yesterday,recent_deepdrop_rebound_daybefore,bonus_points,score,reason
001269.SZ,欧晶科技,20260311,10:25,standard,25.67,25.32,-1.363459291001174,25.61,-0.23373587845735205,10:04,34,25.71,0.15582391897155878,0.0,0.0,0.0,0.0,0.15582391897155878,"standard策略:前30分钟回撤-1.36%,随后站上开盘价并稳住"
001269.SZ,欧晶科技,20260311,10:25,deep_v,25.67,25.32,-1.363459291001174,25.61,-0.23373587845735205,10:08,38,25.71,0.15582391897155878,0.0,0.0,0.0,0.0,0.15582391897155878,"deep_v策略:前30分钟回撤-1.36%,随后站上开盘价并稳住"
600720.SH,中交设计,20260311,10:25,standard,7.22,7.17,-0.6925207756232663,7.2,-0.27700831024930156,10:02,32,7.23,0.13850415512466308,0.0,0.0,0.0,0.0,0.13850415512466308,"standard策略:前30分钟回撤-0.69%,随后站上开盘价并稳住"
300154.SZ,瑞凌股份,20260311,10:25,standard,9.07,8.98,-0.9922822491730965,9.06,-0.11025358324145298,10:08,38,9.08,0.11025358324145298,0.0,0.0,0.0,0.0,0.11025358324145298,"standard策略:前30分钟回撤-0.99%,随后站上开盘价并稳住"
002346.SZ,柘中股份,20260311,10:25,standard,21.64,21.44,-0.9242144177449136,21.51,-0.6007393715341913,10:07,37,21.66,0.0924214417744897,0.0,0.0,0.0,0.0,0.0924214417744897,"standard策略:前30分钟回撤-0.92%,随后站上开盘价并稳住"
301289.SZ,国缆检测,20260311,10:25,standard,59.39,59.01,-0.6398383566256989,59.31,-0.134702811921196,10:02,32,59.44,0.0841892574507445,0.0,0.0,0.0,0.0,0.0841892574507445,"standard策略:前30分钟回撤-0.64%,随后站上开盘价并稳住"
001217.SZ,华尔泰,20260311,10:25,standard,13.15,12.98,-1.292775665399239,13.11,-0.3041825095057104,10:06,36,13.16,0.07604562737642423,0.0,0.0,0.0,0.0,0.07604562737642423,"standard策略:前30分钟回撤-1.29%,随后站上开盘价并稳住"
001217.SZ,华尔泰,20260311,10:25,deep_v,13.15,12.98,-1.292775665399239,13.11,-0.3041825095057104,10:10,40,13.16,0.07604562737642423,0.0,0.0,0.0,0.0,0.07604562737642423,"deep_v策略:前30分钟回撤-1.29%,随后站上开盘价并稳住"
600699.SH,均胜电子,20260311,10:25,standard,26.54,26.42,-0.45214770158250733,26.51,-0.11303692539562013,10:14,44,26.56,0.07535795026375122,0.0,0.0,0.0,0.0,0.07535795026375122,"standard策略:前30分钟回撤-0.45%,随后站上开盘价并稳住"
600737.SH,中粮糖业,20260311,10:25,standard,15.9,15.83,-0.4402515723270458,15.85,-0.3144654088050359,10:05,35,15.91,0.06289308176100496,0.0,0.0,0.0,0.0,0.06289308176100496,"standard策略:前30分钟回撤-0.44%,随后站上开盘价并稳住"
688271.SH,联影医疗,20260311,10:25,standard,123.08,122.5,-0.4712382190445225,122.94,-0.11374715632109245,10:13,43,123.15,0.05687357816055199,0.0,0.0,0.0,0.0,0.05687357816055199,"standard策略:前30分钟回撤-0.47%,随后站上开盘价并稳住"
000672.SZ,上峰水泥,20260311,10:25,standard,14.21,14.1,-0.7741027445461027,14.13,-0.5629838142153417,10:01,31,14.21,0.0,0.0,0.0,0.0,0.0,0.0,"standard策略:前30分钟回撤-0.77%,随后站上开盘价并稳住"
002090.SZ,金智科技,20260311,10:25,standard,12.92,12.78,-1.0835913312693541,12.89,-0.23219814241485573,10:02,32,12.92,0.0,0.0,0.0,0.0,0.0,0.0,"standard策略:前30分钟回撤-1.08%,随后站上开盘价并稳住"
002090.SZ,金智科技,20260311,10:25,deep_v,12.92,12.78,-1.0835913312693541,12.89,-0.23219814241485573,10:02,32,12.92,0.0,0.0,0.0,0.0,0.0,0.0,"deep_v策略:前30分钟回撤-1.08%,随后站上开盘价并稳住"
002511.SZ,中顺洁柔,20260311,10:25,standard,8.95,8.87,-0.8938547486033528,8.94,-0.11173184357541663,10:12,42,8.95,0.0,0.0,0.0,0.0,0.0,0.0,"standard策略:前30分钟回撤-0.89%,随后站上开盘价并稳住"
300135.SZ,宝利国际,20260311,10:25,standard,4.27,4.19,-1.873536299765789,4.25,-0.468384074941442,10:04,34,4.27,0.0,0.0,0.0,0.0,0.0,0.0,"standard策略:前30分钟回撤-1.87%,随后站上开盘价并稳住"
300185.SZ,通裕重工,20260311,10:25,standard,3.37,3.29,-2.373887240356085,3.36,-0.29673590504451725,10:13,43,3.37,0.0,0.0,0.0,0.0,0.0,0.0,"standard策略:前30分钟回撤-2.37%,随后站上开盘价并稳住"
300201.SZ,海伦哲,20260311,10:25,standard,10.2,10.01,-1.8627450980392108,10.01,-1.8627450980392108,10:15,45,10.2,0.0,0.0,0.0,0.0,0.0,0.0,"standard策略:前30分钟回撤-1.86%,随后站上开盘价并稳住"
301210.SZ,金杨精密,20260311,10:25,standard,41.48,41.18,-0.7232401157184117,41.37,-0.2651880424300855,10:11,41,41.48,0.0,0.0,0.0,0.0,0.0,0.0,"standard策略:前30分钟回撤-0.72%,随后站上开盘价并稳住"
600184.SH,光电股份,20260311,10:25,standard,18.5,18.4,-0.5405405405405482,18.46,-0.21621621621621162,10:02,32,18.5,0.0,0.0,0.0,0.0,0.0,0.0,"standard策略:前30分钟回撤-0.54%,随后站上开盘价并稳住"
300602.SZ,飞荣达,20260311,10:25,standard,37.62,37.38,-0.6379585326953613,37.38,-0.6379585326953613,10:06,36,37.6,-0.053163211057937323,0.0,0.0,0.0,0.0,-0.053163211057937323,"standard策略:前30分钟回撤-0.64%,随后站上开盘价并稳住"
002966.SZ,苏州银行,20260311,10:25,standard,8.17,8.12,-0.6119951040391763,8.14,-0.36719706242349276,10:08,38,8.16,-0.12239902080783092,0.0,0.0,0.0,0.0,-0.12239902080783092,"standard策略:前30分钟回撤-0.61%,随后站上开盘价并稳住"
