symbol,name,market,trade_date,close,pct_chg,ma5,ma10,ma20,signals,score,reason
301113,雅艺科技,0,20260302,26.7,-3.226,27.312,27.004,26.4795,支撑确认买,3.1612,支撑确认买
002460,赣锋锂业,0,20260302,71.94,-1.587,71.844,68.921,69.0565,强势回调买,3.1599,强势回调买
688015,交控科技,1,20260302,26.12,-0.948,26.34,25.964,25.3705,强势回调买,3.1586,强势回调买
603203,快克智能,1,20260302,39.09,-1.537,39.692,39.132,38.347,支撑确认买,3.1575,支撑确认买
605177,东亚药业,1,20260302,22.28,-2.877,22.72,22.23,21.992,支撑确认买,3.1571,支撑确认买
688262,国芯科技,1,20260302,39.49,-3.282,40.438,42.161,39.2145,支撑确认买,3.1562,支撑确认买
603088,宁波精达,1,20260302,13.31,-1.699,13.33,12.734,11.9885,强势回调买,3.155,强势回调买
301228,实朴检测,0,20260302,45.0,-1.532,45.068,44.097,42.324,强势回调买,3.1547,强势回调买
000795,英洛华,0,20260302,10.76,-1.645,10.72,10.468,10.379,强势回调买,3.1539,强势回调买
000029,深深房Ａ,0,20260302,22.8,-1.766,23.158,22.933,22.3705,支撑确认买,3.1522,支撑确认买
301068,大地海洋,0,20260302,28.4,-2.806,28.446,27.829,27.1075,强势回调买,3.1515,强势回调买
301041,金百泽,0,20260302,28.77,-4.355,29.576,29.187,28.7255,支撑确认买,3.1515,支撑确认买
002312,川发龙蟒,0,20260302,13.48,-1.462,13.458,12.59,12.346,强势回调买,3.151,强势回调买
600330,天通股份,1,20260302,17.64,2.857,17.61,17.407,15.8245,强势回调买,3.1489,强势回调买
600482,中国动力,1,20260302,33.67,0.119,33.612,31.9,29.3635,强势回调买,3.1482,强势回调买
002663,普邦股份,0,20260302,2.21,-2.643,2.206,2.175,2.118,强势回调买,3.1456,强势回调买
003015,日久光电,0,20260302,17.51,-0.737,17.542,17.361,16.7465,强势回调买,3.1453,强势回调买
300241,瑞丰光电,0,20260302,6.24,-4.294,6.392,6.316,6.196,支撑确认买,3.1446,支撑确认买
002386,天原股份,0,20260302,6.35,-1.55,6.338,6.16,6.077,强势回调买,3.1432,强势回调买
300040,九洲集团,0,20260302,7.33,-2.914,7.316,7.138,6.9525,强势回调买,3.1426,强势回调买
600499,科达制造,1,20260302,17.68,-1.723,17.714,17.411,16.936,强势回调买,3.1424,强势回调买
300011,鼎汉技术,0,20260302,9.0,-2.174,9.128,9.077,8.8075,支撑确认买,3.1422,支撑确认买
300320,海达股份,0,20260302,11.32,-3.578,11.342,11.156,10.746,强势回调买,3.1418,强势回调买
000738,航发控制,0,20260302,28.29,1.543,28.346,28.015,26.8675,强势回调买,3.1407,强势回调买
000970,中科三环,0,20260302,15.0,-2.025,15.03,14.556,14.3445,强势回调买,3.1401,强势回调买
300964,本川智能,0,20260302,62.48,-2.375,62.606,60.598,59.4445,强势回调买,3.1396,强势回调买
688662,富信科技,1,20260302,58.22,-3.769,58.34,57.892,55.1945,强势回调买,3.1383,强势回调买
300187,永清环保,0,20260302,5.77,-3.025,5.758,5.562,5.4715,强势回调买,3.1375,强势回调买
002334,英威腾,0,20260302,9.86,-1.499,10.006,9.978,9.6545,支撑确认买,3.1366,支撑确认买
000157,中联重科,0,20260302,9.94,-0.501,9.962,9.831,9.414,强势回调买,3.1337,强势回调买
600141,兴发集团,1,20260302,42.7,-0.928,42.796,40.53,40.255,强势回调买,3.1327,强势回调买
688077,大地熊,1,20260302,36.61,-2.788,36.528,35.712,34.731,强势回调买,3.1327,强势回调买
301322,绿通科技,0,20260302,33.38,-6.262,33.456,32.245,30.4795,强势回调买,3.1319,强势回调买
002416,爱施德,0,20260302,13.98,-2.374,14.012,13.766,13.3945,强势回调买,3.1315,强势回调买
