ts_code,strategy,cost_range_start,cost_range_end,cost_range_change,cost_range_change_rate,cost_range_slope,cost_range_percent,winner_rate_start,winner_rate_end,winner_rate_change,winner_rate_change_rate,winner_rate_slope,weight_avg_start,weight_avg_end,weight_avg_change,weight_avg_change_rate,weight_avg_slope,weight_avg_diff_percent,start_date,end_date,latest_price,stock_name
000021.SZ,平衡型,7.400000000000002,6.600000000000001,-0.8000000000000007,-10.810810810810818,-0.05192982456140348,19.411764705882355,52.69,75.99,23.299999999999997,44.220914784589105,1.2418070175438596,30.43,31.46,1.0300000000000011,3.3848176141965203,-0.016596491228070182,8.073744437380798,20260122,20260225,34.0,深科技
000037.SZ,平衡型,1.6000000000000014,1.200000000000001,-0.40000000000000036,-25.0,-0.02491228070175438,12.244897959183684,67.32,92.65,25.330000000000013,37.626262626262644,1.8601578947368425,8.82,9.35,0.5299999999999994,6.009070294784573,0.020982456140350863,4.812834224598942,20260122,20260225,9.8,深南电A
000400.SZ,平衡型,7.600000000000001,4.0,-3.6000000000000014,-47.36842105263159,-0.20070175438596521,12.34567901234568,41.95,75.58,33.629999999999995,80.16686531585219,0.8836140350877192,30.46,30.63,0.16999999999999815,0.5581089954038022,-0.004052631578947403,5.778648383937315,20260122,20260225,32.4,许继电气
000510.SZ,平衡型,4.099999999999998,3.5000000000000018,-0.5999999999999961,-14.634146341463328,-0.038771929824561395,18.81720430107528,44.7,95.74,51.03999999999999,114.18344519015658,1.538859649122807,17.6,16.96,-0.6400000000000006,-3.636363636363639,-0.14592982456140358,9.66981132075472,20260122,20260225,18.6,新金路
000514.SZ,平衡型,0.8999999999999995,0.5,-0.39999999999999947,-44.444444444444414,-0.024210526315789443,9.090909090909092,63.59,77.44,13.849999999999994,21.780154112281796,0.481719298245614,5.28,5.24,-0.040000000000000036,-0.7575757575757582,-0.00233333333333331,4.961832061068698,20260122,20260225,5.5,渝开发
000537.SZ,平衡型,1.5,1.200000000000001,-0.29999999999999893,-19.99999999999993,-0.023684210526315707,12.903225806451623,52.07,82.62,30.550000000000004,58.67101978106396,1.2450701754385967,8.86,8.84,-0.019999999999999574,-0.2257336343115076,-0.00201754385964908,5.203619909502272,20260122,20260225,9.3,绿发电力
000555.SZ,平衡型,2.8000000000000007,2.0,-0.8000000000000007,-28.57142857142859,-0.04438596491228067,10.75268817204301,23.58,55.89,32.31,137.0229007633588,3.7400526315789473,18.0,17.74,-0.26000000000000156,-1.444444444444453,-0.010315789473684327,4.847801578354019,20260122,20260225,18.6,神州信息
000682.SZ,平衡型,3.200000000000001,2.799999999999999,-0.40000000000000213,-12.50000000000006,-0.027017543859649256,19.178082191780817,43.76,61.92,18.160000000000004,41.499085923217564,1.5156140350877194,13.56,13.54,-0.02000000000000135,-0.14749262536874153,-0.004578947368421086,7.828655834564257,20260122,20260225,14.6,东方电子
000712.SZ,平衡型,2.4000000000000004,2.0,-0.40000000000000036,-16.66666666666668,-0.031578947368421074,14.705882352941178,26.19,81.65,55.46000000000001,211.76021382206952,4.208000000000001,12.83,12.75,-0.08000000000000007,-0.6235385814497277,-0.007350877192982486,6.666666666666663,20260122,20260225,13.6,锦龙股份
000798.SZ,平衡型,1.5999999999999996,1.4000000000000004,-0.1999999999999993,-12.49999999999996,-0.021754385964912283,11.111111111111114,15.82,75.65,59.830000000000005,378.1921618204804,3.3800877192982455,11.27,11.98,0.7100000000000009,6.299911268855377,0.0422105263157895,5.175292153589309,20260122,20260225,12.6,中水渔业
000838.SZ,平衡型,1.0,0.6000000000000001,-0.3999999999999999,-39.99999999999999,-0.02245614035087719,20.689655172413797,20.42,80.42,60.0,293.82957884427026,2.442087719298246,3.07,2.62,-0.44999999999999973,-14.657980456026051,-0.03250877192982455,10.68702290076335,20260122,20260225,2.9,财信发展
000917.SZ,平衡型,2.5,1.799999999999999,-0.7000000000000011,-28.000000000000043,-0.026666666666666672,14.285714285714276,30.15,64.34,34.190000000000005,113.39966832504149,1.9305964912280702,12.05,11.8,-0.25,-2.0746887966804977,-0.029192982456140347,6.7796610169491425,20260122,20260225,12.6,电广传媒
000955.SZ,平衡型,1.4000000000000004,0.9000000000000004,-0.5,-35.7142857142857,-0.023859649122807008,13.846153846153852,40.37,77.72,37.35,92.5191974238296,1.2319649122807017,5.96,5.81,-0.15000000000000036,-2.516778523489939,-0.008736842105263164,11.876075731497426,20260122,20260225,6.5,欣龙控股
000969.SZ,平衡型,4.699999999999999,3.6999999999999993,-1.0,-21.276595744680854,-0.05157894736842097,13.602941176470587,49.91,62.46,12.550000000000004,25.145261470647174,0.31733333333333336,26.44,24.77,-1.6700000000000017,-6.316187594553712,-0.0985964912280702,9.810254339927331,20260122,20260225,27.2,安泰科技
