ts_code,name,trade_date,asof_time,open,low_0930_1000,low_0930_1000_pct,close_0959,close_0959_pct,cross_time,cross_minutes,last_close,pct_from_open,recent_deepdrop_rebound_total,recent_deepdrop_rebound_yesterday,recent_deepdrop_rebound_daybefore,bonus_points,score,reason
300062.SZ,中能电气,20260311,10:10,9.53,9.32,-2.2035676810073355,9.52,-0.10493179433368087,10:01,31,10.0,4.931794333683113,0.0,0.0,0.0,0.0,4.931794333683113,前30分钟回撤-2.20%，随后站上开盘价并稳住
002648.SZ,卫星化学,20260311,10:10,25.71,25.42,-1.12796577207312,25.61,-0.3889537145079791,10:01,31,26.07,1.4002333722287026,0.6,0.0,1.0,0.72,2.120233372228703,前30分钟回撤-1.13%，随后站上开盘价并稳住
000912.SZ,泸天化,20260311,10:10,5.47,5.37,-1.828153564899445,5.43,-0.7312614259597813,10:01,31,5.53,1.0968921389396802,0.6,0.0,1.0,0.72,1.8168921389396802,前30分钟回撤-1.83%，随后站上开盘价并稳住
605259.SH,绿田机械,20260311,10:10,23.27,22.99,-1.2032660077352864,23.06,-0.9024495058014648,10:01,31,23.65,1.6330038676407348,0.0,0.0,0.0,0.0,1.6330038676407348,前30分钟回撤-1.20%，随后站上开盘价并稳住
300237.SZ,ST美晨,20260311,10:10,2.5,2.48,-0.8000000000000007,2.49,-0.39999999999999153,10:01,31,2.54,1.6000000000000014,0.0,0.0,0.0,0.0,1.6000000000000014,前30分钟回撤-0.80%，随后站上开盘价并稳住
600773.SH,西藏城投,20260311,10:10,16.4,16.24,-0.9756097560975618,16.24,-0.9756097560975618,10:02,32,16.63,1.4024390243902467,0.0,0.0,0.0,0.0,1.4024390243902467,前30分钟回撤-0.98%，随后站上开盘价并稳住
603312.SH,西典新能,20260311,10:10,48.22,47.62,-1.2442969722107038,48.1,-0.24885939444213487,10:01,31,48.75,1.099128992119455,0.0,0.0,0.0,0.0,1.099128992119455,前30分钟回撤-1.24%，随后站上开盘价并稳住
300187.SZ,永清环保,20260311,10:10,5.67,5.59,-1.4109347442680789,5.66,-0.17636684303350594,10:00,30,5.73,1.058201058201067,0.0,0.0,0.0,0.0,1.058201058201067,前30分钟回撤-1.41%，随后站上开盘价并稳住
600389.SH,江山股份,20260311,10:10,28.75,28.36,-1.3565217391304367,28.54,-0.7304347826086987,10:01,31,29.05,1.0434782608695676,0.0,0.0,0.0,0.0,1.0434782608695676,前30分钟回撤-1.36%，随后站上开盘价并稳住
002729.SZ,好利科技,20260311,10:10,19.38,19.1,-1.4447884416924541,19.34,-0.2063983488132051,10:01,31,19.56,0.9287925696594413,0.0,0.0,0.0,0.0,0.9287925696594413,前30分钟回撤-1.44%，随后站上开盘价并稳住
