ts_code,name,trade_date,asof_time,open,low_0930_1000,low_0930_1000_pct,close_0959,close_0959_pct,cross_time,cross_minutes,last_close,pct_from_open,recent_deepdrop_rebound_total,recent_deepdrop_rebound_yesterday,recent_deepdrop_rebound_daybefore,bonus_points,score,reason,chip_concentration,winner_rate,price_position_pct,cost_5pct,cost_95pct,weight_avg
300062.SZ,中能电气,20260311,10:10,9.53,9.32,-2.2035676810073355,9.52,-0.10493179433368087,10:01,31,10.0,4.931794333683113,0.0,0.0,0.0,0.0,4.931794333683113,前30分钟回撤-2.20%，随后站上开盘价并稳住,12.499999999999993,91.0,93.33333333333333,8.9,10.1,9.6
603312.SH,西典新能,20260311,10:10,48.22,47.62,-1.2442969722107038,48.1,-0.24885939444213487,10:01,31,48.75,1.099128992119455,0.0,0.0,0.0,0.0,1.099128992119455,前30分钟回撤-1.24%，随后站上开盘价并稳住,11.231281198003325,89.1,78.33333333333343,45.9,51.3,48.08
002729.SZ,好利科技,20260311,10:10,19.38,19.1,-1.4447884416924541,19.34,-0.2063983488132051,10:01,31,19.56,0.9287925696594413,0.0,0.0,0.0,0.0,0.9287925696594413,前30分钟回撤-1.44%，随后站上开盘价并稳住,12.691697514542563,76.81,90.00000000000006,17.5,19.9,18.91
