ts_code,name,trade_date,asof_time,open,low_0930_1000,low_0930_1000_pct,close_0959,close_0959_pct,cross_time,cross_minutes,last_close,pct_from_open,recent_deepdrop_rebound_total,recent_deepdrop_rebound_yesterday,recent_deepdrop_rebound_daybefore,bonus_points,score,reason
300769.SZ,德方纳米,20260316,10:09,46.25,45.8,-0.9729729729729791,46.1,-0.3243243243243213,10:01,31,46.93,1.4702702702702697,1.0,1.0,0.0,1.2,2.6702702702702696,前30分钟回撤-0.97%，随后站上开盘价并稳住
000536.SZ,华映科技,20260316,10:09,4.98,4.86,-2.4096385542168695,4.96,-0.4016064257028205,10:00,30,5.05,1.405622489959827,0.6,0.0,1.0,0.72,2.1256224899598273,前30分钟回撤-2.41%，随后站上开盘价并稳住
300390.SZ,天华新能,20260316,10:09,52.78,52.0,-1.4778325123152731,52.65,-0.24630541871921668,10:00,30,53.47,1.307313376278889,0.0,0.0,0.0,0.0,1.307313376278889,前30分钟回撤-1.48%，随后站上开盘价并稳住
600429.SH,三元股份,20260316,10:09,5.45,5.4,-0.9174311926605472,5.44,-0.1834862385321062,10:00,30,5.52,1.2844036697247594,0.0,0.0,0.0,0.0,1.2844036697247594,前30分钟回撤-0.92%，随后站上开盘价并稳住
688197.SH,首药控股,20260316,10:09,37.72,37.3,-1.1134676564156991,37.69,-0.07953340402969548,10:02,32,38.16,1.1664899257688168,0.0,0.0,0.0,0.0,1.1664899257688168,前30分钟回撤-1.11%，随后站上开盘价并稳住
300530.SZ,领湃科技,20260316,10:09,28.25,28.0,-0.8849557522123894,28.2,-0.1769911504424804,10:01,31,28.54,1.0265486725663686,0.0,0.0,0.0,0.0,1.0265486725663686,前30分钟回撤-0.88%，随后站上开盘价并稳住
300816.SZ,艾可蓝,20260316,10:09,67.68,66.4,-1.8912529550827437,67.38,-0.4432624113475345,10:00,30,68.35,0.9899527186761045,0.0,0.0,0.0,0.0,0.9899527186761045,前30分钟回撤-1.89%，随后站上开盘价并稳住
002125.SZ,湘潭电化,20260316,10:09,14.97,14.89,-0.5344021376085509,14.95,-0.13360053440214661,10:01,31,15.11,0.9352037408149552,0.0,0.0,0.0,0.0,0.9352037408149552,前30分钟回撤-0.53%，随后站上开盘价并稳住
