ts_code,name,trade_date,asof_time,open,low_0930_1000,low_0930_1000_pct,close_0959,close_0959_pct,cross_time,cross_minutes,last_close,pct_from_open,recent_deepdrop_rebound_total,recent_deepdrop_rebound_yesterday,recent_deepdrop_rebound_daybefore,bonus_points,score,reason
600930.SH,华电新能,20260313,12:17,6.42,6.33,-1.4018691588785024,6.34,-1.2461059190031165,10:09,39,6.9,7.476635514018698,0.0,0.0,0.0,0.0,7.476635514018698,前30分钟回撤-1.40%，随后站上开盘价并稳住
300904.SZ,威力传动,20260313,12:17,65.3,63.39,-2.924961715160791,65.01,-0.44410413476262184,10:02,32,69.9,7.044410413476276,0.0,0.0,0.0,0.0,7.044410413476276,前30分钟回撤-2.92%，随后站上开盘价并稳住
605100.SH,华丰股份,20260313,12:17,40.9,40.0,-2.200488997555009,40.62,-0.6845965770171177,10:22,52,43.42,6.161369193154042,0.0,0.0,0.0,0.0,6.161369193154042,前30分钟回撤-2.20%，随后站上开盘价并稳住
301272.SZ,英华特,20260313,12:17,43.48,43.0,-1.1039558417663222,43.35,-0.2989880404783704,10:26,56,46.12,6.071757129714813,0.0,0.0,0.0,0.0,6.071757129714813,前30分钟回撤-1.10%，随后站上开盘价并稳住
600346.SH,恒力石化,20260313,12:17,22.08,21.73,-1.5851449275362222,22.03,-0.22644927536230597,10:02,32,23.06,4.438405797101452,1.0,1.0,0.0,1.2,5.638405797101452,前30分钟回撤-1.59%，随后站上开盘价并稳住
002151.SZ,北斗星通,20260313,12:17,43.36,41.95,-3.2518450184501764,42.33,-2.3754612546125484,10:02,32,45.7,5.396678966789676,0.0,0.0,0.0,0.0,5.396678966789676,前30分钟回撤-3.25%，随后站上开盘价并稳住
002310.SZ,东方新能,20260313,12:17,2.64,2.58,-2.2727272727272747,2.6,-1.5151515151515165,10:10,40,2.78,5.30303030303029,0.0,0.0,0.0,0.0,5.30303030303029,前30分钟回撤-2.27%，随后站上开盘价并稳住
002848.SZ,*ST高斯,20260313,12:17,12.71,12.5,-1.6522423288749082,12.58,-1.0228166797797071,10:10,40,13.26,4.327301337529495,0.0,0.0,0.0,0.0,4.327301337529495,前30分钟回撤-1.65%，随后站上开盘价并稳住
002403.SZ,爱仕达,20260313,12:17,11.24,11.1,-1.2455516014234926,11.17,-0.6227758007117463,10:34,64,11.71,4.181494661921714,0.0,0.0,0.0,0.0,4.181494661921714,前30分钟回撤-1.25%，随后站上开盘价并稳住
688307.SH,中润光学,20260313,12:17,54.99,53.4,-2.891434806328429,54.84,-0.2727768685215468,10:09,39,56.62,2.964175304600828,1.0,1.0,0.0,1.2,4.164175304600828,前30分钟回撤-2.89%，随后站上开盘价并稳住
