ts_code,name,trade_date,asof_time,open,low_0930_1000,low_0930_1000_pct,close_0959,close_0959_pct,cross_time,cross_minutes,last_close,pct_from_open,recent_deepdrop_rebound_total,recent_deepdrop_rebound_yesterday,recent_deepdrop_rebound_daybefore,bonus_points,score,reason
002545.SZ,东方铁塔,20260312,10:27,26.6,25.99,-2.293233082706778,26.49,-0.4135338345864774,10:11,41,26.96,1.3533834586466142,0.0,0.0,0.0,0.0,1.3533834586466142,前30分钟回撤-2.29%，随后站上开盘价并稳住
300037.SZ,新宙邦,20260312,10:27,57.13,56.8,-0.5776299667425264,57.03,-0.17503938386137127,10:04,34,57.88,1.312795378960266,0.0,0.0,0.0,0.0,1.312795378960266,前30分钟回撤-0.58%，随后站上开盘价并稳住
000065.SZ,北方国际,20260312,10:27,13.11,12.86,-1.9069412662090008,12.98,-0.9916094584286729,10:10,40,13.28,1.29672006102212,0.0,0.0,0.0,0.0,1.29672006102212,前30分钟回撤-1.91%，随后站上开盘价并稳住
688418.SH,震有科技,20260312,10:27,41.73,41.41,-0.7668344116942255,41.47,-0.6230529595015529,10:03,33,42.27,1.2940330697340194,0.0,0.0,0.0,0.0,1.2940330697340194,前30分钟回撤-0.77%，随后站上开盘价并稳住
603139.SH,康惠股份,20260312,10:27,27.9,27.36,-1.9354838709677389,27.56,-1.2186379928315407,10:16,46,28.26,1.2903225806451721,0.0,0.0,0.0,0.0,1.2903225806451721,前30分钟回撤-1.94%，随后站上开盘价并稳住
002311.SZ,海大集团,20260312,10:27,55.08,54.06,-1.8518518518518448,54.42,-1.1982570806100157,10:13,43,55.78,1.2708787218591193,0.0,0.0,0.0,0.0,1.2708787218591193,前30分钟回撤-1.85%，随后站上开盘价并稳住
301022.SZ,海泰科,20260312,10:27,32.77,32.61,-0.48825144949650195,32.74,-0.09154714678059546,10:01,31,33.18,1.2511443393347468,0.0,0.0,0.0,0.0,1.2511443393347468,前30分钟回撤-0.49%，随后站上开盘价并稳住
301155.SZ,海力风电,20260312,10:27,80.04,79.0,-1.2993503248375888,79.33,-0.8870564717641279,10:07,37,81.03,1.2368815592203832,0.0,0.0,0.0,0.0,1.2368815592203832,前30分钟回撤-1.30%，随后站上开盘价并稳住
000983.SZ,山西焦煤,20260312,10:27,7.35,7.23,-1.6326530612244792,7.33,-0.27210884353740916,10:02,32,7.44,1.2244897959183776,0.0,0.0,0.0,0.0,1.2244897959183776,前30分钟回撤-1.63%，随后站上开盘价并稳住
002714.SZ,牧原股份,20260312,10:27,49.5,49.0,-1.0101010101010102,49.17,-0.6666666666666632,10:04,34,50.08,1.1717171717171684,0.0,0.0,0.0,0.0,1.1717171717171684,前30分钟回撤-1.01%，随后站上开盘价并稳住
605077.SH,华康股份,20260312,10:27,16.26,16.1,-0.9840098400984018,16.23,-0.18450184501845715,10:01,31,16.45,1.1685116851168371,0.0,0.0,0.0,0.0,1.1685116851168371,前30分钟回撤-0.98%，随后站上开盘价并稳住
600903.SH,贵州燃气,20260312,10:27,6.86,6.81,-0.7288629737609432,6.84,-0.2915451895043799,10:02,32,6.94,1.1661807580174937,0.0,0.0,0.0,0.0,1.1661807580174937,前30分钟回撤-0.73%，随后站上开盘价并稳住
002783.SZ,凯龙股份,20260312,10:27,10.3,10.19,-1.0679611650485552,10.29,-0.09708737864079188,10:01,31,10.42,1.1650485436893128,0.0,0.0,0.0,0.0,1.1650485436893128,前30分钟回撤-1.07%，随后站上开盘价并稳住
300970.SZ,华绿生物,20260312,10:27,26.0,25.52,-1.8461538461538478,25.85,-0.5769230769230715,10:16,46,26.3,1.1538461538461564,0.0,0.0,0.0,0.0,1.1538461538461564,前30分钟回撤-1.85%，随后站上开盘价并稳住
600336.SH,澳柯玛,20260312,10:27,7.39,7.36,-0.4059539918809116,7.38,-0.1353179972936372,10:01,31,7.47,1.0825439783491213,0.0,0.0,0.0,0.0,1.0825439783491213,前30分钟回撤-0.41%，随后站上开盘价并稳住
000792.SZ,盐湖股份,20260312,10:27,38.3,37.85,-1.1749347258485527,38.27,-0.07832898172322202,10:11,41,38.71,1.0704960835509236,0.0,0.0,0.0,0.0,1.0704960835509236,前30分钟回撤-1.17%，随后站上开盘价并稳住
603132.SH,金徽股份,20260312,10:27,18.26,18.01,-1.3691128148959473,18.17,-0.49288061336254024,10:10,40,18.45,1.0405257393209075,0.0,0.0,0.0,0.0,1.0405257393209075,前30分钟回撤-1.37%，随后站上开盘价并稳住
603071.SH,物产环能,20260312,10:27,14.47,14.33,-0.9675190048375989,14.46,-0.06910850034554103,10:05,35,14.62,1.0366275051831277,0.0,0.0,0.0,0.0,1.0366275051831277,前30分钟回撤-0.97%，随后站上开盘价并稳住
300119.SZ,瑞普生物,20260312,10:27,19.32,19.16,-0.828157349896481,19.2,-0.6211180124223654,10:17,47,19.52,1.0351966873705967,0.0,0.0,0.0,0.0,1.0351966873705967,前30分钟回撤-0.83%，随后站上开盘价并稳住
002167.SZ,东方锆业,20260312,10:27,14.54,14.31,-1.5818431911966895,14.42,-0.8253094910591419,10:01,31,14.69,1.0316368638239366,0.0,0.0,0.0,0.0,1.0316368638239366,前30分钟回撤-1.58%，随后站上开盘价并稳住
688166.SH,博瑞医药,20260312,10:27,42.77,42.1,-1.5665185877951873,42.58,-0.44423661444939166,10:01,31,43.21,1.028758475566981,0.0,0.0,0.0,0.0,1.028758475566981,前30分钟回撤-1.57%，随后站上开盘价并稳住
002326.SZ,永太科技,20260312,10:27,23.7,23.4,-1.2658227848101298,23.41,-1.2236286919831187,10:09,39,23.94,1.0126582278481095,0.0,0.0,0.0,0.0,1.0126582278481095,前30分钟回撤-1.27%，随后站上开盘价并稳住
300239.SZ,东宝生物,20260312,10:27,5.97,5.93,-0.6700167504187611,5.96,-0.16750418760468655,10:01,31,6.03,1.005025125628149,0.0,0.0,0.0,0.0,1.005025125628149,前30分钟回撤-0.67%，随后站上开盘价并稳住
603906.SH,龙蟠科技,20260312,10:27,18.32,18.13,-1.037117903930138,18.15,-0.9279475982532844,10:07,37,18.5,0.9825327510917016,0.0,0.0,0.0,0.0,0.9825327510917016,前30分钟回撤-1.04%，随后站上开盘价并稳住
601112.SH,振石股份,20260312,10:27,20.36,20.25,-0.5402750491159107,20.25,-0.5402750491159107,10:19,49,20.56,0.9823182711198394,0.0,0.0,0.0,0.0,0.9823182711198394,前30分钟回撤-0.54%，随后站上开盘价并稳住
002091.SZ,江苏国泰,20260312,10:27,9.36,9.29,-0.747863247863251,9.31,-0.5341880341880229,10:14,44,9.45,0.96153846153846,0.0,0.0,0.0,0.0,0.96153846153846,前30分钟回撤-0.75%，随后站上开盘价并稳住
688148.SH,芳源股份,20260312,10:27,8.33,8.24,-1.080432172869146,8.27,-0.7202881152461044,10:05,35,8.41,0.9603841536614653,0.0,0.0,0.0,0.0,0.9603841536614653,前30分钟回撤-1.08%，随后站上开盘价并稳住
300761.SZ,立华股份,20260312,10:27,22.0,21.72,-1.272727272727278,21.98,-0.09090909090908897,10:02,32,22.21,0.9545454545454585,0.0,0.0,0.0,0.0,0.9545454545454585,前30分钟回撤-1.27%，随后站上开盘价并稳住
688371.SH,菲沃泰,20260312,10:27,21.02,20.8,-1.0466222645099852,20.99,-0.1427212178877314,10:00,30,21.22,0.9514747859181698,0.0,0.0,0.0,0.0,0.9514747859181698,前30分钟回撤-1.05%，随后站上开盘价并稳住
002100.SZ,天康生物,20260312,10:27,7.72,7.61,-1.4248704663212364,7.7,-0.25906735751294785,10:01,31,7.79,0.9067357512953406,0.0,0.0,0.0,0.0,0.9067357512953406,前30分钟回撤-1.42%，随后站上开盘价并稳住
