symbol,name,ts_code,trade_date,close,pct_chg,amount_yi,net_mf_amount,net_mf_ratio,net_mf_ratio_prev_mean,net_mf_ratio_spike,vol_ratio
002307,北新路桥,002307.SZ,20260227,5.29,1.9268,3.24126322,4716.72,0.14552104163882132,0.0052229244931099065,27.861984570290648,1.3870896477745536
002001,新和成,002001.SZ,20260227,31.5,1.4166,18.171967679999998,19692.88,0.10836955219590179,0.0045811545855699454,23.65551089178525,1.2500041227042469
002366,融发核电,002366.SZ,20260227,7.94,1.4049,4.44267219,9108.33,0.20501917788357013,-0.009944757056928743,20.61580556568031,1.3114578454451928
002570,贝因美,002570.SZ,20260227,6.23,1.6313,3.3365257500000003,12213.06,0.36604123315997183,-0.03326773011587106,11.0028917478005,2.3909668541681324
003816,中国广核,003816.SZ,20260227,3.95,0.7653,10.78511119,45890.66,0.4255001102125866,-0.04474051929853946,9.510397216745691,1.9690191444298197
600985,淮北矿业,600985.SH,20260227,13.51,0.7457,4.69396868,17000.63,0.36218030325673156,0.03943344080856689,9.184598042432253,1.2201878207689605
600905,三峡能源,600905.SH,20260227,4.16,1.4634,8.47184209,44088.46,0.5204117301955047,-0.06447835394371244,8.07110756347483,1.9851639393912182
600100,同方股份,600100.SH,20260227,9.52,1.6009,7.30376794,10661.94,0.1459786248356626,-0.022481307816384258,6.493333307294256,1.3842286277851164
002735,王子新材,002735.SZ,20260227,18.43,1.8232,4.09432804,5581.57,0.13632444556152368,-0.026997013729247253,5.049612039639643,1.2237926280235658
000027,深圳能源,000027.SZ,20260227,7.02,1.8868,3.0274969300000003,5767.37,0.1904996151391638,0.038397240086921205,4.9612840586438764,1.7453756630644897
601865,福莱特,601865.SH,20260227,17.08,1.9701,5.76223071,21986.05,0.38155449003186476,-0.07979322948759034,4.781790290756501,1.6938933723725014
000062,深圳华强,000062.SZ,20260227,25.3,1.8519,3.98109376,5888.59,0.14791387379934504,-0.03121464267185515,4.738605383194483,2.2078262349229423
600795,国电电力,600795.SH,20260227,4.91,1.8672,15.4948114,45896.75,0.2962072194050713,0.07525521547303757,3.9360357623478786,1.398788309486444
300541,先进数通,300541.SZ,20260227,16.74,1.8868,5.2424487300000004,6635.72,0.12657672667406325,-0.034797356508547206,3.637538576902313,1.449584819741202
600642,申能股份,600642.SH,20260227,8.56,1.5421,3.27926746,8104.65,0.24714818473513595,-0.06846108455183915,3.6100535998373475,1.818777275587796
601728,中国电信,601728.SH,20260227,5.79,1.9366,10.311811330000001,40504.06,0.3927928731799246,-0.12674969101732073,3.0989651337788926,1.4914412905918717
002142,宁波银行,002142.SZ,20260227,31.29,1.0006,9.10675415,10242.94,0.11247629870407778,0.038988538120055684,2.8848555018332434,1.5155488497807452
600177,雅戈尔,600177.SH,20260227,7.32,0.8264,3.52876884,9340.51,0.2646960008862468,-0.09665409012592742,2.738590788464131,2.263540629225674
002649,博彦科技,002649.SZ,20260227,14.0,1.9665,3.5589603899999998,6447.71,0.18116835517801308,-0.07440006966592137,2.4350562572254746,1.3892797539435804
601633,长城汽车,601633.SH,20260227,20.5,-1.4423,4.60891349,10472.81,0.22722947659405948,-0.09700074334096484,2.3425539719353585,1.8471566728198303
600776,东方通信,600776.SH,20260227,18.53,1.7573,6.69174051,7528.62,0.11250615574153516,-0.04805783624770239,2.341057453391152,1.5555925441770584
600930,华电新能,600930.SH,20260227,6.02,1.5177,6.34462147,23824.86,0.37551270966524664,-0.17207184645616708,2.1823018547133644,2.2989757831332986
000905,厦门港务,000905.SZ,20260227,12.74,1.5139,3.17202836,4315.17,0.13603819103307133,-0.06308200673304595,2.1565292240743945,1.6090766657518496
