ts_code,name,t_date,t_band,t_band_global_q,t_band_post_q,stage2_date,stage2_band,stage3_days,stage3_slope,stage3_down_ratio,stage3_drop_pct,score,pw_peak_date,pw_peak_close,pw_low_date,pw_low_close,pw_dd_pct,pw_rebound_pct,pw_rebound_days,pw_last_slope,pw_t_over_peak,ignite_all_inflow,ignite_inflow_days,ignite_net_amount_20260302,ignite_net_amount_20260303,ignite_net_amount_20260304,net_amount,net_amount_rate,turnover_rate,volume_ratio,circ_mv,total_mv
603578.SH,三星新材,20260304,0.19314997876408416,0.6384615384615384,0.0625,20260202,0.3570307790436691,12,-0.01066077042403404,1.0,0.40499942602520006,44.299965561512,20260206,16.22,20260213,14.2,0.12453760789149193,0.08309859154929589,7,0.07200000000000024,-0.05178791615289757,True,3,3954.86,437.72,902.66,902.66,7.99,4.163,0.74,277389.1152,277389.1152
000505.SZ,京粮控股,20260304,0.15412723060238578,0.38461538461538464,0.04838709677419355,20251126,0.2701091834933056,12,-0.003940728757801449,0.6363636363636364,0.22902347087741431,26.468680979917586,20251229,9.01,20260213,6.87,0.23751387347391784,0.11353711790393017,7,0.1490000000000002,-0.15094339622641506,True,3,1291.02,489.5,2453.02,2453.02,5.31,9.7516,3.12,483770.957,556116.942
