symbol,name,ts_code,trade_date,close,pct_chg,amount_yi,net_mf_amount,net_mf_ratio,net_mf_ratio_prev_mean,net_mf_ratio_spike,vol_ratio
601816,京沪高铁,601816.SH,20260227,4.95,1.6427,8.81275967,35896.65,0.4073258700358954,-0.2642056669591574,407325870035.8954,1.2761114338990154
601728,中国电信,601728.SH,20260227,5.79,1.9366,10.311811330000001,40504.06,0.3927928731799246,-0.05864648418924134,392792873179.9246,1.4514582084687309
601865,福莱特,601865.SH,20260227,17.08,1.9701,5.76223071,21986.05,0.38155449003186476,-0.02771382542384559,381554490031.86475,1.6723668567140384
600930,华电新能,600930.SH,20260227,6.02,1.5177,6.34462147,23824.86,0.37551270966524664,-0.036605882936516655,375512709665.24664,2.0585039845295925
601916,浙商银行,601916.SH,20260227,2.98,0.3367,4.27003647,15856.99,0.37135490788911224,-0.12622525972723195,371354907889.11224,1.4904982927356392
600177,雅戈尔,600177.SH,20260227,7.32,0.8264,3.52876884,9340.51,0.2646960008862468,-0.00410614984013485,264696000886.2468,2.237705618579316
601633,长城汽车,601633.SH,20260227,20.5,-1.4423,4.60891349,10472.81,0.22722947659405948,-0.03982463698985034,227229476594.05948,1.6242416369171364
002736,国信证券,002736.SZ,20260227,12.56,1.6181,4.6658908199999996,9615.71,0.20608519082321775,-0.09367305769350691,206085190823.21774,1.3364101395213337
002065,东华软件,002065.SZ,20260227,9.67,1.8967,6.5351858400000005,12185.88,0.18646569965024895,-0.17201900447331112,186465699650.24896,1.4976861602877567
002649,博彦科技,002649.SZ,20260227,14.0,1.9665,3.5589603899999998,6447.71,0.18116835517801308,-0.1336008440528571,181168355178.0131,1.3287370733060238
