symbol,name,ts_code,trade_date,close,pct_chg,amount_yi,net_mf_amount,net_mf_ratio,net_mf_ratio_prev_mean,net_mf_ratio_spike,vol_ratio
600177,雅戈尔,600177.SH,20260227,7.32,0.8264,3.52876884,9340.51,0.2646960008862468,-0.00410614984013485,64.46330776802678,2.237705618579316
600985,淮北矿业,600985.SH,20260227,13.51,0.7457,4.69396868,17000.63,0.36218030325673156,0.012166543227432053,29.768546125749115,1.2755135549012724
601865,福莱特,601865.SH,20260227,17.08,1.9701,5.76223071,21986.05,0.38155449003186476,-0.02771382542384559,13.767658711726126,1.6723668567140384
600930,华电新能,600930.SH,20260227,6.02,1.5177,6.34462147,23824.86,0.37551270966524664,-0.036605882936516655,10.258261228570156,2.0585039845295925
601728,中国电信,601728.SH,20260227,5.79,1.9366,10.311811330000001,40504.06,0.3927928731799246,-0.05864648418924134,6.697637183372405,1.4514582084687309
600905,三峡能源,600905.SH,20260227,4.16,1.4634,8.47184209,44088.46,0.5204117301955047,0.07968219236256856,6.531092013978934,1.9910985997569197
601633,长城汽车,601633.SH,20260227,20.5,-1.4423,4.60891349,10472.81,0.22722947659405948,-0.03982463698985034,5.705751358184908,1.6242416369171364
000062,深圳华强,000062.SZ,20260227,25.3,1.8519,3.98109376,5888.59,0.14791387379934504,-0.02780116645428692,5.320419704063777,1.972734221144888
000905,厦门港务,000905.SZ,20260227,12.74,1.5139,3.17202836,4315.17,0.13603819103307133,-0.026192571285473587,5.193770002585358,1.3243480778330217
600776,东方通信,600776.SH,20260227,18.53,1.7573,6.69174051,7528.62,0.11250615574153516,-0.023912271913867564,4.704954683803545,1.4939360644208786
600100,同方股份,600100.SH,20260227,9.52,1.6009,7.30376794,10661.94,0.1459786248356626,-0.035448550005901434,4.118042199507744,1.305921072659381
003816,中国广核,003816.SZ,20260227,3.95,0.7653,10.78511119,45890.66,0.4255001102125866,0.10988349457764872,3.8722841118955196,1.8487936751031202
600642,申能股份,600642.SH,20260227,8.56,1.5421,3.27926746,8104.65,0.24714818473513595,0.06491816800523705,3.807072693659472,1.6562107788238725
002307,北新路桥,002307.SZ,20260227,5.29,1.9268,3.24126322,4716.72,0.14552104163882132,0.04316486052676325,3.3712848799452226,1.2804455429751458
601916,浙商银行,601916.SH,20260227,2.98,0.3367,4.27003647,15856.99,0.37135490788911224,-0.12622525972723195,2.942001535125349,1.4904982927356392
002570,贝因美,002570.SZ,20260227,6.23,1.6313,3.3365257500000003,12213.06,0.36604123315997183,0.146175994728633,2.504113167415112,2.065509097343999
002142,宁波银行,002142.SZ,20260227,31.29,1.0006,9.10675415,10242.94,0.11247629870407778,0.045422512381090845,2.4762236346684574,1.6684713953632084
600674,川投能源,600674.SH,20260227,14.44,1.9774,6.95501022,8947.88,0.128653728994808,0.05437831244853631,2.3659014633189663,2.1410292830052153
300541,先进数通,300541.SZ,20260227,16.74,1.8868,5.2424487300000004,6635.72,0.12657672667406325,-0.05532907724915759,2.287707168945971,1.5395504300760787
002736,国信证券,002736.SZ,20260227,12.56,1.6181,4.6658908199999996,9615.71,0.20608519082321775,-0.09367305769350691,2.2000476540172005,1.3364101395213337
