market,code,liutongguben,province,industry,updated_date,ipo_date,zongguben,guojiagu,faqirenfarengu,farengu,bgu,hgu,zhigonggu,zongzichan,liudongzichan,gudingzichan,wuxingzichan,gudongrenshu,liudongfuzhai,changqifuzhai,zibengongjijin,jingzichan,zhuyingshouru,zhuyinglirun,yingshouzhangkuan,yingyelirun,touzishouyu,jingyingxianjinliu,zongxianjinliu,cunhuo,lirunzonghe,shuihoulirun,jinglirun,weifenpeilirun,meigujingzichan,baoliu2
1,601919,12556145000.0,9,8,20260204,20070626,15312625000.0,16550000.0,381240600000.0,1747373120000.0,0.0,2756479375.0,17400.00009536743,5000327680000.0,1954850240000.0,1431103520000.0,76469375000.0,425262.0,1299608800000.0,504621680000.0,267751760000.0,2322395840000.0,1675987520000.0,1307684720000.0,99161510000.0,369170480000.0,44311795000.0,399818320000.0,-129157640000.0,65070000000.0,368946160000.0,307863040000.0,270695900000.0,1718943680000.0,14.993000030517578,9.0
1,601921,2222222187.5,28,18,20251027,20210723,2222222187.5,27860000.0,4334893437.5,70937070000.0,0.0,0.0,2899.9999165534973,218191600000.0,167141310000.0,27848922500.0,6609035000.0,48315.0,79458405000.0,417962031.25,51548555000.0,136046280000.0,67555660000.0,49357015000.0,9302300625.0,6460288125.0,727736015.625,736841015.625,-13653818750.0,42379155000.0,6434023125.0,6360135000.0,6334253125.0,56387795000.0,6.122000217437744,9.0
1,601928,2544900000.0,26,18,20251030,20111130,2544900000.0,27860000.0,13433765000.0,95603050000.0,0.0,0.0,6700.000166893005,315752560000.0,179899440000.0,56632390000.0,7328659375.0,42855.0,100108390000.0,2925943125.0,35684647500.0,200889860000.0,91588820000.0,52825090000.0,12061061250.0,17382668750.0,1234621015.625,8347960000.0,-5982305625.0,25426120000.0,17385601250.0,17293430000.0,17013092500.0,112005620000.0,7.894000053405762,9.0
1,601929,3489788125.0,3,18,20260120,20120223,3489788125.0,18630000.0,-3095898125.0,14266080000.0,0.0,0.0,-1000.0000149011612,126541900000.0,16165645000.0,74947955000.0,1951849062.5,281293.0,40874230000.0,366088984.375,8679727500.0,50048140000.0,14694037500.0,13235436250.0,7268540000.0,-3479390000.0,15069000.244140625,1041332031.25,-509349023.4375,4288364062.5,-3510198125.0,-3510987812.5,-3464930000.0,-4114655000.0,1.434000015258789,9.0
1,601933,9075036875.0,20,12,20251031,20101215,9075036875.0,15520000.0,-778656562.5,545489200000.0,0.0,0.0,-799.9999821186066,316197780000.0,112389410000.0,34923687500.0,5433473125.0,309386.0,178362060000.0,-2000380000.0,42563590000.0,36907497500.0,424342040000.0,337269880000.0,2142989062.5,-2353860000.0,3396085937.5,11395547500.0,-7217725000.0,37318247500.0,-7720728125.0,-7964872500.0,-7098236875.0,-102839050000.0,0.40700000524520874,9.0
1,601939,9593657500.0,7,1,20251217,20070925,261600380000.0,19660000.0,2557760000000.0,5690220160000.0,0.0,240417320000.0,10000.0,453690941440000.0,0.0,1618360000000.0,48900000000.0,313109.0,0.0,227540000000.0,2291129920000.0,36333870080000.0,5737020160000.0,2840889920000.0,0.0,2896129920000.0,367610000000.0,18173799680000.0,5918959360000.0,0.0,2895809920000.0,2584459840000.0,2573600000000.0,19831539200000.0,13.125,9.0
1,601949,1903968125.0,7,18,20251031,20170821,1903968125.0,27860000.0,3130206562.5,37893045000.0,0.0,0.0,1299.9999523162842,160261680000.0,91895740000.0,21501002500.0,7971380000.0,51957.0,40301055000.0,10598051250.0,13789376250.0,96449290000.0,32104777500.0,21795547500.0,7493428125.0,2480471093.75,219004003.90625,-121468994.140625,-1542932968.75,25435747500.0,2597461875.0,2386420000.0,2381625000.0,62061490000.0,5.065999984741211,9.0
1,601952,1378000000.0,26,17,20260121,20170515,1378000000.0,12130000.0,4562396250.0,74519575000.0,0.0,0.0,2199.999988079071,145072480000.0,79182080000.0,20313898750.0,2803216875.0,43866.0,28023947500.0,2561927968.75,23265287500.0,67930145000.0,68085100000.0,59698920000.0,5956423750.0,3346653125.0,364285000.0,7878310000.0,902716015.625,39254187500.0,3356564062.5,3159176875.0,3040031875.0,25765295000.0,5.110000133514404,9.0
1,601956,621616601.5625,19,23,20260202,20201225,621616601.5625,12340000.0,1033887265.625,45594540000.0,0.0,0.0,1700.0000178813934,68002195000.0,45568170000.0,16500105000.0,2012932031.25,34265.0,36773852500.0,257837011.71875,10520822500.0,25455852500.0,45725790000.0,41250162500.0,16987586250.0,1237520000.0,-20775998.53515625,3091006875.0,-933042031.25,8268110000.0,1227075937.5,1034792031.25,1043596953.125,8380696875.0,4.09499979019165,9.0
1,601958,3226604375.0,8,36,20260129,20080417,3226604375.0,11090000.0,21948945000.0,100974940000.0,0.0,0.0,7099.999785423279,226378620000.0,130475790000.0,42004830000.0,19894001250.0,82449.0,26245277500.0,11875946250.0,67858045000.0,180783360000.0,108850290000.0,67652540000.0,8808647500.0,30089110000.0,536491992.1875,8124145000.0,3295780000.0,4880187812.5,30051510000.0,25524555000.0,22863842500.0,62721505000.0,5.860000133514404,9.0
