ts_code,strategy,cost_range_start,cost_range_end,cost_range_change,cost_range_change_rate,cost_range_slope,cost_range_trend,cost_range_percent,winner_rate_start,winner_rate_end,winner_rate_change,winner_rate_change_rate,winner_rate_slope,winner_rate_trend,weight_avg_start,weight_avg_end,weight_avg_change,weight_avg_change_rate,weight_avg_slope,weight_avg_trend,weight_avg_diff_percent,start_date,end_date,latest_price,stock_name,net_amount,net_amount_rate,volume_ratio,latest_volume,hold_amount,hold_ratio
601918.SH,平衡型,1.2000000000000002,0.8000000000000007,-0.3999999999999994,-33.33333333333328,-0.0224561403508771,下降,10.81081081081082,67.12,91.24,24.11999999999999,35.93563766388556,0.971894736842105,上升,6.91,7.07,0.1600000000000001,2.315484804630972,0.0100701754385964,上升,4.6676096181046685,20260115,20260210,7.4,新集能源,5229.12,8.59,1.2875639824424923,889062.27,0,0
000538.SZ,平衡型,7.0,6.0,-1.0,-14.285714285714285,-0.0421052631578947,下降,10.16949152542373,62.46,86.04,23.580000000000005,37.75216138328531,0.2731929824561405,上升,56.33,56.4,0.0700000000000002,0.1242677081484116,0.002,上升,4.609929078014187,20260115,20260210,59.0,云南白药,1516.47,4.17,1.3440142445033865,143499.87,0,0
300831.SZ,平衡型,2.9000000000000004,1.0999999999999996,-1.8000000000000007,-62.0689655172414,-0.1175438596491227,下降,7.857142857142854,64.09,92.81,28.72,44.811983148697145,0.3943684210526315,上升,11.96,13.51,1.549999999999999,12.959866220735778,0.0477894736842105,上升,3.626943005181349,20260115,20260210,14.0,派瑞股份,183.08,1.31,1.2174669351257439,132986.4,0,0
603136.SH,平衡型,1.299999999999999,0.9000000000000004,-0.3999999999999986,-30.76923076923069,-0.0214035087719297,下降,7.142857142857145,63.24,88.02,24.779999999999998,39.18406072106261,1.539017543859649,上升,12.07,12.14,0.0700000000000002,0.5799502899751474,0.0039473684210526,上升,3.789126853377257,20260115,20260210,12.6,天目湖,104.51,1.53,1.2776068883143654,73950.18,0,0
