日期,获利比例,平均成本,90成本-低,90成本-高,90集中度,70成本-低,70成本-高,70集中度
2025-10-09,0.448889054867731,6.36,6.21,6.73,0.040185471406491466,6.25,6.52,0.02114330462020357
2025-10-10,0.7697548768560668,6.36,6.21,6.72,0.03944315545243618,6.25,6.52,0.02114330462020357
2025-10-13,0.7770428151911896,6.36,6.21,6.72,0.03944315545243618,6.26,6.51,0.01957713390759593
2025-10-14,0.9103984368108613,6.37,6.21,6.71,0.03869969040247678,6.26,6.54,0.02187500000000002
2025-10-15,0.9241622950598445,6.37,6.21,6.71,0.03869969040247678,6.26,6.56,0.023400936037441485
2025-10-16,0.97798633794135,6.38,6.21,6.74,0.04092664092664088,6.27,6.61,0.0263975155279503
2025-10-17,0.9130006113532272,6.39,6.22,6.78,0.04307692307692305,6.27,6.64,0.0286599535243997
2025-10-20,0.996730031564307,6.39,6.22,6.83,0.04674329501915711,6.27,6.71,0.03389830508474579
2025-10-21,0.9993268670856017,6.41,6.22,6.91,0.052551408987052586,6.28,6.77,0.037547892720306536
2025-10-22,0.9519066662959869,6.41,6.22,6.98,0.057575757575757565,6.28,6.8,0.03975535168195723
2025-10-23,0.9962796941924069,6.42,6.22,7.05,0.06254709871891485,6.29,6.84,0.04188880426504188
2025-10-24,0.9299746191299414,6.43,6.22,7.08,0.06466165413533836,6.29,6.87,0.044072948328267414
2025-10-27,0.9961591352073165,6.45,6.22,7.11,0.06676669167291821,6.29,6.97,0.05128205128205126
2025-10-28,0.9600882539538409,6.46,6.22,7.16,0.07025411061285504,6.3,7.02,0.054054054054054036
2025-10-29,0.9981552894582354,6.47,6.22,7.22,0.0744047619047619,6.3,7.06,0.05688622754491016
2025-10-30,0.9698492251326737,6.48,6.22,7.25,0.07646622123236825,6.3,7.08,0.05829596412556056
2025-10-31,0.9076609757435892,6.49,6.22,7.27,0.07783543365455893,6.3,7.09,0.05899925317401045
2025-11-03,0.9879929497934881,6.5,6.23,7.28,0.07772020725388601,6.3,7.12,0.06110283159463484
2025-11-04,0.9732281322114634,6.51,6.23,7.31,0.07976366322008864,6.31,7.15,0.062407132243684986
2025-11-05,0.9711679091691133,6.52,6.23,7.33,0.08112094395280241,6.31,7.18,0.06449221645663455
2025-11-06,0.960291571983458,6.53,6.23,7.33,0.08112094395280241,6.31,7.21,0.06656804733727814
2025-11-07,0.9875858937957696,6.54,6.23,7.35,0.08247422680412372,6.31,7.23,0.06794682422451993
2025-11-10,0.9974163018708371,6.56,6.23,7.39,0.08568218551661615,6.31,7.26,0.0700373717200878
2025-11-11,0.9652689816012603,6.58,6.23,7.46,0.09001383017331863,6.31,7.29,0.07151529509313279
2025-11-12,0.9544819980685733,6.6,6.23,7.5,0.09287886343414202,6.31,7.31,0.07298852840304332
2025-11-13,0.9319683358841135,6.62,6.23,7.49,0.0921642977713629,6.31,7.33,0.07445709393972194
2025-11-14,0.7991940550787344,6.64,6.23,7.49,0.0921642977713629,6.31,7.34,0.07518963322010234
