ts_code,cost_range_start,cost_range_end,cost_range_change,cost_range_change_rate,cost_range_trend,winner_rate_start,winner_rate_end,winner_rate_change,winner_rate_change_rate,winner_rate_trend,weight_avg_start,weight_avg_end,weight_avg_change,weight_avg_change_rate,weight_avg_trend,start_date,end_date,stock_name
000006.SZ,3.299999999999999,2.6999999999999993,-0.5999999999999996,-18.181818181818176,下降,4.89,33.83,28.939999999999998,591.8200408997956,上升,10.22,9.63,-0.5899999999999999,-5.772994129158511,下降,20260115,20260210,深振业Ａ
000012.SZ,0.6999999999999993,0.5999999999999996,-0.09999999999999964,-14.28571428571425,下降,13.09,77.23,64.14,489.99236058059586,上升,4.73,4.71,-0.020000000000000462,-0.4228329809725256,下降,20260115,20260210,南玻Ａ
000002.SZ,2.2,2.0,-0.20000000000000018,-9.090909090909099,下降,64.16,77.85,13.689999999999998,21.33728179551122,上升,5.46,5.27,-0.1900000000000004,-3.479853479853487,下降,20260115,20260210,万科Ａ
000011.SZ,2.3999999999999986,2.200000000000001,-0.1999999999999975,-8.333333333333234,下降,2.13,54.61,52.48,2463.849765258216,上升,9.68,9.41,-0.2699999999999996,-2.789256198347103,下降,20260115,20260210,深物业A
