ts_code,buy_date,sell_date,buy_price,sell_price,shares,profit,profit_rate,sell_reason
00039.sz,20260305,20260306,13.46,11.91,2100,-3255.0000000000014,-11.515601783060927,低开-10.0%，止损全出
00006.sz,20260306,20260309,9.13,8.68,3400,-1530.0000000000036,-4.928806133625422,低开-6.5%，止损全出
00021.sz,20260306,20260309,32.38,28.1,800,-3424.000000000001,-13.21803582458308,低开-10.0%，止损全出
00014.sz,20260306,20260309,13.17,13.52,1900,664.9999999999993,2.6575550493545914,平开1.7%，不翻红全出
00034.sz,20260309,20260310,40.01,35.31,700,-3289.999999999997,-11.747063234191442,低开-10.0%，止损全出
00007.sz,20260310,20260311,14.09,13.68,2100,-861.0000000000003,-2.9098651525904904,低开-4.9%，止损全出
00014.sz,20260310,20260311,14.31,13.52,1900,-1501.0000000000018,-5.520614954577225,低开-6.4%，止损全出
00035.sz,20260310,20260311,8.13,6.62,3000,-4530.000000000002,-18.573185731857325,低开-10.0%，止损全出
00027.sz,20260311,20260312,7.29,6.63,4100,-2706.0000000000005,-9.053497942386834,低开-8.8%，止损全出
00049.sz,20260311,20260312,26.59,26.86,1000,269.99999999999955,1.0154193305754027,低开-3.6%，止损全出
00010.sz,20260313,20260316,4.53,3.75,6500,-5070.000000000002,-17.21854304635762,低开-10.0%，止损全出
00021.sz,20260316,20260317,33.1,28.1,800,-4000.0,-15.105740181268882,低开-10.0%，止损全出
00020.sz,20260316,20260317,15.94,15.8,1600,-223.99999999999807,-0.8782936010037566,平开-1.3%，不翻红全出
00042.sz,20260317,20260318,9.5,8.68,3000,-2460.000000000001,-8.631578947368423,低开-9.7%，止损全出
00032.sz,20260318,20260319,18.09,17.89,1500,-299.9999999999989,-1.10558319513543,平开-1.3%，不翻红全出
00034.sz,20260318,20260319,37.8,35.31,600,-1493.9999999999968,-6.587301587301574,低开-7.5%，止损全出
00045.sz,20260318,20260319,13.38,12.17,1700,-2057.0000000000014,-9.04334828101645,低开-8.9%，止损全出
00021.sz,20260318,20260319,33.63,28.1,600,-3318.000000000001,-16.443651501635447,低开-10.0%，止损全出
00037.sz,20260318,20260319,10.54,9.33,1800,-2177.999999999998,-11.480075901328265,低开-9.7%，止损全出
00004.sz,20260319,20260320,5.54,3.18,4900,-11564.0,-42.599277978339344,低开-10.0%，止损全出
00049.sz,20260320,20260323,27.75,26.86,900,-801.0000000000005,-3.207207207207209,低开-7.6%，止损全出
00035.sz,20260324,20260325,7.46,6.62,3500,-2939.9999999999995,-11.260053619302948,低开-9.0%，止损全出
00049.sz,20260324,20260325,28.44,26.86,800,-1264.0000000000014,-5.555555555555562,低开-9.9%，止损全出
00006.sz,20260325,20260326,8.86,8.68,2900,-521.9999999999992,-2.0316027088036086,低开-3.6%，止损全出
00027.sz,20260325,20260326,7.61,6.63,3000,-2940.0000000000014,-12.877792378449412,低开-10.0%，止损全出
00045.sz,20260325,20260326,13.98,12.17,1300,-2353.0000000000005,-12.947067238912735,低开-10.0%，止损全出
00037.sz,20260326,20260327,11.99,9.33,1900,-5054.0,-22.18515429524604,低开-10.0%，止损全出
00045.sz,20260327,20260330,14.41,12.17,1600,-3584.0000000000005,-15.544760582928523,低开-10.0%，止损全出
00008.sz,20260330,20260331,2.97,2.74,7600,-1747.9999999999998,-7.744107744107744,低开-6.7%，止损全出
00048.sz,20260330,20260331,22.61,15.35,900,-6534.0,-32.10968597965502,低开-10.0%，止损全出
00030.sz,20260331,20260401,5.56,5.12,3900,-1715.999999999998,-7.913669064748192,低开-9.9%，止损全出
00037.sz,20260331,20260401,13.02,9.33,1500,-5534.999999999999,-28.341013824884794,低开-10.0%，止损全出
00001.sz,20260402,20260403,11.27,11.09,1800,-323.9999999999995,-1.597160603371781,平开-1.5%，不翻红全出
00028.sz,20260402,20260403,27.0,26.24,700,-532.0000000000011,-2.8148148148148207,低开-3.0%，止损全出
00019.sz,20260407,20260408,7.84,7.91,2600,182.00000000000074,0.8928571428571465,高开2.2%，开盘全卖
00021.sz,20260408,20260409,27.83,28.1,700,189.0000000000022,0.9701760689903095,平开1.4%，不翻红全出
00029.sz,20260408,20260409,20.15,20.37,900,198.00000000000216,1.0918114143920716,平开0.2%，不翻红全出
00001.sz,20260408,20260409,11.22,11.09,1500,-195.00000000000117,-1.158645276292342,平开-1.1%，不翻红全出
00019.sz,20260408,20260409,7.98,7.91,1900,-133.00000000000054,-0.877192982456144,平开0.4%，不翻红全出
