market,code,active1,price,last_close,open,high,low,servertime,reversed_bytes0,reversed_bytes1,vol,cur_vol,amount,s_vol,b_vol,reversed_bytes2,reversed_bytes3,bid1,ask1,bid_vol1,ask_vol1,bid2,ask2,bid_vol2,ask_vol2,bid3,ask3,bid_vol3,ask_vol3,bid4,ask4,bid_vol4,ask_vol4,bid5,ask5,bid_vol5,ask_vol5,reversed_bytes4,reversed_bytes5,reversed_bytes6,reversed_bytes7,reversed_bytes8,reversed_bytes9,active2,liutongguben,province,industry,updated_date,ipo_date,zongguben,guojiagu,faqirenfarengu,farengu,bgu,hgu,zhigonggu,zongzichan,liudongzichan,gudingzichan,wuxingzichan,gudongrenshu,liudongfuzhai,changqifuzhai,zibengongjijin,jingzichan,zhuyingshouru,zhuyinglirun,yingshouzhangkuan,yingyelirun,touzishouyu,jingyingxianjinliu,zongxianjinliu,cunhuo,lirunzonghe,shuihoulirun,jinglirun,weifenpeilirun,meigujingzichan,baoliu2,liutongguben_raw,liutongguben_factor,流通盘,circulating,turnover_low_ratio,turnover_low_ok,chip_90,chip_70,chip_90_delta,chip_70_delta,chip_90_slope,chip_70_slope,chip_90_bounce,chip_70_bounce,chip_90_up_days,chip_70_up_days,ma20_support_ok,ma20_oscillation_ok
0,002224,1901,4.66,4.7,4.71,4.72,4.65,14:59:58.326,14999535,-466,192461,3219,90066144.0,99500,92962,0,1884,4.66,4.67,3046,4851,4.65,4.68,2511,4232,4.64,4.69,1414,5638,4.63,4.7,1572,2404,4.62,4.71,1173,4086,"(6038,)",0,0,0,0,0.0,1901,806380390.625,28,19,20260205,20080425,902116328.125,12290000.0,509791406.25,5867110000.0,0.0,0.0,399.9999910593033,42016405000.0,20693481250.0,8704384375.0,2444276875.0,47550.0,6870286250.0,12860000.0,10232468125.0,32412750000.0,7143036875.0,5595485000.0,1186207031.25,406380000.0,-17080999.755859375,-632928984.375,1216142031.25,4286764062.5,394321015.625,281974003.90625,276511015.625,11786132500.0,3.5929999351501465,9.0,806380390.625,1,3757732620.3125,3757732620.3125,1.0,True,0.08067241488775481,0.054664184971182805,0.007232217770245533,0.008121371973436174,0.0012391498826451002,0.0006993914477540902,0.10081596865447502,0.19615346430690445,5.0,5.0,True,True
0,002282,1513,7.84,7.85,7.86,7.88,7.8,14:59:57.181,14999217,-784,45522,298,35704100.0,25270,20252,0,1360,7.83,7.84,49,1016,7.82,7.85,266,1326,7.81,7.86,223,730,7.8,7.87,262,524,7.79,7.88,74,596,"(214,)",0,0,0,0,0.13,1513,505007695.3125,11,26,20260203,20090821,526838398.4375,12300000.0,1647512343.75,12476738750.0,0.0,0.0,3000.0001192092896,40022587500.0,21088505000.0,5371953125.0,1146041015.625,23347.0,3230940000.0,0.0,20456576250.0,36196080000.0,12737847500.0,9267061250.0,5058650000.0,1828413125.0,22320000.0,686007968.75,-400941992.1875,4737015000.0,1814948125.0,1556373125.0,1556373125.0,9199325000.0,6.869999885559082,9.0,505007695.3125,1,3959260331.25,3959260331.25,1.0,True,0.07750317914331298,0.058321623237621155,-0.006387405130109963,-0.013327108308600823,-0.0010402953128065343,-0.002200454465795558,-0.0748574605635718,-0.18487643344158794,1.0,0.0,True,True
0,002303,2414,4.22,4.2,4.2,4.25,4.2,14:59:58.484,14999579,-422,202454,1473,85653368.0,90628,111826,0,2268,4.22,4.23,478,6000,4.21,4.24,1247,12945,4.2,4.25,1458,15460,4.19,4.26,1198,9047,4.18,4.27,847,9876,"(22,)",0,0,0,0,0.0,2414,966937031.25,18,38,20251028,20091103,1531323750.0,12220000.0,2187366875.0,29436322500.0,0.0,0.0,1700.0000178813934,73153010000.0,34808977500.0,14996706250.0,2755070000.0,55554.0,24054630000.0,603195000.0,12425375000.0,45232910000.0,30002295000.0,21840565000.0,11826231250.0,3119671250.0,3136000.061035156,2222238125.0,1268087031.25,3634523750.0,3137406875.0,2622908125.0,2601340937.5,7781490000.0,2.9539999961853027,9.0,966937031.25,1,4080474271.8749995,4080474271.8749995,1.0,True,0.08473422507787581,0.04437954997081806,-0.011942556410610525,-0.015233358070691996,-0.0006368480299593684,-0.0010792570542574053,-0.043011923252310354,-0.15661880666219302,4.0,0.0,True,True
0,002480,1386,6.33,6.31,6.31,6.4,6.3,14:59:57.725,14999368,-633,77225,359,49066968.0,38661,38564,1,196,6.32,6.33,364,1062,6.31,6.34,1294,1331,6.3,6.35,798,637,6.29,6.36,62,1163,6.28,6.37,143,718,"(22,)",0,0,0,0,0.16,1386,767717968.75,23,26,20260203,20100921,769168671.875,12340000.0,-2545553125.0,16767145000.0,0.0,0.0,-500.0000074505806,139922600000.0,56802510000.0,66524420000.0,6993988125.0,28736.0,57459905000.0,12536385000.0,17155687500.0,9643756250.0,10568670000.0,6643017500.0,20462856250.0,330587968.75,1294207968.75,2627726875.0,2963664062.5,3830723750.0,348343984.375,119241005.859375,-422916992.1875,-15622086250.0,1.253999948501587,9.0,767717968.75,1,4859654742.1875,4859654742.1875,1.0,True,0.10766400073742972,0.045951465295448815,-0.08176396790016573,-0.10741090368346425,-0.013628780631823635,-0.013259196394470325,-0.34761833180769103,-0.627573084001777,0.0,0.0,True,True
0,002486,2589,3.27,3.26,3.25,3.3,3.24,14:59:58.826,14999674,-327,222582,1654,72889184.0,111200,111382,-1,3130,3.27,3.28,766,1450,3.26,3.29,2366,4477,3.25,3.3,985,10428,3.24,3.31,1281,4043,3.23,3.32,589,2589,"(22,)",0,0,0,0,-0.29,2589,820466875.0,16,41,20251031,20101015,824283125.0,12180000.0,170223808.59375,8871846875.0,0.0,0.0,599.9999865889549,12985813750.0,7193855000.0,2766435937.5,126805000.0,49540.0,1592125000.0,44922001.953125,0.0,10837613750.0,9181500000.0,7048772500.0,1172716015.625,635566015.625,71183002.9296875,1361105937.5,646800976.5625,2394907968.75,621085976.5625,568387968.75,519958007.8125,3236610000.0,1.315000057220459,9.0,820466875.0,1,2682926681.25,2682926681.25,1.0,True,0.08967659610790413,0.058335088270304425,-0.0027373177464187354,0.0008380674405201044,-0.0003633046099159228,6.090292997781623e-05,-0.02309442041162875,0.021219058476666535,3.0,5.0,True,True
0,002535,1359,3.96,3.96,3.96,3.98,3.94,14:59:58.578,14999605,-396,95039,2317,37659308.0,48690,46349,1,2289,3.95,3.96,247,7344,3.94,3.97,2966,3024,3.93,3.98,1147,12758,3.92,3.99,778,6184,3.91,4.0,940,2851,"(2390,)",0,0,0,0,0.25,1359,746338515.625,13,26,20251031,20110111,801682968.75,12350000.0,1405084531.25,13233920000.0,0.0,0.0,900.0000357627869,41206735000.0,18210062500.0,14109072500.0,1417805937.5,56405.0,28915230000.0,87455000.0,17957743750.0,7085506875.0,11696197500.0,9223618750.0,7790178125.0,825783984.375,-52996997.0703125,1727451875.0,-617993007.8125,4069439062.5,806838984.375,716477031.25,712487968.75,-19831168750.0,0.8840000033378601,9.0,746338515.625,1,2955500521.875,2955500521.875,0.95,True,0.1002511992993413,0.05458325918360389,-0.0034027551090995006,0.0029438323202959915,-0.00045856561102305726,0.0003969702991703979,-0.03182001650937445,0.1233093549004867,4.0,5.0,True,True
0,002551,1558,3.91,3.9,3.91,3.94,3.88,14:59:58.596,14999610,-391,104501,1092,40933736.0,55018,49484,-1,1122,3.91,3.92,184,4032,3.9,3.93,4350,6918,3.89,3.94,790,7311,3.88,3.95,1142,5552,3.87,3.96,593,5754,"(5142,)",0,0,0,0,-0.25,1558,611186718.75,18,9,20251028,20110225,845494609.375,12350000.0,147275996.09375,10026390625.0,0.0,0.0,-399.9999910593033,35601850000.0,16179748750.0,2837000000.0,2719041875.0,65472.0,7176477500.0,1382574062.5,14275392500.0,25919530000.0,7535215000.0,6453690000.0,4563831875.0,-316112988.28125,102047998.046875,1187486015.625,-1174892968.75,2387360000.0,-300690000.0,-346606015.625,-351251992.1875,4102081875.0,3.065999984741211,9.0,611186718.75,1,2389740070.3125,2389740070.3125,0.95,True,0.11331191668609134,0.05866810510774064,-0.005881057554388586,-0.017576797592671382,-0.001010141476530356,-0.0023943363012123332,0.010852078945045541,-0.16151246121497334,4.0,0.0,True,True
0,002587,2684,7.1,7.02,7.05,7.18,7.0,14:59:57.448,14999291,-710,187106,2881,132904672.0,83691,103416,-1,10815,7.1,7.11,944,1362,7.09,7.12,567,3759,7.08,7.13,369,788,7.07,7.14,241,1017,7.06,7.15,262,1659,"(3222,)",0,0,0,0,0.0,2684,532697695.3125,18,35,20260114,20110610,651544101.5625,12390000.0,-198205195.3125,4648426562.5,0.0,0.0,199.99999552965164,19551742500.0,15466435000.0,1451082031.25,244393984.375,49739.0,6024851250.0,87389003.90625,3717112812.5,13296676250.0,5296369375.0,3427796250.0,5565167500.0,126322998.046875,71705000.0,-499173007.8125,482476992.1875,2905950000.0,82405000.0,135756005.859375,158395000.0,2446505000.0,2.0409998893737797,9.0,532697695.3125,1,3782153636.71875,3782153636.71875,0.9,True,0.08272602215663158,0.05685106759124903,-0.012865189153017695,-0.009814867071153338,-0.000765029186325659,-0.0008825559836850514,-0.06322938487341412,-0.004002861946435992,1.0,1.0,True,True
0,002661,1304,9.58,9.62,9.64,9.65,9.54,14:59:56.555,14999043,-958,27013,114,25891400.0,14099,12914,-1,1109,9.57,9.58,3,4,9.56,9.59,490,547,9.55,9.6,85,441,9.54,9.61,239,176,9.53,9.62,71,565,"(22,)",0,0,0,0,0.0,1304,314571796.875,21,14,20260203,20120316,333137695.3125,12140000.0,1549591406.25,34752335000.0,0.0,0.0,4000.000059604645,61364345000.0,14853887500.0,29671905000.0,2743022187.5,26144.0,21825920000.0,3502006875.0,9771671250.0,23278495000.0,31946965000.0,25085527500.0,485810000.0,1557965000.0,29626999.51171875,5138319062.5,2082282968.75,7626735000.0,1496469062.5,1184762031.25,1237107031.25,11610251250.0,6.98799991607666,9.0,314571796.875,1,3013597814.0625,3013597814.0625,1.0,True,0.07357928293553903,0.0535322669592553,-0.0033834382053286732,-0.009585866078777157,-0.0005727639441753229,-0.0016049085607635315,0.1523690156761326,0.18244491418489073,2.0,1.0,True,True
0,002746,1820,6.44,6.43,6.53,6.54,6.42,14:59:57.685,14999357,-644,114543,609,74013464.0,72131,42413,-1,39298,6.44,6.45,684,498,6.43,6.46,1397,1296,6.42,6.47,1129,1072,6.41,6.48,723,1672,6.4,6.49,1089,491,"(5270,)",0,0,0,0,0.0,1820,709676328.125,15,14,20251117,20150216,860538828.125,12130000.0,1119685468.75,38073797500.0,0.0,0.0,2199.999988079071,77685820000.0,52861100000.0,20775145000.0,1192763984.375,28149.0,28810695000.0,1643925937.5,15413015000.0,45555830000.0,41394700000.0,38751075000.0,1369012031.25,2259582031.25,163243994.140625,5854926250.0,-1716322031.25,8432318125.0,2217242968.75,2104315937.5,1931243906.25,18537297500.0,5.294000148773193,9.0,709676328.125,1,4570315553.125,4570315553.125,1.0,True,0.09122855730315452,0.058419121759754,-0.006917751022435553,-0.00456069416600989,-0.0011419259476900256,-0.0008519364211540051,-0.022568718699060512,-0.04778618411871405,0.0,2.0,True,True
