ts_code,strategy,cost_range_start,cost_range_end,cost_range_change,cost_range_change_rate,cost_range_slope,cost_range_trend,cost_range_percent,winner_rate_start,winner_rate_end,winner_rate_change,winner_rate_change_rate,winner_rate_slope,winner_rate_trend,weight_avg_start,weight_avg_end,weight_avg_change,weight_avg_change_rate,weight_avg_slope,weight_avg_trend,weight_avg_diff_percent,start_date,end_date,latest_price,stock_name
301520.SZ,平衡型,8.5,2.200000000000003,-6.299999999999997,-74.1176470588235,-0.40894736842105256,下降,4.78260869565218,41.16,70.31,29.150000000000006,70.82118561710399,0.27229824561403515,上升,44.69,44.71,0.020000000000003126,0.0447527411053997,0.0029122807017545296,上升,2.885260568105567,20260115,20260210,46.0,万邦医药
300418.SZ,平衡型,27.6,7.800000000000004,-19.799999999999997,-71.7391304347826,-1.1663157894736844,下降,12.745098039215694,34.35,81.73,47.38,137.9330422125182,3.0811754385964907,上升,60.55,57.42,-3.1299999999999955,-5.16928158546655,-0.16035087719298238,下降,6.5830721003134824,20260115,20260210,61.2,昆仑万维
603278.SH,平衡型,4.199999999999999,1.200000000000001,-2.9999999999999982,-71.4285714285714,-0.21210526315789463,下降,9.022556390977451,1.02,66.36,65.34,6405.882352941177,2.5216491228070175,上升,14.32,12.69,-1.6300000000000008,-11.382681564245816,-0.06389473684210527,下降,4.806934594168647,20260115,20260210,13.3,大业股份
600537.SH,平衡型,1.2000000000000002,0.3999999999999999,-0.8000000000000003,-66.66666666666667,-0.046315789473684206,下降,11.111111111111107,38.11,64.05,25.939999999999998,68.06612437680398,2.148561403508772,上升,3.37,3.45,0.08000000000000007,2.373887240356085,0.021350877192982454,上升,4.347826086956519,20260115,20260210,3.6,亿晶光电
300315.SZ,平衡型,1.8000000000000007,0.6000000000000005,-1.2000000000000002,-66.66666666666666,-0.07017543859649125,下降,9.375000000000009,32.47,96.02,63.55,195.71912534647367,2.773701754385965,上升,6.69,6.09,-0.6000000000000005,-8.96860986547086,-0.03131578947368422,下降,5.090311986863719,20260115,20260210,6.4,掌趣科技
300987.SZ,平衡型,7.599999999999998,2.6999999999999993,-4.899999999999999,-64.47368421052632,-0.20157894736842102,下降,11.587982832618023,44.8,86.25,41.45,92.52232142857144,2.8958596491228064,上升,24.14,21.86,-2.280000000000001,-9.444904722452366,-0.11749122807017542,下降,6.587374199451059,20260115,20260210,23.3,川网传媒
002712.SZ,平衡型,2.1999999999999993,0.7999999999999998,-1.3999999999999995,-63.63636363636363,-0.0715789473684211,下降,11.428571428571425,24.19,95.99,71.8,296.8168664737495,2.5220175438596484,上升,6.81,6.6,-0.20999999999999996,-3.083700440528634,-0.010561403508771931,下降,6.060606060606066,20260115,20260210,7.0,思美传媒
002757.SZ,平衡型,3.799999999999997,1.3999999999999986,-2.3999999999999986,-63.15789473684211,-0.28842105263157886,下降,6.1674008810572625,0.8,59.58,58.78,7347.499999999999,2.156754385964912,上升,25.96,22.12,-3.84,-14.791987673343604,-0.03321052631578948,下降,2.622061482820969,20260115,20260210,22.7,南兴股份
301001.SZ,平衡型,7.0,2.6000000000000014,-4.399999999999999,-62.85714285714283,-0.2889473684210527,下降,7.046070460704611,9.72,70.11,60.39,621.2962962962963,2.4457017543859654,上升,37.75,35.59,-2.1599999999999966,-5.721854304635753,-0.004736842105263087,下降,3.680809216071916,20260115,20260210,36.9,凯淳股份
301558.SZ,平衡型,1.6000000000000014,0.5999999999999996,-1.0000000000000018,-62.50000000000006,-0.06789473684210531,下降,6.2499999999999964,23.71,90.46,66.75,281.5267819485449,3.5818771929824558,上升,9.27,9.3,0.030000000000001137,0.323624595469268,0.003894736842105286,上升,3.2258064516128915,20260115,20260210,9.6,三态股份
002629.SZ,平衡型,2.4000000000000004,0.8999999999999995,-1.5000000000000009,-62.50000000000002,-0.10105263157894737,下降,13.23529411764705,6.33,56.93,50.6,799.3680884676145,1.918122807017544,上升,7.01,6.28,-0.7299999999999995,-10.413694721825957,-0.03257894736842105,下降,8.280254777070056,20260115,20260210,6.8,仁智股份
920640.BJ,平衡型,19.199999999999996,7.199999999999996,-12.0,-62.500000000000014,-0.767719298245614,下降,14.173228346456684,19.51,76.53,57.019999999999996,292.2603792926704,2.395561403508772,上升,48.64,46.16,-2.480000000000004,-5.098684210526324,-0.13133333333333355,下降,10.05199306759099,20260115,20260210,50.8,富士达
002878.SZ,平衡型,3.6999999999999993,1.3999999999999986,-2.3000000000000007,-62.16216216216219,-0.1385964912280702,下降,6.66666666666666,29.39,93.71,64.32,218.84994896223202,2.687052631578948,上升,20.57,20.28,-0.28999999999999915,-1.4098201263976624,-0.01024561403508777,下降,3.5502958579881603,20260115,20260210,21.0,元隆雅图
300831.SZ,平衡型,2.9000000000000004,1.0999999999999996,-1.8000000000000007,-62.068965517241395,-0.11754385964912276,下降,7.857142857142854,64.09,92.81,28.72,44.811983148697145,0.39436842105263153,上升,11.96,13.51,1.549999999999999,12.959866220735778,0.0477894736842105,上升,3.626943005181349,20260115,20260210,14.0,派瑞股份
300479.SZ,平衡型,5.199999999999999,2.1000000000000014,-3.099999999999998,-59.615384615384585,-0.16859649122807008,下降,9.502262443438921,75.12,92.35,17.22999999999999,22.936634717784862,2.4115087719298245,上升,21.47,21.25,-0.21999999999999886,-1.0246856078248667,-0.03466666666666669,下降,4.000000000000007,20260115,20260210,22.1,神思电子
