symbol,name,market,signal_date,entry_date,exit_date,hold_days,entry_price,exit_price,ret_pct,mae_pct,exit_reason
000002,万 科Ａ,0,2019-03-27,2019-03-28,2019-03-28,1,28.8,29.1456,1.038129,-1.006944,止盈
000006,深振业Ａ,0,2019-03-27,2019-03-28,2019-03-28,1,6.53,6.45164,-1.358033,-1.2,止损
000014,沙河股份,0,2019-03-27,2019-03-28,2019-03-28,1,11.5,11.638,1.038129,-0.782609,止盈
000009,中国宝安,0,2019-03-28,2019-03-29,2019-03-29,1,6.53,6.45164,-1.358033,-1.2,止损
000011,深物业A,0,2019-03-28,2019-03-29,2019-03-29,1,11.25,11.385,1.038129,-0.711111,止盈
000012,南 玻Ａ,0,2019-04-01,2019-04-02,2019-04-02,1,5.71,5.77852,1.038129,0.0,止盈
000012,南 玻Ａ,0,2019-04-03,2019-04-04,2019-04-04,1,5.82,5.75016,-1.358033,-1.2,止损
000009,中国宝安,0,2019-04-09,2019-04-10,2019-04-10,1,6.72,6.80064,1.038129,-0.892857,止盈
000012,南 玻Ａ,0,2019-04-09,2019-04-10,2019-04-10,1,5.71,5.64148,-1.358033,-1.2,止损
000011,深物业A,0,2019-04-16,2019-04-17,2019-04-18,2,12.01,11.98,-0.409344,-0.582848,止损开盘
000002,万 科Ａ,0,2019-04-19,2019-04-22,2019-04-22,1,30.97,30.59836,-1.358033,-1.2,止损
000007,全新好,0,2019-06-24,2019-06-25,2019-06-25,1,7.1,7.0148,-1.358033,-1.2,止损
000007,全新好,0,2019-07-01,2019-07-02,2019-07-02,1,6.99,6.90612,-1.358033,-1.2,止损
000010,美丽生态,0,2019-07-04,2019-07-05,2019-07-05,1,3.51,3.55212,1.038129,0.0,止盈
000001,平安银行,0,2019-07-09,2019-07-10,2019-07-11,2,13.61,13.5356,-0.705734,-0.881705,止损
000010,美丽生态,0,2019-07-22,2019-07-23,2019-07-23,1,3.56,3.60272,1.038129,0.0,止盈
000010,美丽生态,0,2019-07-24,2019-07-25,2019-07-25,1,3.6,3.5568,-1.358033,-1.2,止损
000002,万 科Ａ,0,2019-07-30,2019-07-31,2019-07-31,1,29.4,29.0472,-1.358033,-1.2,止损
000001,平安银行,0,2019-09-06,2019-09-09,2019-09-09,1,14.98,14.80024,-1.358033,-1.2,止损
000001,平安银行,0,2019-09-11,2019-09-12,2019-09-16,2,14.66,14.60264,-0.550595,-0.886767,止损
000011,深物业A,0,2019-09-12,2019-09-16,2019-09-16,1,10.55,10.4234,-1.358033,-1.2,止损
000006,深振业Ａ,0,2019-09-16,2019-09-17,2019-09-17,1,5.5,5.434,-1.358033,-1.2,止损
000014,沙河股份,0,2019-09-16,2019-09-17,2019-09-17,1,10.4,10.2752,-1.358033,-1.2,止损
000007,全新好,0,2019-10-08,2019-10-09,2019-10-09,1,8.45,8.5514,1.038129,-0.946746,止盈
000012,南 玻Ａ,0,2019-10-17,2019-10-18,2019-10-18,1,4.49,4.54388,1.038129,-1.113586,止盈
000012,南 玻Ａ,0,2019-10-21,2019-10-22,2019-10-22,1,4.43,4.48316,1.038129,0.0,止盈
000001,平安银行,0,2019-10-23,2019-10-24,2019-10-24,1,16.5,16.698,1.038129,-0.363636,止盈
000007,全新好,0,2019-10-24,2019-10-25,2019-10-25,1,8.9,8.7932,-1.358033,-1.2,止损
000012,南 玻Ａ,0,2019-10-24,2019-10-25,2019-10-28,2,4.49,4.47564,-0.479262,-0.445434,止损
000007,全新好,0,2019-10-28,2019-10-29,2019-10-29,1,9.08,8.97104,-1.358033,-1.2,止损
000001,平安银行,0,2019-10-29,2019-10-30,2019-10-30,1,16.8,16.5984,-1.358033,-1.2,止损
000010,美丽生态,0,2019-11-01,2019-11-04,2019-11-04,1,3.53,3.48764,-1.358033,-1.2,止损
000001,平安银行,0,2019-11-07,2019-11-08,2019-11-08,1,16.98,16.77624,-1.358033,-1.2,止损
000007,全新好,0,2019-11-12,2019-11-13,2019-11-13,1,9.15,9.2598,1.038129,0.0,止盈
000007,全新好,0,2019-11-28,2019-11-29,2019-11-29,1,9.92,10.03904,1.038129,-0.907258,止盈
