symbol,name,market,trade_date,close,pct_chg,ma5,ma10,ma20,signals,score,reason
002311,海大集团,0,20260303,54.05,-0.295,54.202,53.989,53.1085,强势回调买,3.5613,强势回调买
600008,首创环保,1,20260303,3.15,-0.943,3.156,3.105,3.091,强势回调买,3.5612,强势回调买
601618,中国中冶,1,20260303,3.12,-2.194,3.164,3.105,3.113,支撑确认买,3.5378,支撑确认买
601065,江盐集团,1,20260303,8.72,-1.691,8.828,8.707,8.6755,支撑确认买,3.5304,支撑确认买
002672,东江环保,0,20260303,4.87,-1.616,4.878,4.772,4.768,强势回调买,3.5229,强势回调买
000990,诚志股份,0,20260303,8.92,-0.224,8.916,8.769,8.715,强势回调买,3.5161,强势回调买
002150,正泰电源,0,20260303,27.19,0.741,27.192,27.911,26.5355,强势回调买,3.5045,强势回调买
605011,杭州热电,1,20260303,21.05,-0.284,21.0,20.731,20.6,强势回调买,3.4917,强势回调买
605098,行动教育,1,20260303,47.54,-0.544,47.18,47.887,46.8795,强势回调买,3.4893,强势回调买
002060,广东建工,0,20260303,3.88,-1.272,3.896,3.835,3.806,强势回调买,3.4879,强势回调买
600796,钱江生化,1,20260303,6.85,-0.725,6.944,6.874,6.813,支撑确认买,3.4853,支撑确认买
002826,易明医药,0,20260303,20.9,-0.618,20.9,20.678,20.3665,强势回调买,3.4761,强势回调买
601798,蓝科高新,1,20260303,9.87,-1.399,9.9,9.76,9.6605,强势回调买,3.4754,强势回调买
300388,节能国祯,0,20260303,8.6,-0.922,8.62,8.499,8.404,强势回调买,3.4639,强势回调买
000539,粤电力Ａ,0,20260303,5.02,-1.181,5.012,4.93,4.893,强势回调买,3.433,强势回调买
002096,易普力,0,20260303,14.14,-3.084,14.338,14.239,14.032,支撑确认买,3.4318,支撑确认买
600983,惠而浦,1,20260303,12.03,0.923,12.084,12.215,11.7725,强势回调买,3.4285,强势回调买
002307,北新路桥,0,20260303,5.11,-1.919,5.184,5.111,5.0725,支撑确认买,3.4239,支撑确认买
000703,恒逸石化,0,20260303,12.69,-3.936,12.776,12.917,12.4535,强势回调买,3.4182,强势回调买
002758,浙农股份,0,20260303,10.68,-1.567,10.766,10.579,10.4985,强势回调买,3.4146,强势回调买
000761,本钢板材,0,20260303,3.7,-2.375,3.764,3.728,3.686,支撑确认买,3.4139,支撑确认买
300569,天能重工,0,20260303,6.33,-0.628,6.412,6.308,6.266,支撑确认买,3.4121,支撑确认买
000722,湖南发展,0,20260303,13.14,-1.94,13.258,12.972,12.9325,强势回调买,3.4121,强势回调买
601222,林洋能源,1,20260303,6.1,-1.613,6.186,6.201,6.0475,支撑确认买,3.4093,支撑确认买
601016,节能风电,1,20260303,3.22,-1.829,3.246,3.193,3.1625,强势回调买,3.3961,强势回调买
600420,国药现代,1,20260303,10.83,0.932,10.718,10.724,10.6745,强势回调买,3.3952,强势回调买
002749,国光股份,0,20260303,13.99,-2.644,14.094,13.849,13.725,强势回调买,3.3925,强势回调买
600219,南山铝业,1,20260303,7.2,-2.834,7.154,7.002,7.0535,强势回调买,3.3917,强势回调买
000789,万年青,0,20260303,5.67,-1.733,5.754,5.682,5.6205,支撑确认买,3.3859,支撑确认买
300109,新开源,0,20260303,19.69,-1.501,19.84,19.508,19.3155,强势回调买,3.3854,强势回调买
603113,金能科技,1,20260303,7.23,-2.165,7.29,7.166,7.0955,强势回调买,3.374,强势回调买
001258,立新能源,0,20260303,7.85,-1.752,7.928,7.791,7.7175,强势回调买,3.3615,强势回调买
300185,通裕重工,0,20260303,3.07,-2.229,3.122,3.072,3.048,支撑确认买,3.356,支撑确认买
601330,绿色动力,1,20260303,7.36,0.136,7.316,7.199,7.193,强势回调买,3.3552,强势回调买
600282,南钢股份,1,20260303,5.83,-2.508,5.846,5.697,5.67,强势回调买,3.3535,强势回调买
601199,江南水务,1,20260303,6.07,-1.301,6.13,6.025,5.9645,强势回调买,3.3526,强势回调买
002391,长青股份,0,20260303,6.46,-1.973,6.6,6.508,6.454,支撑确认买,3.345,支撑确认买
002445,中南文化,0,20260303,2.78,0.0,2.834,2.776,2.767,支撑确认买,3.3344,支撑确认买
000966,长源电力,0,20260303,4.69,-1.471,4.714,4.626,4.568,强势回调买,3.3131,强势回调买
002302,西部建设,0,20260303,6.44,1.099,6.428,6.443,6.2425,强势回调买,3.3112,强势回调买
002051,中工国际,0,20260303,8.88,0.339,8.806,8.66,8.688,强势回调买,3.3059,强势回调买
300813,泰林生物,0,20260303,26.11,-4.043,26.314,25.998,25.5195,强势回调买,3.3046,强势回调买
600873,梅花生物,1,20260303,11.32,-1.135,11.396,11.238,11.044,强势回调买,3.3001,强势回调买
002430,杭氧股份,0,20260303,32.61,-2.336,32.642,32.067,31.55,强势回调买,3.2986,强势回调买
000630,铜陵有色,0,20260303,7.76,-7.838,7.886,7.55,7.6675,支撑确认买,3.2794,支撑确认买
603568,伟明环保,1,20260303,27.61,-4.695,28.194,27.826,27.4695,支撑确认买,3.2763,支撑确认买
002095,生 意 宝,0,20260303,18.8,-2.236,19.182,18.845,18.6815,支撑确认买,3.2757,支撑确认买
002078,太阳纸业,0,20260303,16.95,-1.682,17.218,17.065,16.734,支撑确认买,3.2749,支撑确认买
002110,三钢闽光,0,20260303,4.58,-2.345,4.582,4.447,4.4225,强势回调买,3.2746,强势回调买
300873,海晨股份,0,20260303,25.47,-4.392,25.61,25.203,24.769,强势回调买,3.27,强势回调买
000878,云南铜业,0,20260303,24.65,-7.643,25.106,23.988,24.4195,支撑确认买,3.2663,支撑确认买
301439,泓淋电力,0,20260303,16.62,-2.005,17.026,16.787,16.6045,支撑确认买,3.266,支撑确认买
000898,鞍钢股份,0,20260303,2.64,-2.583,2.67,2.598,2.5875,强势回调买,3.2571,强势回调买
603031,安孚科技,1,20260303,55.73,-3.731,56.95,57.072,55.4505,支撑确认买,3.2565,支撑确认买
002648,卫星化学,0,20260303,23.8,-3.644,23.696,23.203,23.0845,强势回调买,3.2484,强势回调买
600935,华塑股份,1,20260303,2.82,-2.759,2.882,2.843,2.805,支撑确认买,3.2477,支撑确认买
300138,晨光生物,0,20260303,13.8,-4.3,14.128,13.912,13.757,支撑确认买,3.241,支撑确认买
002162,悦心健康,0,20260303,5.53,1.097,5.528,5.539,5.33,强势回调买,3.2387,强势回调买
603303,得邦照明,1,20260303,14.97,-1.513,15.306,15.26,14.892,支撑确认买,3.2367,支撑确认买
002556,辉隆股份,0,20260303,6.61,-1.783,6.678,6.553,6.462,强势回调买,3.2365,强势回调买
601678,滨化股份,1,20260303,5.5,-4.181,5.606,5.517,5.443,支撑确认买,3.2233,支撑确认买
603995,甬金股份,1,20260303,19.51,-2.935,19.856,19.491,19.265,支撑确认买,3.2229,支撑确认买
000692,惠天热电,0,20260303,3.99,0.504,4.006,3.964,3.8625,强势回调买,3.22,强势回调买
300345,华民股份,0,20260303,7.55,0.533,7.722,7.738,7.5075,支撑确认买,3.2186,支撑确认买
600500,中化国际,1,20260303,4.56,-4.603,4.668,4.599,4.5395,支撑确认买,3.2156,支撑确认买
688009,中国通号,1,20260303,5.81,-1.858,5.788,5.68,5.6215,强势回调买,3.2153,强势回调买
600017,日照港,1,20260303,3.23,-0.309,3.202,3.151,3.1465,强势回调买,3.2069,强势回调买
002144,宏达高科,0,20260303,16.36,0.0,16.36,15.901,15.282,强势回调买,3.2,强势回调买
600982,宁波能源,1,20260303,4.89,-2.2,4.916,4.802,4.7375,强势回调买,3.1975,强势回调买
603306,华懋科技,1,20260303,87.81,-0.622,87.82,83.012,80.0735,强势回调买,3.1966,强势回调买
002730,电光科技,0,20260303,17.36,-1.531,17.358,16.872,16.33,强势回调买,3.1965,强势回调买
000537,绿发电力,0,20260303,8.95,-1.54,8.92,8.787,8.644,强势回调买,3.1911,强势回调买
002145,钛能化学,0,20260303,5.48,-1.439,5.478,5.297,5.238,强势回调买,3.189,强势回调买
600764,中国海防,1,20260303,28.54,-3.97,29.138,28.901,28.259,支撑确认买,3.1854,支撑确认买
002724,海洋王,0,20260303,7.58,-3.929,7.768,7.649,7.5465,支撑确认买,3.1852,支撑确认买
000070,特发信息,0,20260303,18.46,-6.104,18.45,18.135,15.4315,强势回调买,3.1837,强势回调买
601020,华钰矿业,1,20260303,37.63,-7.543,37.608,35.092,34.4105,强势回调买,3.1825,强势回调买
688593,新相微,1,20260303,36.15,-1.499,36.172,33.211,29.2265,强势回调买,3.1818,强势回调买
603177,德创环保,1,20260303,12.36,0.57,12.318,12.11,11.9325,强势回调买,3.1812,强势回调买
603505,金石资源,1,20260303,21.66,-4.958,21.646,20.503,20.1315,强势回调买,3.1806,强势回调买
002272,川润股份,0,20260303,19.15,-6.081,19.136,18.114,16.606,强势回调买,3.1781,强势回调买
000751,锌业股份,0,20260303,6.95,-9.505,6.956,6.328,6.326,强势回调买,3.1741,强势回调买
603269,海鸥股份,1,20260303,13.78,-4.768,13.792,13.099,12.765,强势回调买,3.1739,强势回调买
300437,清水源,0,20260303,19.18,4.239,19.198,17.165,16.205,强势回调买,3.1719,强势回调买
600585,海螺水泥,1,20260303,25.24,-3.184,25.772,25.378,24.979,支撑确认买,3.1717,支撑确认买
002348,高乐股份,0,20260303,7.88,-3.194,7.872,7.203,6.677,强势回调买,3.1695,强势回调买
301588,美新科技,0,20260303,25.15,0.04,25.272,25.54,24.316,强势回调买,3.1692,强势回调买
600526,菲达环保,1,20260303,5.8,-2.685,5.938,5.821,5.761,支撑确认买,3.1674,支撑确认买
000690,宝新能源,0,20260303,4.62,-1.493,4.604,4.514,4.4575,强势回调买,3.1666,强势回调买
002859,洁美科技,0,20260303,42.62,0.0,42.67,42.061,39.8435,强势回调买,3.1648,强势回调买
000862,银星能源,0,20260303,6.67,-1.767,6.678,6.484,6.402,强势回调买,3.1641,强势回调买
600396,华电辽能,1,20260303,3.28,-0.304,3.284,3.216,3.1485,强势回调买,3.1635,强势回调买
603507,振江股份,1,20260303,31.09,-2.478,31.882,31.718,30.947,支撑确认买,3.1623,支撑确认买
688669,聚石化学,1,20260303,28.47,-1.317,28.434,27.293,26.561,强势回调买,3.162,强势回调买
600866,星湖科技,1,20260303,7.7,-1.155,7.69,7.464,7.3895,强势回调买,3.161,强势回调买
002871,伟隆股份,0,20260303,21.41,-3.948,21.38,20.715,20.415,强势回调买,3.1579,强势回调买
600117,西宁特钢,1,20260303,2.9,-3.654,2.98,2.909,2.8945,支撑确认买,3.1566,支撑确认买
300903,科翔股份,0,20260303,29.82,-4.971,29.776,28.428,28.3565,强势回调买,3.1557,强势回调买
600172,黄河旋风,1,20260303,9.36,-2.5,9.374,8.817,8.1305,强势回调买,3.1552,强势回调买
000786,北新建材,0,20260303,29.0,-1.628,28.68,28.318,28.2785,强势回调买,3.155,强势回调买
001280,中国铀业,0,20260303,93.05,-7.551,95.252,93.239,92.348,支撑确认买,3.1544,支撑确认买
600731,湖南海利,1,20260303,7.57,-2.824,7.78,7.673,7.556,支撑确认买,3.1532,支撑确认买
000713,国投丰乐,0,20260303,7.11,0.566,7.024,6.907,6.9435,强势回调买,3.1531,强势回调买
002925,盈趣科技,0,20260303,22.84,-1.509,22.878,22.216,21.2815,强势回调买,3.1502,强势回调买
002971,和远气体,0,20260303,33.9,0.444,33.842,32.832,31.9915,强势回调买,3.1486,强势回调买
601117,中国化学,1,20260303,9.15,-2.866,9.134,8.805,8.718,强势回调买,3.1474,强势回调买
600207,安彩高科,1,20260303,5.51,-0.362,5.52,5.468,5.168,强势回调买,3.1457,强势回调买
300001,特锐德,0,20260303,29.74,-2.3,29.686,28.601,27.993,强势回调买,3.1454,强势回调买
600782,新钢股份,1,20260303,4.2,-3.002,4.208,4.081,4.007,强势回调买,3.143,强势回调买
600483,福能股份,1,20260303,10.11,-1.173,10.09,9.653,9.42,强势回调买,3.1405,强势回调买
001234,泰慕士,0,20260303,28.88,-0.551,29.094,28.657,27.9835,强势回调买,3.1386,强势回调买
000037,深南电A,0,20260303,9.58,-2.444,9.822,9.718,9.5215,支撑确认买,3.138,支撑确认买
603606,东方电缆,1,20260303,59.49,0.473,59.194,58.068,57.4415,强势回调买,3.1367,强势回调买
603379,三美股份,1,20260303,73.52,-4.171,73.362,71.185,69.8285,强势回调买,3.1354,强势回调买
002408,齐翔腾达,0,20260303,6.09,-0.976,6.066,5.98,5.87,强势回调买,3.1317,强势回调买
301122,采纳股份,0,20260303,33.18,-4.298,33.258,32.52,30.904,强势回调买,3.1296,强势回调买
000816,智慧农业,0,20260303,3.89,-3.713,3.996,3.8,3.8755,支撑确认买,3.1294,支撑确认买
300137,先河环保,0,20260303,10.88,-1.181,10.854,10.576,10.3725,强势回调买,3.1281,强势回调买
003031,中瓷电子,0,20260303,77.9,-2.625,79.768,76.982,77.245,支撑确认买,3.1279,支撑确认买
600371,万向德农,1,20260303,9.58,0.209,9.456,9.275,9.356,强势回调买,3.1278,强势回调买
300464,星徽股份,0,20260303,6.93,-3.616,7.12,7.018,6.905,支撑确认买,3.127,支撑确认买
300499,高澜股份,0,20260303,36.9,-5.627,36.992,33.648,31.105,强势回调买,3.1254,强势回调买
601003,柳钢股份,1,20260303,5.6,-1.235,5.586,5.351,5.252,强势回调买,3.1248,强势回调买
301312,智立方,0,20260303,86.4,-2.34,86.176,82.139,77.2275,强势回调买,3.122,强势回调买
000628,高新发展,0,20260303,54.37,-4.748,54.512,53.848,52.005,强势回调买,3.1219,强势回调买
601018,宁波港,1,20260303,4.22,-1.171,4.204,4.159,4.064,强势回调买,3.1181,强势回调买
688268,华特气体,1,20260303,69.49,0.871,69.684,67.409,65.7885,强势回调买,3.1165,强势回调买
000600,建投能源,0,20260303,9.25,-2.632,9.224,8.887,8.7195,强势回调买,3.1154,强势回调买
600259,中稀有色,1,20260303,101.06,-10.001,100.774,92.844,86.7135,强势回调买,3.1149,强势回调买
688170,德龙激光,1,20260303,52.4,-7.174,52.552,47.225,43.428,强势回调买,3.1132,强势回调买
000582,北部湾港,0,20260303,10.99,-3.086,11.022,10.629,10.199,强势回调买,3.1129,强势回调买
600410,华胜天成,1,20260303,27.85,-7.105,27.766,25.348,23.3905,强势回调买,3.1092,强势回调买
600505,西昌电力,1,20260303,14.95,-1.709,14.996,14.516,14.201,强势回调买,3.108,强势回调买
603301,振德医疗,1,20260303,89.07,-1.066,88.796,88.696,79.5155,强势回调买,3.1074,强势回调买
688702,盛科通信,1,20260303,192.8,-6.671,192.146,177.968,162.559,强势回调买,3.0979,强势回调买
600683,京投发展,1,20260303,7.0,2.041,7.024,6.976,6.21,强势回调买,3.0975,强势回调买
600163,中闽能源,1,20260303,6.23,-3.411,6.278,6.164,6.0265,强势回调买,3.0953,强势回调买
300736,百邦科技,0,20260303,20.99,-1.64,21.064,20.994,19.59,强势回调买,3.0946,强势回调买
600310,广西能源,1,20260303,4.12,-0.962,4.104,4.016,3.9635,强势回调买,3.0933,强势回调买
002493,荣盛石化,0,20260303,15.44,-3.62,15.496,15.24,14.7155,强势回调买,3.0916,强势回调买
603115,海星股份,1,20260303,29.08,-5.92,28.974,27.498,25.5695,强势回调买,3.0902,强势回调买
603855,华荣股份,1,20260303,20.07,-3.277,20.614,20.511,19.952,支撑确认买,3.09,支撑确认买
300938,信测标准,0,20260303,37.3,-1.349,37.48,36.282,35.924,强势回调买,3.0899,强势回调买
300606,金太阳,0,20260303,36.02,3.535,35.888,35.236,33.6075,强势回调买,3.0897,强势回调买
603299,苏盐井神,1,20260303,11.85,-1.904,11.79,11.606,11.4175,强势回调买,3.0897,强势回调买
301511,德福科技,0,20260303,37.45,-1.603,37.59,34.233,31.759,强势回调买,3.0883,强势回调买
600435,北方导航,1,20260303,17.72,-6.094,17.654,17.263,17.0,强势回调买,3.0878,强势回调买
002182,宝武镁业,0,20260303,21.1,-7.659,21.02,19.778,19.194,强势回调买,3.0858,强势回调买
000731,四川美丰,0,20260303,7.74,-10.0,7.71,7.321,7.109,强势回调买,3.0833,强势回调买
002229,鸿博股份,0,20260303,16.42,-4.368,16.84,16.72,16.2825,支撑确认买,3.0829,支撑确认买
603588,高能环境,1,20260303,12.44,-5.686,12.49,11.562,10.882,强势回调买,3.0799,强势回调买
001282,三联锻造,0,20260303,23.0,-5.853,22.908,22.061,21.4865,强势回调买,3.0795,强势回调买
002608,江苏国信,0,20260303,8.18,-1.918,8.146,7.965,7.828,强势回调买,3.0748,强势回调买
300470,中密控股,0,20260303,38.31,-4.488,39.432,38.896,38.172,支撑确认买,3.0741,支撑确认买
603989,艾华集团,1,20260303,19.06,-0.366,19.274,18.888,18.511,强势回调买,3.0737,强势回调买
603693,江苏新能,1,20260303,13.22,-1.49,13.164,12.806,12.6755,强势回调买,3.0724,强势回调买
600961,株冶集团,1,20260303,23.41,-9.996,23.51,22.056,21.9375,强势回调买,3.0724,强势回调买
603345,安井食品,1,20260303,94.36,-2.621,93.956,91.362,90.495,强势回调买,3.071,强势回调买
600725,云维股份,1,20260303,5.09,-4.682,5.112,4.938,4.823,强势回调买,3.0709,强势回调买
000601,韶能股份,0,20260303,5.55,-0.716,5.526,5.364,5.253,强势回调买,3.0697,强势回调买
000899,赣能股份,0,20260303,13.73,-6.344,13.67,12.204,11.417,强势回调买,3.0683,强势回调买
002487,大金重工,0,20260303,69.29,0.246,68.986,65.954,64.2925,强势回调买,3.0678,强势回调买
