symbol,name,industry,sum_pct,drop_pct,desc_ratio,low_pos_ratio,last_pct_chg,last_close,min_low,near_bottom,vol_ratio,avg_amount_yi,consec_days,window_days,trade_date,reason,ts_code
920592,华信永道,软件服务,-4.69,-11.99,0.68,1.0,-1.54,33.97,33.87,0,0.99,0.5,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-11.99% 触底=0,920592.BJ
300765,新诺威,食品,0.54,-11.97,0.63,0.68,-3.23,30.52,28.96,0,0.87,2.98,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-11.97% 触底=0,300765.SZ
688213,思特威-W,半导体,-5.17,-11.92,0.68,0.84,-1.73,85.04,82.8,0,0.73,5.45,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-11.92% 触底=0,688213.SH
920786,骑士乳业,乳制品,-3.74,-11.86,0.68,1.0,-2.46,9.51,9.49,0,0.72,0.52,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-11.86% 触底=0,920786.BJ
920690,捷众科技,汽车配件,-5.29,-11.82,0.58,0.84,-2.29,28.57,28.33,0,0.82,0.18,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-11.82% 触底=0,920690.BJ
603516,淳中科技,IT设备,-3.09,-11.75,0.63,0.84,-2.81,150.64,141.0,0,0.69,6.87,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-11.75% 触底=0,603516.SH
688358,祥生医疗,医疗保健,0.63,-11.69,0.68,0.68,-2.03,31.44,30.7,0,0.72,0.37,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-11.69% 触底=0,688358.SH
605566,福莱蒽特,染料涂料,-4.09,-11.68,0.63,0.84,-1.47,26.85,26.58,0,0.51,0.48,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-11.68% 触底=0,605566.SH
688012,中微公司,半导体,-7.56,-11.64,0.74,1.0,-1.55,315.33,313.33,0,0.77,28.63,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-11.64% 触底=0,688012.SH
300810,中科海讯,船舶,-5.55,-11.63,0.63,1.0,-3.26,37.09,36.7,0,0.75,1.27,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-11.63% 触底=0,300810.SZ
