ts_code,name,industry,close,pct_chg,limit_times,open_times,fd_amount,first_time,last_time,theme,status,lu_desc,turnover_rate,volume_ratio,circ_mv,mf_net_amount,mf_buy_elg_amount,mf_buy_lg_amount,score,asof_trade_date,prev_open_trade_date,run_at,trade_date,turnover_rate_db,volume_ratio_db,total_mv,circ_mv_db,free_share,float_share,trade_date_mf,mf_net_amount_mf,mf_net_amount_rate,mf_buy_elg_amount_mf,mf_buy_elg_amount_rate,mf_buy_lg_amount_mf,mf_buy_lg_amount_rate,today_trade_date,today_up_limit,today_down_limit,prev_limit_trade_date,prev_limit_times,prev_open_times,prev_fd_amount,prev_first_time,prev_last_time,prev_limit_flag,prev_margin_trade_date,rzye,rzmre,rzche,rqye,rqyl,rqmcl,rzrqye,prev_lhb_trade_date,lhb_turnover_rate,lhb_amount,lhb_net_amount,lhb_net_rate,lhb_amount_rate,lhb_reason,rt_servertime,rt_price,rt_last_close,rt_gap_pct,rt_high,rt_low,rt_pos_in_range,rt_speed_pct,rt_spread_bp,rt_imbalance,rt_bid1,rt_ask1,rt_bid_value,rt_ask_value,rt_bid_vol_5,rt_ask_vol_5,rt_vol_hand,rt_amount_yuan,rt_vwap,rt_above_vwap_pct,rt_b_vol_hand,rt_s_vol_hand,rt_b_ratio,mbar_last_dt,mret_n,mret_5,mret_15,mvol_ratio_5,mtrend_score,mbar_n,moneyflow_source,tail_score,pass_spread,pass_imbalance,pass_vwap,pass_momentum,near_down_limit,decision
002378.SZ,章源钨业,小金属,40.6,10.0,3,0,258991987.0,93636,93636,金属钨、有色金属,7天5板,有色金属,3.3429,0.4,4852192.7581,6659.31,8951.31,-2292.0,61.61363636363636,20260302,20260227,2026-03-02 14:47:56,20260227,3.3429,0.4,4877755.724,4852192.7581,51358.7166,119512.1369,20260227,6659.31,4.19,8951.31,5.63,-2292.0,-1.44,20260302,44.66,36.54,20260227,3.0,0,258991987.0,93636,93636,U,20260227,1038754787.0,191495766.0,204296656.0,18745020.0,461700.0,800.0,1057499807.0,20260227,3.34,5245319412.0,50660299.63,0.97,33.88,连续三个交易日内，涨幅偏离值累计达到20%的证券,14:47:00.858,43.58,40.6,7.3399014778325045,44.66,42.0,0.5939849624060152,-0.0038,6.883891693437618,0.31614684876627686,43.55,43.58,6919.25,21886.19,159.0,502.0,1400038.0,6102057984.0,43.58494543719527,-0.011347951342989557,706481.0,693558.0,0.5046155890054412,2026-03-02 14:09,0.9869176038558634,0.02273243919072064,0.4566210045662165,1.1620605231814372,-0.2,40,moneyflow_dc,87.39,True,False,True,True,False,WATCH
002182.SZ,宝武镁业,小金属,21.79,9.99,1,0,112861305.0,94224,94224,有色金属、金属镁,首板,有色金属,3.6287,1.05,1885951.6525,15428.44,13569.95,1858.49,50.79545454545454,20260302,20260227,2026-03-02 14:47:56,20260227,3.6287,1.05,2161113.794,1885951.6525,60242.4066,86551.2461,20260227,15428.44,23.02,13569.95,20.24,1858.49,2.77,20260302,23.97,19.61,20260227,1.0,0,112861305.0,94224,94224,U,20260227,833153507.0,49255851.0,97815106.0,6317356.0,289920.0,8000.0,839470863.0,,,,,,,,14:47:13.158,23.08,21.79,5.920146856356123,23.14,21.3,0.9673913043478248,0.0087,4.332755632581461,0.3723607642764805,23.07,23.08,9707.109999999999,26069.100000000002,421.0,1128.0,975321.0,2168154112.0,22.230159219374954,3.682152429051318,515704.0,459618.0,0.5287530976980912,2026-03-02 14:09,-2.769363911726528,-0.13333333333333838,-0.3547671840354849,0.608180505303042,-0.02702702702702703,40,moneyflow_dc,86.54,True,False,True,False,False,WATCH
002655.SZ,共达电声,消费电子,17.12,10.03,1,0,138660016.0,110851,110851,AI眼镜、端侧AI,首板,端侧AI,14.2473,1.12,619389.8728,23325.34,19207.71,4117.63,63.25,20260302,20260227,2026-03-02 14:47:56,20260227,14.2473,1.12,619559.2324,619389.8728,31494.5135,36179.315,20260227,23325.34,27.6,19207.71,22.73,4117.63,4.87,20260302,18.83,15.41,20260227,1.0,0,138660016.0,110851,110851,U,,,,,,,,,,,,,,,,14:47:16.356,17.75,17.12,3.679906542056069,18.45,16.75,0.5882352941176473,0.0028000000000000004,11.267605633802576,0.28013208567401576,17.73,17.75,8480.8,30274.29,479.0,1705.0,763434.0,1362792192.0,17.850818695525742,-0.5679926508492518,412256.0,351179.0,0.5400021481883175,2026-03-02 14:09,-0.16939582156974103,-0.39436619718310023,-0.11299435028248347,1.2570239334027056,-0.25,40,moneyflow_dc,85.94,True,False,False,False,False,WATCH
000628.SZ,高新发展,房屋建设,57.31,10.0,1,0,137386684.0,110009,110009,芯片、地产链,首板,芯片,11.9477,1.18,1101719.3306,20776.45,21185.25,-408.8,62.59090909090909,20260302,20260227,2026-03-02 14:47:56,20260227,11.9477,1.18,2018916.68,1101719.3306,16531.6285,19223.8585,20260227,20776.45,16.33,21185.25,16.66,-408.8,-0.32,20260302,63.04,51.58,20260227,1.0,0,137386684.0,110009,110009,U,20260227,867208096.0,112670099.0,103191734.0,1885499.0,32900.0,3200.0,869093595.0,,,,,,,,14:46:52.842,56.94,57.31,-0.6456115861106343,59.0,56.16,0.27464788732394374,0.0002,3.5124692658944725,0.5811454780707412,56.94,56.96,19636.649999999998,33789.560000000005,345.0,593.0,202809.0,1164329216.0,57.41013544763793,-0.8256681553177544,99266.0,103543.0,0.48945559615204454,2026-03-02 14:09,0.2633889376646156,-0.07000350017500725,0.07010164738871213,0.4447058823529412,-0.28205128205128205,40,moneyflow_dc,84.99,True,False,False,True,False,WATCH
002046.SZ,国机精工,通用设备,52.57,10.0,1,0,76413964.0,135939,135939,商业航天、芯片,首板,金刚石概念,6.9442,2.14,2779832.2707,27422.77,33468.55,-6045.78,50.11363636363636,20260302,20260227,2026-03-02 14:47:56,20260227,6.9442,2.14,2819154.7516,2779832.2707,26633.4154,52878.6812,20260227,27422.77,14.72,33468.55,17.96,-6045.78,-3.24,20260302,57.83,47.31,20260227,1.0,0,76413964.0,135939,135939,U,20260227,1363331784.0,220755273.0,152361642.0,4021605.0,76500.0,1900.0,1367353389.0,,,,,,,,14:46:54.588,54.03,52.57,2.7772493817766803,55.52,52.6,0.4897260273972599,0.0011,1.8508236165089782,0.07204800428275542,54.04,54.05,8317.2,115439.70000000001,154.0,2135.0,410946.0,2241184512.0,54.53720226015097,-0.9387419214343303,231899.0,179048.0,0.5643052858526424,2026-03-02 14:09,-0.6841715976331314,-0.6658035879415561,0.13049962714392296,1.3218264337780221,-0.02564102564102564,40,moneyflow_dc,83.07,True,False,False,False,False,WATCH
000657.SZ,中钨高新,小金属,66.22,10.0,1,0,87968700.0,133048,133048,金属钨、PCB设备,3天2板,有色金属,6.5665,0.97,9621271.6147,24203.94,39345.97,-15142.03,47.65909090909091,20260302,20260227,2026-03-02 14:47:56,20260227,6.5665,0.97,15088918.3368,9621271.6147,89428.7345,145292.5342,20260227,24203.94,3.92,39345.97,6.37,-15142.03,-2.45,20260302,72.84,59.6,20260227,1.0,0,87968700.0,133048,133048,U,20260227,3025875216.0,876035576.0,642710507.0,25286240.0,381852.0,2600.0,3051161456.0,20260227,6.57,6175451950.0,103303119.84,1.67,38.77,日涨幅偏离值达到7%的前5只证券,14:46:45.498,69.18,66.22,4.4699486559951795,71.0,67.22,0.5185185185185205,-0.0032,4.336513443189784,0.1255919888143622,69.18,69.21,4357.350000000001,34694.49,63.0,501.0,1238132.0,8582263808.0,69.31622644435326,-0.1969159357520313,612823.0,625310.0,0.494957726639809,2026-03-02 14:09,0.6641640196361445,0.10050251256280428,0.0,0.6492323174629078,-0.08108108108108109,40,moneyflow_dc,81.42,True,False,False,True,False,WATCH
605398.SH,新炬网络,IT服务Ⅱ,33.41,10.01,1,0,101111355.0,93407,93407,AI应用、阿里系AI,首板,AI应用,3.0902,1.04,543635.4222,6723.56,7711.89,-988.33,42.11363636363635,20260302,20260227,2026-03-02 14:47:56,20260227,3.0902,1.04,543635.4222,543635.4222,5038.2605,16271.6379,20260227,6723.56,40.94,7711.89,46.96,-988.33,-6.02,20260302,36.75,30.07,20260227,1.0,0,101111355.0,93407,93407,U,,,,,,,,,,,,,,,,14:47:07.308,32.83,33.41,-1.7360071834779958,33.56,32.07,0.5100671140939577,0.0015,3.045994517209263,2.5952704165388845,32.82,32.83,11509.09,4434.64,351.0,135.0,101686.0,333043584.0,32.752157032433175,0.2371092524118901,46565.0,55121.0,0.4579293118030014,2026-03-02 14:09,0.2743066138372335,0.24375380865325502,0.24375380865325502,0.5730005367686527,-0.16129032258064516,40,moneyflow_dc,78.01,True,True,True,True,False,WATCH
603950.SH,长源东谷,汽车零部件,44.51,10.01,2,0,44443235.0,93029,93029,柴油发电机、发电机,2连板,发电机,1.5428,0.4,1440373.8668,2240.33,3436.79,-1196.46,23.795454545454543,20260302,20260227,2026-03-02 14:47:56,20260227,1.5428,0.4,1442706.1908,1440373.8668,11890.7497,32360.68,20260227,2240.33,10.15,3436.79,15.58,-1196.46,-5.42,20260302,48.96,40.06,20260227,2.0,0,44443235.0,93029,93029,U,,,,,,,,,20260227,1.54,700428360.0,44812428.03,6.4,47.68,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,14:46:52.830,48.96,44.51,9.997753313862061,48.96,44.11,1.0,0.0,,1000000.0,48.96,0.0,269306.82000000007,0.0,5501.0,0.0,228931.0,1077575296.0,47.069872406969786,3.860554724326419,124907.0,104025.0,0.5456098125636109,2026-03-02 14:09,-1.0416666666666625,-0.1236858379715423,-1.0416666666666625,2.2712587076627435,0.0,40,moneyflow_dc,77.37,False,True,True,False,False,WATCH
301226.SZ,祥明智能,电机Ⅱ,41.82,20.0,1,0,33752922.0,143800,143800,机器人概念、光伏,首板,机器人概念,16.7122,5.75,455001.6,8980.17,8919.06,61.11,43.52272727272727,20260302,20260227,2026-03-02 14:47:56,20260227,16.7122,5.75,455001.6,455001.6,5247.7804,10880.0,20260227,8980.17,12.83,8919.06,12.74,61.11,0.09,20260302,50.18,33.46,20260227,1.0,0,33752922.0,143800,143800,U,20260227,204077590.0,95326219.0,62530604.0,418200.0,10000.0,0.0,204495790.0,20260227,16.71,700198339.0,8760844.16,1.25,35.33,日涨幅达到15%的前5只证券,14:46:56.526,47.8,41.82,14.299378287900518,50.0,43.16,0.678362573099415,-0.0018,2.0920502092046047,0.16155786347867918,47.79,47.8,1051.11,6506.09,22.0,136.0,200410.0,942694016.0,47.03827234169952,1.5935725069047688,114463.0,85947.0,0.5711441544833092,2026-03-02 14:09,0.438963210702328,0.020815986677764384,-0.3938640132670084,0.7792771084337349,0.05555555555555555,40,moneyflow_dc,77.16,True,False,True,True,False,WATCH
600301.SH,华锡有色,小金属,64.76,10.01,1,0,106627016.0,142851,142851,金属锡、金属锑,3天2板,有色金属,5.8942,1.46,1783073.8702,8882.7,8245.94,636.77,49.36363636363635,20260302,20260227,2026-03-02 14:47:56,20260227,5.8942,1.46,4096506.994,1783073.8702,20008.7623,27533.5681,20260227,8882.7,8.71,8245.94,8.08,636.77,0.62,20260302,71.24,58.28,20260227,1.0,0,106627016.0,142851,142851,U,,,,,,,,,20260227,5.89,2708807746.0,-17559000.71,-0.65,25.58,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,14:46:43.662,71.24,64.76,10.006176652254462,71.24,66.02,1.0,0.0,,1000000.0,71.24,0.0,833282.85,0.0,11697.0,0.0,99270.0,700289088.0,70.54387911755818,0.977148908537083,34245.0,65026.0,0.34496826835902084,2026-03-02 14:09,0.0,0.0,0.0,0.20433694745621353,0.0,40,moneyflow_dc,77.02,False,True,True,True,False,WATCH
