ts_code,name,industry,close,pct_chg,limit_times,open_times,fd_amount,first_time,last_time,theme,status,lu_desc,turnover_rate,volume_ratio,circ_mv,mf_net_amount,mf_buy_elg_amount,mf_buy_lg_amount,score,asof_trade_date,prev_open_trade_date,run_at,trade_date,turnover_rate_db,volume_ratio_db,total_mv,circ_mv_db,free_share,float_share,trade_date_mf,mf_net_amount_mf,mf_net_amount_rate,mf_buy_elg_amount_mf,mf_buy_elg_amount_rate,mf_buy_lg_amount_mf,mf_buy_lg_amount_rate,today_trade_date,today_up_limit,today_down_limit,prev_limit_trade_date,prev_limit_times,prev_open_times,prev_fd_amount,prev_first_time,prev_last_time,prev_limit_flag,prev_margin_trade_date,rzye,rzmre,rzche,rqye,rqyl,rqmcl,rzrqye,prev_lhb_trade_date,lhb_turnover_rate,lhb_amount,lhb_net_amount,lhb_net_rate,lhb_amount_rate,lhb_reason,rt_servertime,rt_price,rt_last_close,rt_gap_pct,rt_high,rt_low,rt_pos_in_range,rt_speed_pct,rt_spread_bp,rt_imbalance,rt_bid1,rt_ask1,rt_bid_value,rt_ask_value,rt_bid_vol_5,rt_ask_vol_5,rt_vol_hand,rt_amount_yuan,rt_vwap,rt_above_vwap_pct,rt_b_vol_hand,rt_s_vol_hand,rt_b_ratio,moneyflow_source,tail_score,pass_spread,pass_imbalance,pass_vwap,pass_momentum,near_down_limit,decision
600230.SH,沧州大化,化学制品,24.76,10.0,1,0,73536556.0,142618,142618,化工、化肥,3天2板,化工,9.5646,1.62,1024967.4731,12978.54,13000.24,-21.7,45.43181818181818,20260302,20260227,2026-03-02 14:40:05,20260227,9.5646,1.62,1024967.4731,1024967.4731,22349.3591,41396.1015,20260227,12978.54,13.92,13000.24,13.94,-21.7,-0.02,20260302,27.24,22.28,20260227,1.0,0,73536556.0,142618,142618,U,20260227,238114488.0,62479186.0,81803708.0,636827.2,25720.0,800.0,238751315.2,,,,,,,,14:39:16.170,25.06,24.76,1.2116316639741402,26.0,23.5,0.6239999999999994,0.0016,3.9904229848355994,3.584913551038941,25.05,25.06,24002.0,6695.28,959.0,267.0,384656.0,944392576.0,24.551614325527225,2.0286738805777067,179011.0,205646.0,0.46537945592945384,moneyflow_dc,82.7,True,True,True,False,False,WATCH
002261.SZ,拓维信息,软件开发,36.52,10.0,1,0,464133191.0,93409,93409,AI应用、DeepSeek,首板,AI应用,8.1717,1.79,4183922.1302,156876.3,185254.08,-28377.78,73.61363636363636,20260302,20260227,2026-03-02 14:40:05,20260227,8.1717,1.79,4600904.543,4183922.1302,102798.276,114565.2281,20260227,156876.3,46.67,185254.08,55.11,-28377.78,-8.44,20260302,40.17,32.87,20260227,1.0,0,464133191.0,93409,93409,U,20260227,1872017130.0,312797849.0,327947295.0,17112505.0,468579.0,18300.0,1889129635.0,20260227,8.17,3361531963.0,567307282.29,16.88,25.13,日涨幅偏离值达到7%的前5只证券,14:39:09.030,35.96,36.52,-1.5334063526834671,37.48,35.8,0.09523809523809745,0.002,2.780867630700225,0.30133541684620496,35.96,35.97,60666.850000000006,201326.65,1688.0,5593.0,2335136.0,8573039104.0,36.71323256546942,-2.0946400597036083,1251588.0,1083549.0,0.5359807737108245,moneyflow_dc,82.52,True,False,False,False,False,WATCH
603093.SH,南华期货,多元金融,19.66,10.02,1,0,97442430.0,103522,103522,香港牌照、金融概念,首板,金融概念,3.1805,5.22,1199389.5456,13950.57,10024.22,3926.35,51.204545454545446,20260302,20260227,2026-03-02 14:40:05,20260227,3.1805,5.22,1411047.1396,1199389.5456,14046.4993,61006.5893,20260227,13950.57,37.64,10024.22,27.05,3926.35,10.59,20260302,21.63,17.69,20260227,1.0,0,97442430.0,103522,103522,U,,,,,,,,,20260227,3.18,370640643.0,82853634.0,22.35,41.63,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,14:39:19.116,21.15,19.66,7.578840284842311,21.5,20.03,0.7619047619047608,-0.0037,9.45626477541351,0.924665077725154,21.13,21.15,5423.66,5865.54,257.0,277.0,400097.0,829435904.0,20.730870363936745,1.9817004069184563,216748.0,183349.0,0.5417386283826172,moneyflow_dc,81.42,True,False,True,False,False,WATCH
002046.SZ,国机精工,通用设备,52.57,10.0,1,0,76413964.0,135939,135939,商业航天、芯片,首板,金刚石概念,6.9442,2.14,2779832.2707,27422.77,33468.55,-6045.78,50.11363636363636,20260302,20260227,2026-03-02 14:40:05,20260227,6.9442,2.14,2819154.7516,2779832.2707,26633.4154,52878.6812,20260227,27422.77,14.72,33468.55,17.96,-6045.78,-3.24,20260302,57.83,47.31,20260227,1.0,0,76413964.0,135939,135939,U,20260227,1363331784.0,220755273.0,152361642.0,4021605.0,76500.0,1900.0,1367353389.0,,,,,,,,14:38:58.146,54.1,52.57,2.910405174053645,55.52,52.6,0.513698630136986,0.005,3.6968576709789316,0.6844232475093673,54.09,54.11,5408.730000000001,7902.610000000001,100.0,146.0,404103.0,2204226304.0,54.54615046163973,-0.8246773782619815,227389.0,176715.0,0.5627005986097604,moneyflow_dc,81.21,True,False,False,False,False,WATCH
603950.SH,长源东谷,汽车零部件,44.51,10.01,2,0,44443235.0,93029,93029,柴油发电机、发电机,2连板,发电机,1.5428,0.4,1440373.8668,2240.33,3436.79,-1196.46,23.795454545454543,20260302,20260227,2026-03-02 14:40:05,20260227,1.5428,0.4,1442706.1908,1440373.8668,11890.7497,32360.68,20260227,2240.33,10.15,3436.79,15.58,-1196.46,-5.42,20260302,48.96,40.06,20260227,2.0,0,44443235.0,93029,93029,U,,,,,,,,,20260227,1.54,700428360.0,44812428.03,6.4,47.68,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,14:39:00.030,48.96,44.51,9.997753313862061,48.96,44.11,1.0,0.0,-10000.0,251195760000000.0,48.96,0.0,251195.76,0.0,5131.0,0.0,228568.0,1075798016.0,47.066869203038046,3.8666887192850394,124907.0,103662.0,0.5464763221448322,moneyflow_dc,81.15,True,True,True,False,False,WATCH
000628.SZ,高新发展,房屋建设,57.31,10.0,1,0,137386684.0,110009,110009,芯片、地产链,首板,芯片,11.9477,1.18,1101719.3306,20776.45,21185.25,-408.8,62.59090909090909,20260302,20260227,2026-03-02 14:40:05,20260227,11.9477,1.18,2018916.68,1101719.3306,16531.6285,19223.8585,20260227,20776.45,16.33,21185.25,16.66,-408.8,-0.32,20260302,63.04,51.58,20260227,1.0,0,137386684.0,110009,110009,U,20260227,867208096.0,112670099.0,103191734.0,1885499.0,32900.0,3200.0,869093595.0,,,,,,,,14:38:58.224,56.97,57.31,-0.5932647007503112,59.0,56.16,0.28521126760563426,-0.0006,1.755309812181501,0.11248691343832534,56.97,56.98,2904.24,25818.47,51.0,453.0,196943.0,1130915072.0,57.423471359733526,-0.7959827272837054,96106.0,100837.0,0.4879889104969458,moneyflow_dc,80.81,True,False,False,False,False,WATCH
002843.SZ,泰嘉股份,通用设备,25.27,10.01,2,0,107560491.0,92500,92500,电源、光伏,5天3板,电源,4.2,0.39,633752.8042,5607.79,7793.39,-2185.6,44.45454545454545,20260302,20260227,2026-03-02 14:40:05,20260227,4.2,0.39,636140.8192,633752.8042,14390.4109,25079.2562,20260227,5607.79,21.07,7793.39,29.28,-2185.6,-8.21,20260302,27.8,22.74,20260227,2.0,0,107560491.0,92500,92500,U,20260227,328054085.0,31418191.0,37393610.0,411901.0,16300.0,0.0,328465986.0,20260227,4.2,1052548308.0,7824136.26,0.74,31.8,连续三个交易日内，涨幅偏离值累计达到20%的证券,14:39:13.926,27.8,25.27,10.011871784724976,27.8,26.5,1.0,0.0,-10000.0,1899654270000000.0,27.8,0.0,1899654.27,0.0,68333.0,0.0,235587.0,641349824.0,27.223481091910845,2.0738090219034384,100497.0,135091.0,0.4265812629729145,moneyflow_dc,80.51,True,True,True,False,False,WATCH
000593.SZ,德龙汇能,燃气Ⅱ,15.74,9.99,1,0,187970228.0,132603,132603,实控人变更、天然气,3天2板,实控人变更,9.8684,1.38,564252.508,11006.59,11426.62,-420.03,64.3409090909091,20260302,20260227,2026-03-02 14:40:05,20260227,9.8684,1.38,564485.2082,564252.508,22956.3559,35848.3169,20260227,11006.59,20.88,11426.62,21.68,-420.03,-0.8,20260302,17.31,14.17,20260227,1.0,0,187970228.0,132603,132603,U,20260227,331504447.0,42703538.0,45980324.0,0.0,0.0,0.0,331504447.0,,,,,,,,14:39:23.118,15.48,15.74,-1.651842439644217,15.9,15.21,0.39130434782608664,-0.0012,6.459948320413299,1.36283803183621,15.48,15.49,24967.22,18320.019999999997,1615.0,1180.0,365254.0,568437952.0,15.56281250855569,-0.534964525553545,156221.0,209034.0,0.4277051038455431,moneyflow_dc,79.13,True,True,False,False,False,WATCH
688118.SH,普元信息,软件开发,35.5,20.01,1,0,85835627.0,93431,93431,AI应用、人工智能,首板,AI应用,6.7612,0.92,331274.3312,4708.84,5463.52,-754.68,43.02272727272727,20260302,20260227,2026-03-02 14:40:05,20260227,6.7612,0.92,331274.3312,331274.3312,7469.5728,9331.6713,20260227,4708.84,21.77,5463.52,25.26,-754.68,-3.49,20260302,42.6,28.4,20260227,1.0,0,85835627.0,93431,93431,U,20260227,133385389.0,16884523.0,25562686.0,222656.0,6272.0,200.0,133608045.0,20260227,6.76,216329400.0,52338576.06,24.19,43.2,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,14:39:09.486,36.2,35.5,1.971830985915501,37.2,34.3,0.6551724137931041,0.0011,2.762430939225969,4.804001584310525,36.2,36.21,12007.649999999998,2499.5099999999998,332.0,69.0,154717.0,558478528.0,36.09677850527091,0.28514225063284815,74774.0,79944.0,0.48329530691520645,moneyflow_dc,78.72,True,True,True,False,False,WATCH
002394.SZ,联发股份,纺织制造,15.66,9.97,1,0,83724577.0,102315,102315,服装家纺、贬值受益,首板,服装家纺,7.3097,3.4,506265.259,6691.18,6911.41,-220.22,47.24999999999999,20260302,20260227,2026-03-02 14:40:05,20260227,7.3097,3.4,506914.2,506265.259,19235.1506,32328.5606,20260227,6691.18,18.74,6911.41,19.36,-220.22,-0.62,20260302,17.23,14.09,20260227,1.0,0,83724577.0,102315,102315,U,,,,,,,,,,,,,,,,14:39:21.240,15.61,15.66,-0.31928480204342724,15.73,15.13,0.7999999999999983,-0.0031,6.4061499039076155,0.894938295570747,15.61,15.62,12401.33,13857.19,795.0,886.0,231549.0,357653504.0,15.446126046754683,1.0498011098354656,112311.0,119239.0,0.48504204293691616,moneyflow_dc,77.47,True,False,True,False,False,WATCH
