ts_code,trade_date,cost_5pct,cost_95pct,weight_avg,winner_rate
002391.SZ,20260327,5.8,6.7,6.33,36.94
601101.SH,20260327,7.3,9.1,8.3,78.99
002399.SZ,20260327,9.6,15.6,12.43,17.07
002410.SZ,20260327,11.2,14.8,13.2,17.95
002408.SZ,20260327,4.9,6.6,6.04,60.81
002401.SZ,20260327,14.3,17.0,15.35,53.67
002400.SZ,20260327,8.2,9.8,8.76,61.35
002404.SZ,20260327,6.4,7.5,7.02,21.81
002406.SZ,20260327,6.9,8.4,7.74,16.35
300059.SZ,20260327,19.4,25.0,22.04,4.73
002405.SZ,20260327,9.6,11.2,10.56,4.92
002403.SZ,20260327,10.3,13.8,11.53,47.52
002402.SZ,20260327,28.4,33.0,30.04,62.86
002409.SZ,20260327,78.0,96.0,87.24,28.0
002412.SZ,20260327,6.2,8.1,7.06,20.41
601010.SH,20260327,2.2,3.0,2.66,12.53
300061.SZ,20260327,8.0,11.4,9.38,39.69
002416.SZ,20260327,11.9,14.1,13.05,36.64
002415.SZ,20260327,27.6,40.2,31.92,32.84
002414.SZ,20260327,12.6,17.8,15.17,11.25
002413.SZ,20260327,12.3,14.5,12.86,65.42
300098.SZ,20260327,5.1,6.9,5.83,19.71
300062.SZ,20260327,8.5,9.7,8.97,32.49
300087.SZ,20260327,8.0,10.2,8.96,14.45
300066.SZ,20260327,6.1,8.0,7.13,20.04
002425.SZ,20260327,3.2,4.2,3.71,25.42
300063.SZ,20260327,10.8,12.4,11.42,63.53
300065.SZ,20260327,22.0,26.0,23.13,45.66
300068.SZ,20260327,13.4,16.4,14.71,20.66
002418.SZ,20260327,4.0,5.0,4.48,72.13
002420.SZ,20260327,6.9,8.7,7.82,24.25
601369.SH,20260327,8.2,12.3,10.52,32.79
002422.SZ,20260327,29.4,37.5,32.69,89.5
002423.SZ,20260327,10.8,13.9,11.89,4.51
002428.SZ,20260327,41.2,50.4,46.8,100.0
002442.SZ,20260327,5.6,6.8,6.32,25.78
002426.SZ,20260327,3.6,4.5,4.01,17.26
002427.SZ,20260327,6.0,7.8,7.15,25.8
002431.SZ,20260327,2.5,2.9,2.7,68.1
002456.SZ,20260327,8.5,9.9,9.05,31.56
601188.SH,20260327,3.2,3.7,3.53,23.97
601518.SH,20260327,2.7,3.1,2.9,70.76
002644.SZ,20260327,8.2,10.4,9.14,15.04
002430.SZ,20260327,27.2,33.6,30.23,25.66
002459.SZ,20260327,11.6,13.2,12.73,24.53
300073.SZ,20260327,51.2,61.6,55.06,57.44
300070.SZ,20260327,3.8,4.6,4.33,13.83
002432.SZ,20260327,53.1,65.7,61.66,99.78
002429.SZ,20260327,9.2,11.8,10.46,22.67
002434.SZ,20260327,7.7,10.6,9.19,11.36
002436.SZ,20260327,20.4,26.2,22.88,13.71
300076.SZ,20260327,6.3,8.2,7.36,5.5
300072.SZ,20260327,5.0,5.8,5.64,76.36
000572.SZ,20260327,6.0,6.7,6.31,22.64
000573.SZ,20260327,3.8,4.5,4.24,47.4
000586.SZ,20260327,13.8,16.6,15.22,43.81
000589.SZ,20260327,4.4,5.2,4.9,20.17
000591.SZ,20260327,5.6,6.6,6.13,36.15
000593.SZ,20260327,13.5,15.5,14.64,90.58
002174.SZ,20260327,9.0,13.0,10.95,12.63
300105.SZ,20260327,7.0,8.1,7.66,15.99
300069.SZ,20260327,16.9,21.1,19.84,35.41
300067.SZ,20260327,4.2,5.6,4.73,31.96
002440.SZ,20260327,10.8,14.8,12.65,28.79
002437.SZ,20260327,3.0,3.5,3.31,58.42
002443.SZ,20260327,8.3,9.9,9.15,24.89
002622.SZ,20260327,2.5,3.2,2.88,26.87
300080.SZ,20260327,5.2,6.4,5.92,26.28
300075.SZ,20260327,12.4,16.6,13.7,40.52
002613.SZ,20260327,3.7,4.2,3.98,25.66
300078.SZ,20260327,3.8,5.0,4.21,40.69
300074.SZ,20260327,4.0,5.0,4.53,29.25
300079.SZ,20260327,5.2,6.7,5.87,16.91
300083.SZ,20260327,7.4,9.7,8.48,20.35
002439.SZ,20260327,13.2,15.6,14.41,4.72
603002.SH,20260327,9.2,11.8,10.44,37.29
601012.SH,20260327,18.0,19.6,19.61,48.1
300077.SZ,20260327,20.2,23.2,21.87,17.32
300082.SZ,20260327,9.2,11.2,10.3,86.03
002469.SZ,20260327,8.7,10.5,9.46,30.19
002441.SZ,20260327,9.5,11.4,10.55,29.84
300235.SZ,20260327,12.2,16.0,13.58,16.65
300084.SZ,20260327,10.0,11.6,10.72,82.57
002444.SZ,20260327,28.8,38.0,33.11,16.29
002492.SZ,20260327,7.2,9.6,8.46,11.62
002466.SZ,20260327,49.6,61.6,54.49,88.54
002445.SZ,20260327,3.8,4.4,4.12,98.85
300238.SZ,20260327,14.5,17.2,15.75,21.28
300086.SZ,20260327,7.8,9.0,8.28,73.99
300101.SZ,20260327,19.8,30.3,24.02,15.33
601118.SH,20260327,5.9,8.2,7.27,30.63
002449.SZ,20260327,7.7,9.4,8.57,14.92
300081.SZ,20260327,4.5,5.8,5.03,36.76
002458.SZ,20260327,8.6,10.0,9.5,40.15
002451.SZ,20260327,9.2,11.4,10.07,45.82
300272.SZ,20260327,7.4,8.5,7.9,74.56
300088.SZ,20260327,5.9,6.9,6.48,16.63
002457.SZ,20260327,10.7,14.4,12.17,19.42
601000.SH,20260327,3.8,4.4,4.08,70.94
002452.SZ,20260327,10.5,12.5,11.33,52.45
002454.SZ,20260327,7.8,9.7,8.84,18.51
002453.SZ,20260327,5.2,6.4,5.69,50.2
002460.SZ,20260327,64.8,77.6,70.52,99.01
300085.SZ,20260327,38.0,46.8,43.1,14.09
601717.SH,20260327,21.4,25.6,23.64,14.73
300179.SZ,20260327,20.5,26.8,22.25,38.21
002463.SZ,20260327,73.6,92.0,83.6,26.46
002462.SZ,20260327,13.9,17.5,15.72,13.49
300099.SZ,20260327,8.3,9.6,9.02,10.61
601718.SH,20260327,3.0,3.8,3.45,12.72
300253.SZ,20260327,8.2,11.3,9.52,17.0
300094.SZ,20260327,3.1,3.7,3.29,57.95
300124.SZ,20260327,65.5,81.5,73.17,14.96
300321.SZ,20260327,32.4,47.2,39.5,18.03
300095.SZ,20260327,9.1,11.1,9.76,50.68
300245.SZ,20260327,10.8,14.3,13.11,71.12
300092.SZ,20260327,14.3,19.1,16.09,53.36
300100.SZ,20260327,30.0,40.4,35.24,13.33
300103.SZ,20260327,6.6,8.2,7.49,18.93
300102.SZ,20260327,29.4,36.8,31.91,28.6
002465.SZ,20260327,14.2,18.0,15.54,52.37
601018.SH,20260327,3.4,7.7,4.16,78.91
002484.SZ,20260327,26.6,33.6,30.04,22.24
300126.SZ,20260327,7.5,9.4,8.54,22.52
601288.SH,20260327,1.6,7.8,4.84,69.32
002468.SZ,20260327,12.8,16.4,14.19,89.44
300110.SZ,20260327,2.9,3.4,3.27,27.03
002476.SZ,20260327,5.5,7.2,6.35,22.94
002470.SZ,20260327,2.7,3.6,2.98,78.03
300107.SZ,20260327,6.9,9.1,7.88,31.1
300305.SZ,20260327,5.9,6.9,6.57,36.17
601177.SH,20260327,14.3,18.1,16.63,5.71
601377.SH,20260327,6.0,7.6,6.88,5.09
300106.SZ,20260327,9.3,11.4,10.01,69.15
300113.SZ,20260327,27.6,30.4,28.89,8.74
302132.SZ,20260327,67.1,85.8,77.37,11.51
300112.SZ,20260327,7.5,9.2,8.4,29.9
300133.SZ,20260327,7.0,9.1,7.54,51.74
300129.SZ,20260327,12.1,15.5,13.37,25.81
300118.SZ,20260327,17.2,19.7,18.31,11.74
300109.SZ,20260327,16.4,20.0,18.66,12.06
300111.SZ,20260327,3.8,4.7,4.17,58.04
002478.SZ,20260327,10.4,13.3,11.53,21.23
002471.SZ,20260327,7.8,9.2,8.55,82.16
300115.SZ,20260327,30.8,40.8,35.37,15.58
002527.SZ,20260327,13.4,17.8,15.62,5.33
002530.SZ,20260327,8.3,10.4,8.99,50.21
002614.SZ,20260327,6.0,7.6,6.71,19.99
002472.SZ,20260327,36.0,46.5,40.21,11.95
002595.SZ,20260327,79.2,99.2,91.19,9.99
002475.SZ,20260327,45.5,58.8,51.25,57.88
601098.SH,20260327,10.3,14.5,11.62,15.23
300120.SZ,20260327,7.7,9.0,8.24,32.54
300128.SZ,20260327,6.0,8.0,6.98,12.12
002479.SZ,20260327,5.0,6.2,5.72,67.3
002480.SZ,20260327,5.9,7.1,6.46,32.95
002481.SZ,20260327,4.4,5.9,5.19,10.25
300121.SZ,20260327,11.7,14.8,13.28,26.87
300119.SZ,20260327,17.4,21.2,19.44,22.76
601818.SH,20260327,3.1,4.0,3.35,30.95
002486.SZ,20260327,2.6,3.2,2.98,43.4
002482.SZ,20260327,1.6,1.9,1.85,60.17
002500.SZ,20260327,5.5,6.7,6.34,6.92
002521.SZ,20260327,7.9,9.4,8.54,9.89
300123.SZ,20260327,6.2,8.0,7.09,13.19
300122.SZ,20260327,14.4,21.6,19.35,7.51
002488.SZ,20260327,11.2,13.2,12.19,22.82
002487.SZ,20260327,64.0,79.0,72.9,58.84
002495.SZ,20260327,2.4,2.8,2.65,44.7
002615.SZ,20260327,7.3,9.5,8.34,37.5
300127.SZ,20260327,29.2,38.4,34.11,18.13
600998.SH,20260327,4.9,5.7,5.31,20.48
002518.SZ,20260327,44.0,57.6,51.07,20.49
002493.SZ,20260327,8.8,23.8,13.48,44.84
002491.SZ,20260327,9.8,11.8,10.96,62.31
002483.SZ,20260327,6.5,8.1,7.39,28.14
300134.SZ,20260327,10.0,13.2,11.72,9.8
300130.SZ,20260327,22.4,27.6,23.98,38.31
300135.SZ,20260327,3.8,4.8,4.29,30.81
300329.SZ,20260327,13.4,16.0,14.79,71.89
002497.SZ,20260327,21.8,28.5,24.15,58.06
002494.SZ,20260327,4.8,5.7,5.26,56.53
601996.SH,20260327,2.2,2.6,2.42,59.45
300401.SZ,20260327,13.4,18.2,15.56,26.27
300131.SZ,20260327,11.2,14.8,12.49,52.08
002498.SZ,20260327,8.1,10.1,9.04,23.87
300137.SZ,20260327,10.4,14.0,12.81,24.69
