symbol,name,market,signal_date,entry_date,exit_date,hold_days,entry_price,exit_price,ret_pct,mae_pct,exit_reason
002262,恩华药业,0,2019-03-27,2019-03-28,2019-03-28,1,12.72,12.56736,-1.358033,-1.2,止损
002318,久立特材,0,2019-03-29,2019-04-01,2019-04-01,1,8.31,8.40972,1.038129,0.0,止盈
000530,冰山冷热,0,2019-04-01,2019-04-02,2019-04-02,1,4.97,4.91036,-1.358033,-1.2,止损
000554,泰山石油,0,2019-04-01,2019-04-02,2019-04-02,1,6.79,6.87148,1.038129,-0.441826,止盈
000592,平潭发展,0,2019-04-01,2019-04-02,2019-04-02,1,4.05,4.0014,-1.358033,-1.2,止损
000795,英洛华,0,2019-04-01,2019-04-02,2019-04-02,1,5.26,5.19688,-1.358033,-1.2,止损
000838,财信发展,0,2019-04-01,2019-04-02,2019-04-02,1,4.14,4.09032,-1.358033,-1.2,止损
000925,众合科技,0,2019-04-01,2019-04-02,2019-04-02,1,8.34,8.23992,-1.358033,-1.2,止损
002057,中钢天源,0,2019-04-01,2019-04-02,2019-04-02,1,7.92,8.01504,1.038129,-0.631313,止盈
002139,拓邦股份,0,2019-04-01,2019-04-02,2019-04-02,1,6.03,5.95764,-1.358033,-1.2,止损
002169,智光电气,0,2019-04-01,2019-04-02,2019-04-02,1,5.78,5.84936,1.038129,-0.17301,止盈
002209,达 意 隆,0,2019-04-01,2019-04-02,2019-04-02,1,8.54,8.43752,-1.358033,-1.2,止损
002224,三 力 士,0,2019-04-01,2019-04-02,2019-04-02,1,7.02,6.93576,-1.358033,-1.2,止损
002292,奥飞娱乐,0,2019-04-01,2019-04-02,2019-04-02,1,8.56,8.45728,-1.358033,-1.2,止损
002329,皇氏集团,0,2019-04-01,2019-04-02,2019-04-02,1,4.46,4.40648,-1.358033,-1.2,止损
000530,冰山冷热,0,2019-04-03,2019-04-04,2019-04-04,1,5.0,4.94,-1.358033,-1.2,止损
002052,同洲电子,0,2019-04-03,2019-04-04,2019-04-04,1,5.04,4.97952,-1.358033,-1.2,止损
002133,广宇集团,0,2019-04-03,2019-04-04,2019-04-04,1,4.34,4.39208,1.038129,-0.691244,止盈
002178,延华智能,0,2019-04-03,2019-04-04,2019-04-04,1,4.98,4.92024,-1.358033,-1.2,止损
002209,达 意 隆,0,2019-04-03,2019-04-04,2019-04-04,1,8.64,8.53632,-1.358033,-1.2,止损
002316,亚联发展,0,2019-04-03,2019-04-04,2019-04-04,1,9.44,9.55328,1.038129,-0.317797,止盈
002329,皇氏集团,0,2019-04-03,2019-04-04,2019-04-04,1,4.46,4.40648,-1.358033,-1.2,止损
000572,海马汽车,0,2019-04-04,2019-04-08,2019-04-08,1,2.79,2.75652,-1.358033,-1.2,止损
