代码,名称,动量Alpha,量比,委比,尾部攻击系数,当前价
001210,金房能源,0.8560118753092518,1.3530528738018617,-0.13,0.006263048016701551,24.1
688017,绿的谐波,0.7968629647783765,1.1643364710762871,-0.26,0.006561461794019867,242.38
301052,果麦文化,0.7905138339920937,1.443151367602366,-0.21,0.012397609032543616,45.73
603813,*ST原尚,0.7835957524716212,2.5155841264540544,-0.41,0.01071975497702914,33.0
000972,*ST中基,0.7692307692307687,0.90388066613921,-0.16,0.005633802816901414,3.57
000793,ST华闻,0.7317073170731653,0.7963504432767331,-0.32,0.007490636704119857,2.69
688031,星环科技,0.711500638349263,2.1832148075128943,0.78,0.007281553398058253,207.5
