代码,名称,最新价,涨跌幅,今日主力净流入-净额,今日主力净流入-净占比,今日小单净流入-净占比,筛选维度,入选理由
000592,平潭发展,10.68,9.9897,1085286600.0000002,39.80887781845989,-23.42360843336176,A:机构锁仓,"中盘锁仓(市值204.5亿): 主力39.80887781845989%, 小单-23.42360843336176%"
002115,三维通信,15.73,10.0,711842100.0000001,39.79359485933118,-20.097863947521585,A:机构锁仓,"中盘锁仓(市值118.3亿): 主力39.79359485933118%, 小单-20.097863947521585%"
002634,棒杰股份,5.91,10.0559,30643999.999999993,32.99161041563356,-14.905115206867215,A:机构锁仓,"小盘锁仓(市值26.4亿): 主力32.99161041563356%, 小单-14.905115206867215%"
002446,盛路通信,12.46,9.9735,445386199.99999994,26.322923410388682,-14.692121526071855,A:机构锁仓,"中盘锁仓(市值105.6亿): 主力26.322923410388682%, 小单-14.692121526071855%"
002291,遥望科技,8.28,9.9602,324566399.99999994,25.793916029617804,-11.633998157747042,A:机构锁仓,"中盘锁仓(市值72.0亿): 主力25.793916029617804%, 小单-11.633998157747042%"
600877,电科芯片,24.78,9.9867,309055499.99999994,25.06793093719995,-12.38270483415653,A:机构锁仓,"中盘锁仓(市值293.4亿): 主力25.06793093719995%, 小单-12.38270483415653%"
000659,珠海中富,4.93,10.0446,76767899.99999999,21.50295323845813,-14.161161847352915,A:机构锁仓,"中盘锁仓(市值63.4亿): 主力21.50295323845813%, 小单-14.161161847352915%"
000906,浙商中拓,6.27,1.129,19210800.0,21.290137941049895,-14.075508774318951,A:机构锁仓,"小盘锁仓(市值44.0亿): 主力21.290137941049895%, 小单-14.075508774318951%"
300689,澄天伟业,53.3,19.991,87398800.00000001,20.813083312380062,-8.906931269837814,A:机构锁仓,"中盘锁仓(市值53.9亿): 主力20.813083312380062%, 小单-8.906931269837814%"
002150,正泰电源,25.88,9.9873,197386100.0,20.764760592544413,-12.966759874220358,A:机构锁仓,"中盘锁仓(市值92.8亿): 主力20.764760592544413%, 小单-12.966759874220358%"
603121,华培动力,24.18,10.0091,66865700.00000001,20.635343874753858,-9.162626326738964,A:机构锁仓,"中盘锁仓(市值81.9亿): 主力20.635343874753858%, 小单-9.162626326738964%"
603120,,45.8,9.9904,49373499.99999999,19.351182541521332,-10.81919761786545,A:机构锁仓,"小盘锁仓(市值10.4亿): 主力19.351182541521332%, 小单-10.81919761786545%"
600172,黄河旋风,7.16,9.9846,362277500.0,18.305760549365708,-8.818679599825934,A:机构锁仓,"中盘锁仓(市值91.4亿): 主力18.305760549365708%, 小单-8.818679599825934%"
002054,德美化工,9.5,9.8266,172018400.00000003,18.220054075170395,-12.74254773606155,A:机构锁仓,"小盘锁仓(市值36.5亿): 主力18.220054075170395%, 小单-12.74254773606155%"
000558,天府文旅,5.3,2.3166,42526399.99999999,18.01804542432532,-10.039438794218961,"A:机构锁仓,B:低位起爆","中盘锁仓(市值68.3亿): 主力18.01804542432532%, 小单-10.039438794218961% | 涨幅2.3166%, 主力流入4253万, 昨日流出-3465万"
002185,华天科技,14.66,9.9775,1120616499.9999998,17.74202055326422,-9.225250957335975,A:机构锁仓,"中盘锁仓(市值477.6亿): 主力17.74202055326422%, 小单-9.225250957335975%"
300440,运达科技,15.35,5.4983,58226199.99999999,17.657018919749497,-7.976532263096732,A:机构锁仓,"中盘锁仓(市值67.2亿): 主力17.657018919749497%, 小单-7.976532263096732%"
